term,contrast,null.value,estimate,conf.low,conf.high,adj.p.value
institution_type,Power Plant-Fortune 500 HQ,0,-47.326746866103406,-51.33184019133313,-43.32165354087368,2.2069029270710416e-8
institution_type,Sports Venue-Fortune 500 HQ,0,-13.971526873981745,-18.32230317167082,-9.620750576292668,2.206921245750948e-8
institution_type,Sports Venue-Power Plant,0,33.35521999212166,31.343582472718438,35.366857511524884,2.2069029270710416e-8
