term,contrast,null.value,estimate,conf.low,conf.high,adj.p.value
institution_type,Power Plant-Fortune 500 HQ,0,-2.1917533377351906e-5,-2.3583484631878334e-5,-2.0251582122825478e-5,2.2069029270710416e-8
institution_type,Sports Venue-Fortune 500 HQ,0,-1.9393458374917215e-5,-2.1203199282985374e-5,-1.7583717466849055e-5,2.2069029270710416e-8
institution_type,Sports Venue-Power Plant,0,2.5240750024346912e-6,1.687317959099127e-6,3.3608320457702555e-6,2.207387650443593e-8
