name,institution_type,impervious_surface
Central Plant,Power Plant,81
Big Creek Water Works,Power Plant,68
Townsend Hydro,Power Plant,94
Cornell Hydro,Power Plant,28
Beowawe,Power Plant,66
Big Valley Power LLC,Power Plant,0
Bridgewater Power LP,Power Plant,50
King City Power Plant,Power Plant,87
South Forks Hydro,Power Plant,0
Bayou Cogen Plant,Power Plant,93
Desert View Power,Power Plant,100
Louisiana Sugar Refining,Power Plant,94
Juniata Locomotive Shop,Power Plant,94
Dutchess Cnty Resource Recovery Facility,Power Plant,0
Bellingham Cogeneration Facility,Power Plant,93
Sayreville Cogeneration Facility,Power Plant,100
Geismar,Power Plant,98
Copper Dam Plant,Power Plant,0
Peters Drive Plant,Power Plant,63
Mink Creek Hydro,Power Plant,1
T B Simon Power Plant,Power Plant,85
Southside Water Reclamation Plant,Power Plant,40
Marathon Bay Area Cogen,Power Plant,43
Foster Wheeler Mt Carmel Cogen,Power Plant,96
Greenleaf 2 Power Plant,Power Plant,98
Greenleaf 1,Power Plant,96
ReEnergy Livermore Falls,Power Plant,81
Consumer Operations LLC,Power Plant,92
Savannah River Mill,Power Plant,100
Georgia-Pacific Muskogee,Power Plant,93
Lumberton,Power Plant,68
Sycamore Energy LLC,Power Plant,35
Indiana Harbor West,Power Plant,95
Cleveland Works,Power Plant,91
Kingsburg Cogen,Power Plant,98
Clark University,Power Plant,69
Pensacola Florida Plant,Power Plant,96
Indian Orchard Plant 1,Power Plant,96
Ascend Performance Materials Texas Inc.,Power Plant,83
Dillon Hydro Plant,Power Plant,89
Williams Fork Hydro Plant,Power Plant,59
North Fork Hydro Plant,Power Plant,69
Gross Hydro Plant,Power Plant,58
"USG Paper, LLC - Orange Mill",Power Plant,92
Inland Paperboard Packaging Rome,Power Plant,100
New-Indy Ontario Mill,Power Plant,77
Anheuser-Busch St Louis,Power Plant,95
Anheuser-Busch Jacksonville,Power Plant,80
Mosaic New Wales Operations,Power Plant,95
Camden Resource Recovery Facility,Power Plant,94
ExxonMobil Baytown Refinery,Power Plant,63
Sunray 2,Power Plant,0
Sunray 3,Power Plant,0
"Lockhart Solar PV, LLC",Power Plant,72
LAC Courte Oreilles Hydroelect,Power Plant,0
Muck Valley Hydroelectric,Power Plant,1
Fourth Branch Hydroelectric Facility,Power Plant,56
Puente Hills Energy Recovery,Power Plant,81
Expander Turbine,Power Plant,82
Mammoth G3,Power Plant,82
Mammoth G1,Power Plant,0
Mammoth G2,Power Plant,0
Boise Cascade International Falls,Power Plant,100
International Falls Power,Power Plant,100
DeRidder Mill,Power Plant,96
Upper Beaver Falls Project,Power Plant,0
Rumford Falls Hydro Facility,Power Plant,0
Sheldon Springs Hydroelectric,Power Plant,0
Rumford Cogeneration,Power Plant,92
Kern River Cogeneration,Power Plant,62
Mid-Set Cogeneration,Power Plant,0
Wheelabrator Hudson Falls,Power Plant,100
Amalgamated Sugar Twin Falls,Power Plant,98
Finch Paper,Power Plant,86
Milton Hydro,Power Plant,0
Dayton Hydro,Power Plant,0
Lederle Laboratories,Power Plant,95
Benton Falls Associates,Power Plant,43
Craven County Wood Energy LP,Power Plant,0
Dodge Falls Associates,Power Plant,0
Feeder Dam Hydro Plant,Power Plant,0
Beebee Island Hydro Plant,Power Plant,96
Grand River,Power Plant,41
Dexter Plant,Power Plant,65
Theresa Plant,Power Plant,0
Diamond Island Plant,Power Plant,94
Hailesboro 4 Plant,Power Plant,65
Copenhagen Plant,Power Plant,1
Beaver Valley Patterson Dam,Power Plant,53
Pyrites Plant,Power Plant,0
San Jose Cogeneration,Power Plant,76
High Shoals Hydro (NC),Power Plant,0
Formosa Utility Venture Ltd,Power Plant,90
Brassua Hydroelectric Project,Power Plant,0
Boott Hydropower,Power Plant,84
Jesup Plant,Power Plant,96
Fernandina Plant,Power Plant,84
Algonquin Windsor Locks,Power Plant,86
Port Arthur Texas Refinery,Power Plant,100
Errol Hydroelectric Project,Power Plant,0
Cameron Ridge LLC,Power Plant,0
Agrilectric Power Partners Ltd,Power Plant,92
Ridgetop Energy LLC,Power Plant,0
Ebensburg Power,Power Plant,85
Brunswick Cellulose,Power Plant,96
Georgia-Pacific Crossett LLC,Power Plant,85
Gilman Mill,Power Plant,74
Georgia-Pacific Monticello Paper,Power Plant,93
Georgia-Pacific Palatka Operations,Power Plant,86
"Woodland Pulp, LLC",Power Plant,92
CH Resources Beaver Falls,Power Plant,99
Carthage Energy LLC,Power Plant,75
CH Resources Syracuse,Power Plant,91
Pine Bluff Mill,Power Plant,93
Wheelabrator Baltimore Refuse,Power Plant,88
CE Leathers,Power Plant,0
Del Ranch Company,Power Plant,0
Hopewell Cogeneration,Power Plant,83
Elmore Company,Power Plant,0
Covanta Hempstead,Power Plant,70
Covanta Essex Company,Power Plant,100
Covanta Southeastern Connecticut Company,Power Plant,89
Bear Mountain Limited,Power Plant,88
Badger Creek Limited,Power Plant,74
Burney Forest Products,Power Plant,94
French Paper Hydro,Power Plant,76
Collins Pine Project,Power Plant,0
River Valley,Power Plant,99
CES Placerita Power Plant,Power Plant,82
Brush Generation Facility,Power Plant,90
Argus Cogen Plant,Power Plant,94
Westend Facility,Power Plant,91
Rapids Energy Center,Power Plant,86
Black River Hydro Associates,Power Plant,0
ExxonMobil Baton Rouge Turbine Generator,Power Plant,100
ExxonMobil Baytown Turbine,Power Plant,94
Eastern Correctional Institute,Power Plant,63
Pepperell Hydro Power Plant,Power Plant,0
St Francisville Mill,Power Plant,91
Georgia-Pacific Consr Prods LP-Naheola,Power Plant,90
Red Shield Envir Old Town Facility,Power Plant,97
Burney Creek,Power Plant,16
Cove Hydroelectric,Power Plant,7
Lost Creek I,Power Plant,23
Ponderosa Bailey Creek,Power Plant,27
Karen Avenue Wind Farm,Power Plant,0
Kyocera International Inc.(San Diego),Power Plant,84
Selkirk Cogen,Power Plant,71
Masspower,Power Plant,99
Barker Lower,Power Plant,0
Sprague Hydro,Power Plant,0
Magic Dam Hydroelectric Project,Power Plant,74
Morgantown Energy Facility,Power Plant,89
Midland Cogeneration Venture,Power Plant,67
Covanta Delaware Valley,Power Plant,60
Marina Landfill Gas,Power Plant,61
Camden Plant Holding LLC,Power Plant,100
Lachute Hydro Lower,Power Plant,64
Lachute Hydro Upper,Power Plant,61
Salton Sea Power Gen Co - Unit 3,Power Plant,50
Las Vegas Generating Station,Power Plant,67
Ormesa III,Power Plant,0
Blue Lake Power LLC,Power Plant,81
Indeck Jonesboro Energy Center,Power Plant,71
Indeck West Enfield Energy Center,Power Plant,98
Rio Bravo Fresno,Power Plant,62
Hopewell Power Station,Power Plant,98
Rio Bravo Rocklin,Power Plant,86
Altavista Power Station,Power Plant,96
Southampton Power Station,Power Plant,76
E F Oxnard Energy Facility,Power Plant,92
HL Power,Power Plant,0
Koyle Ranch Hydroelectric Project,Power Plant,52
Colstrip Energy LP,Power Plant,36
Piedmont Hydro Power Project,Power Plant,83
Sabine River Operations,Power Plant,87
Victoria Texas Plant,Power Plant,100
Camden South Carolina,Power Plant,100
Fries Hydroelectric Project,Power Plant,78
Pelzer Upper,Power Plant,0
Pelzer Lower,Power Plant,0
Ware Shoals Hydro Project,Power Plant,48
Ogdensburg Power,Power Plant,99
Kenilworth Energy Facility,Power Plant,99
Crystal Springs,Power Plant,67
Dietrich Drop,Power Plant,71
Low Line Rapids,Power Plant,43
Rock Creek II,Power Plant,32
Port Leyden Hydroelectric Project,Power Plant,0
Ada Cogeneration LP,Power Plant,95
Grayling Generating Station,Power Plant,93
Deer Island Treatment Plant,Power Plant,86
Oakdale Power Station,Power Plant,0
Cosgrove Intake and Power Station,Power Plant,0
Woodland Biomass Power Ltd,Power Plant,0
Covanta Mendota,Power Plant,79
"NE Renewable Springfield, LLC",Power Plant,0
"NE Renewable Whitefield, LLC",Power Plant,97
Covanta Delano Energy,Power Plant,80
Walden,Power Plant,51
Silver Bay Power,Power Plant,0
Center Falls,Power Plant,0
Cargill Corn Milling Division,Power Plant,100
Archer Daniels Midland Clinton,Power Plant,98
Archer Daniels Midland Des Moines,Power Plant,85
Archer Daniels Midland Lincoln,Power Plant,100
Archer Daniels Midland Mankato,Power Plant,94
Archer Daniels Midland Cedar Rapids,Power Plant,86
Archer Daniels Midland Decatur,Power Plant,97
Archer Daniels Midland Peoria,Power Plant,96
Primient Decatur Plant Cogen,Power Plant,98
Biomass One LP,Power Plant,60
Hazelton,Power Plant,80
Kings Falls Hydroelectric,Power Plant,0
Coso Finance Partners,Power Plant,75
Coso Power Developers,Power Plant,86
Coso Energy Developers,Power Plant,0
Salton Sea Power Gen Co - Unit 1,Power Plant,40
Salton Sea Power Gen Co - Unit 2,Power Plant,0
Bidwell Ditch Project,Power Plant,38
Roaring Creek Water Power,Power Plant,29
Hatchet Creek Project,Power Plant,78
Medical Area Total Energy Plant,Power Plant,100
Olive View Medical Center,Power Plant,74
Victory Mills,Power Plant,0
Lockport Powerhouse,Power Plant,87
Pittsfield Generating LP,Power Plant,100
Chalk Cliff Limited,Power Plant,91
Linden Cogen Plant,Power Plant,100
Glen Ferris Hydro,Power Plant,0
Hawks Nest Hydro,Power Plant,0
Corpus Refinery,Power Plant,100
Plant 31 Paper Mill,Power Plant,76
Mt Ida Hydroelectric,Power Plant,7
Valley Falls Hydroelectric Facility,Power Plant,92
MMWAC Resource Recovery Facility,Power Plant,100
New Martinsville Hannibal Hydro,Power Plant,0
Rio Bravo Hydro Project,Power Plant,0
Houston Chemical Complex Battleground,Power Plant,97
International Paper Jay Hydro,Power Plant,81
Humboldt Sawmill Company,Power Plant,89
Eagle Point Energy Center,Power Plant,66
Rice University,Power Plant,72
Brown Station Road Plant I,Power Plant,52
San Diego State University,Power Plant,73
University of California Santa Cruz,Power Plant,81
Calistoga Power Plant,Power Plant,0
Borger Plant,Power Plant,0
Palm Beach Renewable Energy Facility 1,Power Plant,56
Santa Felicia Dam,Power Plant,28
Goodyear Lake Plant,Power Plant,50
Otis Hydro,Power Plant,94
International Paper Riley Hydro,Power Plant,36
International Paper Livermore Hydro,Power Plant,0
Univ of Massachusetts Medical Center,Power Plant,96
University of Northern Iowa,Power Plant,69
Univ of San Francisco Cogen,Power Plant,88
Sheep Creek Hydro,Power Plant,28
Chateaugay High Falls Hydro,Power Plant,0
"Vicinity Energy Trenton, L.P.",Power Plant,86
Tamarack Energy,Power Plant,65
WestRock (TX),Power Plant,100
China Mill Hydro,Power Plant,100
Paris Energy Center,Power Plant,98
Sierra Pacific Burney Facility,Power Plant,76
Sierra Pacific Quincy Facility,Power Plant,0
US Borax,Power Plant,82
Hal C Weaver Power Plant,Power Plant,94
Phillips 66 Rodeo Refinery,Power Plant,91
Valero Refinery Corpus Christi West,Power Plant,81
Normanskill Hydro Project,Power Plant,33
Ottauquechee Hydro,Power Plant,30
Signal Hill Generating LLC,Power Plant,88
Clear Lake Hydro Project,Power Plant,3
Indian Valley Dam Hydro Project,Power Plant,0
Coalinga Cogeneration,Power Plant,91
Sycamore Cogeneration,Power Plant,90
South Oaks Hospital,Power Plant,31
Newgulf Cogen,Power Plant,97
Snider Industries,Power Plant,83
Imperial Savannah LP,Power Plant,90
R E Badger Filtration Plant,Power Plant,72
Linde Wilmington,Power Plant,94
Union Carbide Seadrift Cogen,Power Plant,93
Dow St Charles Operations,Power Plant,99
Texas City Plant Union Carbide,Power Plant,97
Bear Creek,Power Plant,1
International Paper Woronoco Mill,Power Plant,11
Berry Cogen,Power Plant,82
Emporia,Power Plant,16
Union Falls,Power Plant,45
Blackstone/Tupperware,Power Plant,63
Halifax,Power Plant,0
Box Canyon Dam,Power Plant,84
Olsen,Power Plant,0
Columbus MS,Power Plant,80
Cosmo Specialty Fibers Plant,Power Plant,78
Nippon Dynawave Packaging Longview WA,Power Plant,100
International Paper Co. - New Bern Mill,Power Plant,100
Domtar Paper Co LLC Plymouth NC,Power Plant,87
Domtar Paper Company Rothschild,Power Plant,54
IP Springfield Oregon,Power Plant,96
International Paper Valliant OK,Power Plant,63
B Braun Medical,Power Plant,100
"Multitrade Rabun Gap, LLC",Power Plant,94
US Gypsum Oakfield,Power Plant,64
Williams Ignacio Natural Gas Plant,Power Plant,82
Vallecito Hydroelectric,Power Plant,81
"NE Renewable Bethlehem, LLC",Power Plant,88
Vulcan-BN Geothermal Power Company,Power Plant,0
York County Resource Recovery,Power Plant,98
Watson Cogeneration,Power Plant,93
Woodward Power Plant,Power Plant,82
Frankenheimer Power Plant,Power Plant,43
Nelson Creek,Power Plant,3
Oxnard Wastewater Treatment Plant,Power Plant,8
Regional Waste Systems,Power Plant,97
Rocky Brook Hydroelectric,Power Plant,0
Texas Petrochemicals,Power Plant,94
Robbins Lumber,Power Plant,92
San Dimas Wash Generating Station,Power Plant,62
San Antonio Regional Hospital,Power Plant,81
Purdue University,Power Plant,97
Tenet Hospital,Power Plant,80
Bucksport Generation LLC,Power Plant,96
International Paper Pensacola,Power Plant,65
Billerud Quinnesec Mill,Power Plant,100
Sartell Dam,Power Plant,100
KapStone Kraft Paper Corp,Power Plant,81
Corewell Health Dearborn Campus,Power Plant,40
New Lahontan,Power Plant,68
Redlands Water & Power,Power Plant,0
Hewittville Hydroelectric,Power Plant,55
Unionville Hydro Project 2499 NY,Power Plant,0
ExxonMobil Santa Ynez Facility,Power Plant,51
Simplot Leasing Don Plant,Power Plant,83
Park 500 Philip Morris USA,Power Plant,89
Worumbo Hydro Station,Power Plant,0
Archbald Power Station,Power Plant,64
Dahowa Hydro,Power Plant,0
San Gorgonio Farms Wind Farm,Power Plant,0
Lower Village Water Power Project,Power Plant,82
SEMASS Resource Recovery,Power Plant,97
Bethpage Power Plant,Power Plant,99
Wadham Energy LP,Power Plant,72
Packaging Corp of America,Power Plant,85
AltaGas Ripon Energy Inc.,Power Plant,0
VESI Pomona,Power Plant,87
Shell Deer Park,Power Plant,100
Alpena Cement Plant,Power Plant,100
University of Oklahoma,Power Plant,89
Standby Generation Plant,Power Plant,53
Passaic Valley Water Commission,Power Plant,82
Pembroke Hydro,Power Plant,69
Chasm Hydro Partnership,Power Plant,0
Bunge North America East LLC,Power Plant,95
Site 980 65,Power Plant,63
Marco Ranch,Power Plant,1
Newfound Hydroelectric,Power Plant,0
Nalco,Power Plant,94
West Point Treatment Plant,Power Plant,0
Mooseheart Power House,Power Plant,58
PCS Nitrogen Fertilizer LP,Power Plant,98
Forks of Butte Hydro Project,Power Plant,0
Rolfe Canal Hydro,Power Plant,49
Nacimiento Hydro Project,Power Plant,35
Penacook Lower Falls,Power Plant,98
Newport Hydro,Power Plant,76
Sloss Industries Corp,Power Plant,84
Little Wood Hydro Project,Power Plant,63
Weeks Falls,Power Plant,0
Alice Falls Hydro Project,Power Plant,89
Dry Creek Project,Power Plant,37
Stillwater Hydro Electric Project,Power Plant,62
Capitol Heat and Power,Power Plant,85
Waupun Correctional Central Heating Plt,Power Plant,48
UW Madison Charter Street Plant,Power Plant,81
Dartmouth College Heating Plant,Power Plant,95
Western Power & Steam Inc,Power Plant,85
John Deere Dubuque Works,Power Plant,86
Cadillac Renewable Energy,Power Plant,97
Rollinsford,Power Plant,68
Mulberry Cogeneration Facility,Power Plant,100
Gaylord Container Bogalusa,Power Plant,90
Alabama Pine Pulp,Power Plant,98
Welport Lease Project,Power Plant,88
Dome Project,Power Plant,56
Los Angeles Refinery Wilmington,Power Plant,95
EDF Renewable Windfarm V Inc,Power Plant,0
San Gorgonio Windplant WPP1993,Power Plant,29
Hewlett Packard Enterprise,Power Plant,100
Graniteville Enterprise Division,Power Plant,66
Riverwood International Macon Mill,Power Plant,92
Orlando Cogen LP,Power Plant,92
Mascoma Hydro,Power Plant,87
Simplot Phosphates,Power Plant,70
Sumas Power Plant,Power Plant,89
Oroville Cogeneration LP,Power Plant,98
Domino Sugar Arabi Plant,Power Plant,0
WestRock (IL),Power Plant,79
Blind Canyon Hydro,Power Plant,0
Seven Hills New Hampshire,Power Plant,76
Sierra Pacific Sonora,Power Plant,72
Formosa Plastics,Power Plant,100
Village Creek Water Reclamation Facility,Power Plant,96
Hoffer Plastics,Power Plant,96
Horseshoe Bend Hydroelectric Co,Power Plant,0
Kankakee Hydro Facility,Power Plant,96
Southern Minnesota Beet Sugar,Power Plant,0
Sumpter Energy Associates,Power Plant,70
Ferndale Generating Station,Power Plant,96
Hartwell Energy Facility,Power Plant,87
Venice Resources Gas Recovery,Power Plant,56
Charter Dura-Bar,Power Plant,92
Sithe Independence Station,Power Plant,100
Longfalls Facility,Power Plant,62
W&T Onshore Treating Facility (OTF),Power Plant,91
Spicer Meadow Project,Power Plant,0
Collierville Powerhouse,Power Plant,66
Ingredion Incorporated,Power Plant,96
Hazelton B Hydro,Power Plant,0
Longview Fibre,Power Plant,97
YKK USA Chestney,Power Plant,0
MM Yolo Power,Power Plant,0
Bayville Central Facility,Power Plant,91
Lochmere Hydroelectric Plant,Power Plant,64
Wappinger Falls Hydroelectric,Power Plant,99
Saranac Facility,Power Plant,97
Curtis Palmer Hydroelectric,Power Plant,0
Massena Energy Facility,Power Plant,100
Batavia Power Plant,Power Plant,100
University of Arizona - Biosphere 2,Power Plant,92
Warner Lambert,Power Plant,98
Pratt & Whitney,Power Plant,91
Ingredion Winston Salem,Power Plant,40
"NE Renewable Fitchburg, LLC",Power Plant,72
Central District Wastewater Treat Plant,Power Plant,86
South District Wastewater Treatment Plt,Power Plant,60
Reworld Plymouth LLC,Power Plant,94
Okeelanta Cogeneration,Power Plant,100
Phelps Dodge Refining,Power Plant,89
American Gypsum Cogeneration,Power Plant,94
St Nicholas Cogen Project,Power Plant,84
JCO Oxides Olefins Plant,Power Plant,100
Johnsonburg Mill,Power Plant,97
Berlin Gorham,Power Plant,79
NAEA Lakewood LLC,Power Plant,74
TPC Windfarms LLC,Power Plant,0
Kekawaka Power House,Power Plant,32
Schoolfield Dam,Power Plant,90
Westbrook Energy Center Power Plant,Power Plant,63
International Paper Riegelwood Mill,Power Plant,60
Pheasant Run Landfill Gas Recovery,Power Plant,0
Woodland Landfill Gas Recovery,Power Plant,66
Turnkey Landfill Gas Recovery,Power Plant,80
Steamboat II,Power Plant,83
Steamboat III,Power Plant,85
Chino Mines,Power Plant,91
Falls River Hydro,Power Plant,57
Ford Hydro LP,Power Plant,3
Spartanburg Water System,Power Plant,67
Oyster Creek Unit VIII,Power Plant,100
CII Carbon LLC,Power Plant,77
Sidney A Murray Jr Hydroelectric,Power Plant,100
Boulder City Lakewood Hydro,Power Plant,0
Boulder City Betasso Hydro Plant,Power Plant,0
Difwind Farms Ltd VI,Power Plant,64
Thundermist Hydro,Power Plant,80
Heber Geothermal,Power Plant,76
Amalgamated Sugar LLC Nampa,Power Plant,91
Lower Beaver Falls Project,Power Plant,0
Yuma Cogeneration Associates,Power Plant,75
Metro Methane Recovery Facility,Power Plant,88
Alliant SBD 9205 A Y McDonald,Power Plant,66
Alliant SBD 9201 Norplex,Power Plant,26
Alliant SBD 9107 JBS USA,Power Plant,71
Alliant SBD 8602 Marion Sub,Power Plant,70
Alliant SBD 9106 Rockwell CR,Power Plant,6
Alliant SBD 9206 Donaldson,Power Plant,80
Alliant SBD 9203 Profol,Power Plant,63
Warm Springs Power Enterprises,Power Plant,0
I 95 Landfill Phase II,Power Plant,1
Ormesa II,Power Plant,0
Taylor Draw Hydroelectric Facility,Power Plant,0
Hendricks Regional Health,Power Plant,77
Freeport McMoRan,Power Plant,0
Alliant SBD 9301 Prairie Farms,Power Plant,71
District 70 Transco Gas Pipe Line,Power Plant,0
Wheelabrator Falls,Power Plant,100
Goal Line LP,Power Plant,92
Coram Tehachapi,Power Plant,1
Genesee Power Station LP,Power Plant,97
International Paper Pine Hill Mill,Power Plant,100
Lateral 10 Ventures,Power Plant,25
Coopersville,Power Plant,61
Grand Blanc Generating Station,Power Plant,91
Wheelabrator Lisbon,Power Plant,99
Hermiston Generating Plant,Power Plant,78
WestRock Demopolis Mill,Power Plant,80
Live Oak Limited,Power Plant,74
NYU Langone Hospital- Brooklyn,Power Plant,100
South Glens Falls Hydroelectric,Power Plant,60
University of Iowa Main Power Plant,Power Plant,97
University of Illinois Abbott Power Plt,Power Plant,79
Seneca Energy,Power Plant,0
Grays Ferry Cogeneration,Power Plant,100
Evanston Township High School,Power Plant,70
Georgia-Pacific Brewton Mill,Power Plant,83
CSL Behring LLC,Power Plant,96
Storm Lake 1,Power Plant,0
Domino Sugar Baltimore,Power Plant,100
Saint Agnes Medical Center,Power Plant,76
Avalon Hydropower,Power Plant,57
Mead Coated Board,Power Plant,100
Plymouth State College Cogeneration,Power Plant,78
Milford Power LP,Power Plant,78
New York University Central Plant,Power Plant,100
University of Washington Power Plant,Power Plant,92
Mile 28 Water Power Project,Power Plant,0
Shepherd Center,Power Plant,70
Riverwood 100 Building,Power Plant,69
Johnson County,Power Plant,91
191 Peachtree Tower,Power Plant,96
Smithfield Farmland Corp Bladen,Power Plant,85
Bristol Myers Squibb New Brunswick,Power Plant,94
Emory Decatur Hospital,Power Plant,75
Brandywine Power Facility,Power Plant,69
Evonik Industries AG,Power Plant,35
Valdosta Water Treatment Plant,Power Plant,58
Gordonsville Energy LP,Power Plant,99
Sun Trust Plaza,Power Plant,100
South Georgia Medical Center Inc,Power Plant,3
Cox Waste to Energy,Power Plant,100
MMSD Jones Island Wastewater,Power Plant,100
Sun Peak Generating Station,Power Plant,89
Mars Snackfood US,Power Plant,96
Southwestern Bell Telephone,Power Plant,99
Black Creek,Power Plant,0
Bassett Medical Center,Power Plant,69
Phoenix Hydro Project,Power Plant,0
Neenah Paper Munising Mill,Power Plant,100
Atlanta Gift Mart LP,Power Plant,97
Dunn Paper,Power Plant,53
Kimberly Mill,Power Plant,51
Presence Saint Mary of Nazareth Hospital,Power Plant,84
DSM Pharmaceuticals,Power Plant,81
Peoples Generating Station,Power Plant,83
Narrows (NC),Power Plant,100
Falls Hydro,Power Plant,0
High Rock Hydro,Power Plant,0
Tuckertown Hydro,Power Plant,0
Santeetlah,Power Plant,0
Cheoah,Power Plant,0
Calderwood,Power Plant,76
Chilhowee,Power Plant,0
Adrian Energy Associates LLC,Power Plant,77
Georgia Pacific Center,Power Plant,100
Mass Inst Tech Cntrl Utilities/Cogen Plt,Power Plant,94
Enderlin,Power Plant,90
Tehachapi Wind Resource II,Power Plant,0
Brent Run Generating Station,Power Plant,66
Martinez Refining,Power Plant,89
Brooklyn Navy Yard Cogeneration,Power Plant,100
Michigan Power LP,Power Plant,100
Ergon Refining Vicksburg,Power Plant,71
Twin Bridges LFGTE,Power Plant,65
Prairie View I & II LFGTE,Power Plant,26
Grand Isle Gas Plant / Treating Station,Power Plant,98
Alliant SBD 9403 Aegon DC,Power Plant,84
Ridgetop,Power Plant,0
Mondelez Global LLC,Power Plant,81
Richard J Donovan Correctional Facility,Power Plant,66
Wellesley College Central Utility Plant,Power Plant,73
Univ of Oregon Central Power Station,Power Plant,86
Monterey One Water,Power Plant,87
Hudson Falls Hydroelectric Project,Power Plant,60
Deercroft I & II LFGTE,Power Plant,28
Cargill Salt,Power Plant,100
"Phoenix Investors, LLC",Power Plant,39
Dixon Hydroelectric Dam,Power Plant,98
Sauder Power Plant,Power Plant,86
New Mexico State University,Power Plant,0
Big Spring Wind Power Facility,Power Plant,24
Ocean County Landfill,Power Plant,88
Salem Energy Systems LLC,Power Plant,0
Crestwood Dothan,Power Plant,48
Pine Tree Acres,Power Plant,0
Indiana Harbor E 5 AC Station,Power Plant,96
Salton Sea Power Gen Co - Unit 4,Power Plant,0
Murphy-Brown LLC,Power Plant,0
Thornwood High School,Power Plant,84
Thornridge High School,Power Plant,70
Nashua Plant,Power Plant,93
Montgomery Creek Hydro,Power Plant,1
LSP-Cottage Grove LP,Power Plant,67
Whitewater Generating Station,Power Plant,96
Greene Valley Gas Recovery,Power Plant,72
Sweeny Cogen Facility,Power Plant,93
Dighton Power Plant,Power Plant,0
Papillion Creek Wastewater,Power Plant,0
De Pere Energy Center,Power Plant,92
Androscoggin Energy Center,Power Plant,100
Missouri River Wastewater Treatment,Power Plant,0
Davenport Water Pollution Control Plant,Power Plant,74
University of Tennessee Steam Plant,Power Plant,81
Opryland USA,Power Plant,100
Rio Bravo,Power Plant,48
Mid-Georgia Cogeneration Facility,Power Plant,84
Berkshire Power,Power Plant,97
Bridgeport Energy Project,Power Plant,100
Cherokee County Cogen,Power Plant,100
Packaging Corp. of America Jackson Mill,Power Plant,98
Pasadena Cogeneration,Power Plant,100
Tiverton Power Plant,Power Plant,94
Westlake Plaquemine,Power Plant,99
Jameson Gas Processing Plant,Power Plant,0
Bridgeport Gas Processing Plant,Power Plant,85
Livingston Generating Facility,Power Plant,91
Tenaska Georgia Generation Facility,Power Plant,92
Tenaska Frontier Generation Station,Power Plant,100
Batesville Generation Facility,Power Plant,37
Black Hawk Station,Power Plant,100
Mustang Station,Power Plant,100
Heat Recovery Coke Facility,Power Plant,65
MPEA Energy Center,Power Plant,94
Maine Independence Station,Power Plant,99
Lakeview Gas Recovery,Power Plant,51
Pine Bluff Energy Center,Power Plant,94
Red Hills Generating Facility,Power Plant,92
Desert Star Energy Center,Power Plant,93
Millennium Power,Power Plant,100
Brownsville Peaking Power,Power Plant,100
Crockett Cogen Project,Power Plant,77
Gregory Power Plant,Power Plant,98
Zeeland Generating Station,Power Plant,91
Dearborn Industrial Generation,Power Plant,93
Taft Cogeneration Facility,Power Plant,92
Plummer Cogen,Power Plant,92
Midlothian Energy Facility,Power Plant,98
MM Taunton Energy,Power Plant,45
MM San Diego-Miramar,Power Plant,85
Portside Energy,Power Plant,97
Lamar Power Project,Power Plant,100
Frontera Energy Center,Power Plant,90
Rumford Power LLC,Power Plant,100
Kalamazoo River Generating Station,Power Plant,91
Livingston Generating Station,Power Plant,73
Klamath Cogeneration Plant,Power Plant,87
Rhode Island State Energy Center,Power Plant,95
MRP Rocky Road LLC,Power Plant,84
Madison,Power Plant,93
Vermillion Energy Facility,Power Plant,94
Sutter Energy Center,Power Plant,96
Rockingham County CT Station,Power Plant,100
RS Cogen,Power Plant,74
NAFTA Region Olefins Complex Cogen Fac,Power Plant,99
Magic Valley Generating Station,Power Plant,100
Griffith Energy LLC,Power Plant,80
Vansycle,Power Plant,66
Milford Power Project,Power Plant,100
Manchief Electric Generating Station,Power Plant,80
"Walton County Power, LLC",Power Plant,87
Desert Basin,Power Plant,62
Kendall County Generation Facility,Power Plant,96
Tenaska Gateway Generating Station,Power Plant,100
Thomson Reuters Campus Bldg A-D,Power Plant,96
Alliant Energy Neenah,Power Plant,98
Rio Nogales Power Project,Power Plant,97
Walton Discover Power Facility,Power Plant,66
Wolf Hollow I LP,Power Plant,94
Hawk Road Facility,Power Plant,100
Hays Energy Project,Power Plant,99
Green Country Energy LLC,Power Plant,100
Worthington Generation LLC,Power Plant,61
Lake Road Generating Plant,Power Plant,90
La Paloma Generating Plant,Power Plant,97
Bank of America Plaza,Power Plant,88
Guadalupe Generating Station,Power Plant,78
Lost Pines 1 Power Project,Power Plant,88
MM Albany Energy,Power Plant,63
MM Tulare Energy,Power Plant,0
MM Lopez Energy,Power Plant,95
Bluegrass Generating Station,Power Plant,100
Calcasieu,Power Plant,70
Broad River Energy Center,Power Plant,91
Bastrop Energy Center,Power Plant,84
Granite Ridge,Power Plant,86
Thad Hill Energy Center,Power Plant,81
Acadia Energy Center,Power Plant,92
Eastman Cogeneration Facility,Power Plant,95
South Point Energy Center,Power Plant,87
Dogwood Energy Facility,Power Plant,69
Rathdrum Power LLC,Power Plant,82
Sunrise Power LLC,Power Plant,83
Nelson Energy Center,Power Plant,89
Aera San Ardo Cogen Facility,Power Plant,0
Channelview Cogeneration Plant,Power Plant,73
Cordova Energy,Power Plant,98
Osceola Generating Station (FL),Power Plant,59
Ontelaunee Energy Center,Power Plant,95
Springdale 1 & 2,Power Plant,97
