institution_type,n,mean_light,median_light,mean_no2,median_no2,mean_impervious,median_impervious
Fortune 500 HQ,499,119.25228622276553,93.15833,5.1285763618738854e-5,4.416408532822157e-5,83.50501002004009,89
Power Plant,13323,15.757140457475819,3.0866666,2.936823024139918e-5,2.6230911775961723e-5,36.17826315394639,17
Sports Venue,2225,70.82670519671909,62.105835,3.189230524383865e-5,3.0018982222287733e-5,69.53348314606727,81
