latitude,longitude,name,type,popup
36.3071316,-95.314464,MegaMicro Factory,EV Facility,"<strong>MegaMicro Factory</strong><br/>Canoo<br/>Pryor, OK<br/>Multiple Classes"
35.468494,-97.521264,Oklahoma City Assembly Facility,EV Facility,"<strong>Oklahoma City Assembly Facility</strong><br/>Canoo<br/>Oklahoma City, OK<br/>Light-Duty (Class 1-2)"
32.6138758,-90.0349356,Canton Factory,EV Facility,"<strong>Canton Factory</strong><br/>Nissan<br/>Canton, MS<br/>Light-Duty (Class 1-2)"
42.378363,-83.04687,Factory ZERO Detroit-Hamtramck Assembly Center,EV Facility,"<strong>Factory ZERO Detroit-Hamtramck Assembly Center</strong><br/>General Motors<br/>Detroit, MI<br/>Light-Duty (Class 1-2)"
30.264979,-97.746598,Gigafactory 5,EV Facility,"<strong>Gigafactory 5</strong><br/>Tesla<br/>Austin, TX<br/>Multiple Classes"
35.464095,-89.402431000000007,BlueOval Tennessee Truck Plant,EV Facility,"<strong>BlueOval Tennessee Truck Plant</strong><br/>Ford<br/>Stanton, TN<br/>Light-Duty (Class 1-2)"
44.657422212335,-73.4411543112,Micro Bird Plattsburgh Plant,EV Facility,"<strong>Micro Bird Plattsburgh Plant</strong><br/>Micro Bird<br/>Plattsburgh, NY<br/>Heavy-Duty (Class 7-8)"
33.656194,-83.718567,Georgia Manufacturing Plant,EV Facility,"<strong>Georgia Manufacturing Plant</strong><br/>Rivian<br/>Social Circle, GA<br/>Light-Duty (Class 1-2)"
48.9736433,-97.246785,MCI Pembina,EV Facility,"<strong>MCI Pembina</strong><br/>Motor Coach Industries<br/>Pembina, ND<br/>Heavy-Duty (Class 7-8)"
38.25752,-84.547617,Toyota Motor Manufacturing Kentucky,EV Facility,"<strong>Toyota Motor Manufacturing Kentucky</strong><br/>Toyota<br/>Georgetown, KY<br/>Light-Duty (Class 1-2)"
42.3950635,-83.3694956,Roush Livonia Manufacturing Facility,EV Facility,"<strong>Roush Livonia Manufacturing Facility</strong><br/>Roush Industries<br/>Livonia, MI<br/>Medium-Duty (Class 3-6)"
42.570913,-83.034747,Sterling Heights Assembly Plant,EV Facility,"<strong>Sterling Heights Assembly Plant</strong><br/>Stellantis<br/>Sterling Heights, MI<br/>Light-Duty (Class 1-2)"
42.455747,-83.041027,Warren Truck Assembly Plant,EV Facility,"<strong>Warren Truck Assembly Plant</strong><br/>Stellantis<br/>Warren, MI<br/>Light-Duty (Class 1-2)"
36.586168,-79.3952367,RBW Vehicle Assembly Plant,EV Facility,"<strong>RBW Vehicle Assembly Plant</strong><br/>RBW Sports & Classics<br/>Danville, VA<br/>Light-Duty (Class 1-2)"
33.4151797,-111.8315,Waymo Driver Integration Plant,EV Facility,"<strong>Waymo Driver Integration Plant</strong><br/>Magna International<br/>Mesa, AZ<br/>Light-Duty (Class 1-2)"
35.622969,-79.076953,Chatham County Facility,EV Facility,"<strong>Chatham County Facility</strong><br/>VinFast<br/>Moncure, NC<br/>Multiple Classes"
42.722703,-84.561582,Lansing Grand River,EV Facility,"<strong>Lansing Grand River</strong><br/>General Motors<br/>Lansing, MI<br/>Light-Duty (Class 1-2)"
