Database,"Source ID",Year,"Outlet ID",Title,"Outlet Type",State,City,County,"Ethnic Media","SPA Full Member","Owner ID","Owner Name","Owner Type",Website,Frequency,"Total Circulation","Days Published","Average Paid Circulation","Average Free Circulation","Circulation Source","EP Audit Source","Type of Station",Group,AM/FM,"Original Content Station"
Newspaper,NP7381-2016,2016,NP7381,"Abilene Reporter-News",,Texas,Abilene,Taylor,No,No,OW0071,Gannett,Public,,D,15850,7,,,,,,,,
Newspaper,NP7381-2018,2018,NP7381,"Abilene Reporter-News",,Texas,Abilene,Taylor,No,Yes,OW0071,Gannett,Public,,D,15850,7,15460,390,EP,AAM,,,,
Newspaper,NP7381-2020,2020,NP7381,"Abilene Reporter-News",,Texas,Abilene,Taylor,No,No,OW5094,Gannett/Gatehouse,Public,,D,15850,7,,,,,,,,
Newspaper,NP1941-2004,2004,NP1941,"Abingdon Argus-Sentinel",,Illinois,Abingdon,Knox,No,No,OW0121,"Emmerich Enterprises",,,W,1400,2,,,,,,,,
Newspaper,NP1941-2014,2014,NP1941,"Abingdon Argus-Sentinel",,Illinois,Abingdon,Knox,No,No,OW0618,"New Media/GateHouse",Investment,,W,1025,1,,,,,,,,
Newspaper,NP1941-2016,2016,NP1941,"Abingdon Argus-Sentinel",,Illinois,Abingdon,Knox,No,No,OW0618,"New Media/GateHouse",Investment,,W,1141,1,,,,,,,,
Newspaper,NP1941-2018,2018,NP1941,"Abingdon Argus-Sentinel",,Illinois,Abingdon,Knox,No,No,OW0618,"New Media/GateHouse",Investment,,W,1141,1,,,Unknown,,,,,
Newspaper,NP1941-2020,2020,NP1941,"Abingdon Argus-Sentinel",,Illinois,Abingdon,Knox,No,No,OW5094,Gannett/Gatehouse,Investment,,W,1141,1,,,,,,,,
Newspaper,NP8054-2004,2004,NP8054,"Abingdon Virginian",,Virginia,Abingdon,Washington,No,No,OW3652,"Abingdon Virginian Inc",,,W,5600,1,,,,,,,,
Newspaper,NP6649-2004,2004,NP6649,"Abington Journal",,Pennsylvania,"Clarks Summit",Lackawanna,No,No,OW2985,"Bartsen Media Inc.",,,W,3145,1,,,,,,,,
Newspaper,NP6649-2014,2014,NP6649,"Abington Journal",,Pennsylvania,"Clarks Summit",Lackawanna,No,No,OW2799,"Civitas Media",Investment,,W,1625,1,,,,,,,,
Newspaper,NP6649-2016,2016,NP6649,"Abington Journal",,Pennsylvania,"Clarks Summit",Lackawanna,No,No,OW2799,"Civitas Media",Investment,,W,1625,1,,,,,,,,
Newspaper,NP6649-2018,2018,NP6649,"Abington Journal",,Pennsylvania,"Clarks Summit",Lackawanna,No,No,OW2799,"Civitas Media",Investment,,W,2184,1,1955,229,EP,AAM,,,,
Newspaper,NP6649-2020,2020,NP6649,"Abington Journal",,Pennsylvania,"Clarks Summit",Lackawanna,No,No,OW2799,"Civitas Media",Investment,,W,2184,1,,,,,,,,
Newspaper,NP3192-2004,2004,NP3192,"Abington Mariner",,Massachusetts,Marshfield,Plymouth,No,Yes,OW1488,"Associated Newspapers",,,W,2000,1,,,,,,,,
Newspaper,NP3192-2014,2014,NP3192,"Abington Mariner",,Massachusetts,Marshfield,Plymouth,No,Yes,OW0618,"New Media/GateHouse",Investment,,W,1772,1,,,,,,,,
Newspaper,NP3192-2016,2016,NP3192,"Abington Mariner",,Massachusetts,Marshfield,Plymouth,No,Yes,OW0618,"New Media/GateHouse",Investment,,W,1772,1,,,,,,,,
Newspaper,NP3192-2018,2018,NP3192,"Abington Mariner",,Massachusetts,Marshfield,Plymouth,No,Yes,OW0618,"New Media/GateHouse",Investment,,W,2936,1,2936,,EP,Sworn/Estimate/Non-Audited,,,,
Newspaper,NP3193-2004,2004,NP3193,"Abington/Rockland Marine",,Massachusetts,Abington,Plymouth,No,No,OW1489,"Herald Media",Private,,W,3750,1,,,,,,,,
Digital,DG0246-2020,2020,DG0246,"AC Primetime",Local,"New Jersey","Atlantic City","Atlantic County",No,,,,"Online News Organization",,,,,,,,,,,,
Newspaper,NP1575-2004,2004,NP1575,"Ackley World Journal",,Iowa,Ackley,Hardin,No,Yes,OW0719,"Times Citizen Communications",,,W,4531,1,,,,,,,,
Newspaper,NP1575-2014,2014,NP1575,"Ackley World Journal",,Iowa,Ackley,Hardin,No,Yes,OW0719,"Times Citizen Communications",,,W,3457,1,,,,,,,,
Newspaper,NP1575-2016,2016,NP1575,"Ackley World Journal",,Iowa,Ackley,Hardin,No,Yes,OW0719,"Times Citizen Communications",,,W,3457,1,,,,,,,,
Newspaper,NP1575-2018,2018,NP1575,"Ackley World Journal",,Iowa,Ackley,Hardin,No,Yes,OW0719,"Times Citizen Communications",Private,,W,3457,1,,,EP,,,,,
Newspaper,NP1575-2020,2020,NP1575,"Ackley World Journal",,Iowa,Ackley,Hardin,No,No,OW0719,"Times Citizen Communications",Private,,W,3457,1,,,,,,,,
Newspaper,NP0369-2004,2004,NP0369,Acorn,,California,"Agoura Hills","Los Angeles",No,No,OW0199,"Rule Jim",,,W,34580,2,,,,,,,,
Newspaper,NP0369-2014,2014,NP0369,Acorn,,California,"Agoura Hills","Los Angeles",No,No,OW0199,"Rule Jim",,,W,30811,1,,,,,,,,
Newspaper,NP0369-2016,2016,NP0369,Acorn,,California,"Agoura Hills","Los Angeles",No,No,OW0199,"Rule Jim",,,W,30261,1,,,,,,,,
Newspaper,NP0369-2018,2018,NP0369,Acorn,,California,"Agoura Hills","Los Angeles",No,No,OW0199,"Rule Jim",,,W,30226,1,,30226,EP,VAC,,,,
Newspaper,NP0369-2020,2020,NP0369,Acorn,,California,"Agoura Hills","Los Angeles",No,No,OW5100,"J. Bee NP Publishing",,,W,30226,1,,,,,,,,
Newspaper,NP8396-2004,2004,NP8396,"Action Advertiser/Action Sunday",,Wisconsin,"Fond du Lac","Fond du Lac",No,No,OW0071,Gannett,Public,,W,82000,2,,,,,,,,
Newspaper,NP8396-2014,2014,NP8396,"Action Advertiser/Action Sunday",,Wisconsin,"Fond du Lac","Fond du Lac",No,No,OW0071,Gannett,Public,,W,35000,2,,,,,,,,
Newspaper,NP8396-2016,2016,NP8396,"Action Advertiser/Action Sunday",,Wisconsin,"Fond du Lac","Fond du Lac",No,No,OW0071,Gannett,Public,,W,20921,2,,,,,,,,
Newspaper,NP8396-2018,2018,NP8396,"Action Advertiser/Action Sunday",,Wisconsin,"Fond du Lac","Fond du Lac",No,No,OW0071,Gannett,Public,,W,1500,2,,,Unknown,,,,,
Newspaper,NP8396-2020,2020,NP8396,"Action Advertiser/Action Sunday",,Wisconsin,"Fond du Lac","Fond du Lac",No,No,OW5094,Gannett/Gatehouse,Public,,W,1500,2,,,,,,,,
Newspaper,NP3878-2004,2004,NP3878,"Ad-Visor and Chronicle",,Michigan,Marshall,Calhoun,No,No,OW1672,"J-Ad Graphics Inc",,,W,18501,1,,,,,,,,
Newspaper,NP3878-2014,2014,NP3878,"Ad-Visor and Chronicle",,Michigan,Marshall,Calhoun,No,No,OW1672,"J-Ad Graphics Inc",,,W,18501,1,,,,,,,,
Newspaper,NP3878-2016,2016,NP3878,"Ad-Visor and Chronicle",,Michigan,Marshall,Calhoun,No,No,OW1672,"J-Ad Graphics Inc",,,W,18967,1,,,,,,,,
Newspaper,NP3878-2018,2018,NP3878,"Ad-Visor and Chronicle",,Michigan,Marshall,Calhoun,No,No,OW1672,"J-Ad Graphics Inc",,,W,19069,1,220,18849,EP,CVC,,,,
Newspaper,NP3878-2020,2020,NP3878,"Ad-Visor and Chronicle",,Michigan,Marshall,Calhoun,No,No,OW1672,"J-Ad Graphics Inc",,,W,19069,1,,,,,,,,
Newspaper,NP5999-2004,2004,NP5999,"Ada Herald",,Ohio,Ada,Hardin,No,No,OW2706,"Brown Publishing Company",,,W,2300,1,,,,,,,,
Newspaper,NP5999-2014,2014,NP5999,"Ada Herald",,Ohio,Ada,Hardin,No,No,OW0963,"Delphos Herald Inc",,,W,1400,1,,,,,,,,
Newspaper,NP5999-2016,2016,NP5999,"Ada Herald",,Ohio,Ada,Hardin,No,No,OW0963,"Delphos Herald Inc",,,W,3000,1,,,,,,,,
Newspaper,NP5999-2018,2018,NP5999,"Ada Herald",,Ohio,Ada,Hardin,No,No,OW0963,"Delphos Herald Inc",,,W,3000,1,3000,,EP,Sworn/Estimate/Non-Audited,,,,
Newspaper,NP5999-2020,2020,NP5999,"Ada Herald",,Ohio,Ada,Hardin,No,No,OW0963,"Delphos Herald Inc",,,W,3000,1,,,,,,,,
Digital,DG0365-2020,2020,DG0365,"Ada Icon",Local,Ohio,Ada,"Hardin County",No,,,,"Online News Organization",,,,,,,,,,,,
Newspaper,NP6345-2004,2004,NP6345,"Ada News",,Oklahoma,Ada,Pontotoc,No,No,OW0067,"Community Newspaper Holdings Inc (CNHI)",Investment,,D,9000,6,,,,,,,,
