page,url,href,.keep_xall,museum_url,source_page
1,https://whichmuseum.com/place/united-states-2682,/museum/science-spectrum-omni-theater-lubbock-9678,TRUE,https://whichmuseum.com/museum/science-spectrum-omni-theater-lubbock-9678,https://whichmuseum.com/place/united-states-2682
1,https://whichmuseum.com/place/united-states-2682,/museum/tulsa-historical-society-museum-9707,TRUE,https://whichmuseum.com/museum/tulsa-historical-society-museum-9707,https://whichmuseum.com/place/united-states-2682
1,https://whichmuseum.com/place/united-states-2682,/museum/catty-shack-ranch-wildlife-sanctuary-jacksonville-9853,TRUE,https://whichmuseum.com/museum/catty-shack-ranch-wildlife-sanctuary-jacksonville-9853,https://whichmuseum.com/place/united-states-2682
1,https://whichmuseum.com/place/united-states-2682,/museum/nevada-historical-society-reno-10049,TRUE,https://whichmuseum.com/museum/nevada-historical-society-reno-10049,https://whichmuseum.com/place/united-states-2682
1,https://whichmuseum.com/place/united-states-2682,/museum/conde-charlotte-museum-mobile-10141,TRUE,https://whichmuseum.com/museum/conde-charlotte-museum-mobile-10141,https://whichmuseum.com/place/united-states-2682
1,https://whichmuseum.com/place/united-states-2682,/museum/amarillo-museum-of-art-10178,TRUE,https://whichmuseum.com/museum/amarillo-museum-of-art-10178,https://whichmuseum.com/place/united-states-2682
2,https://whichmuseum.com/place/united-states-2682?page=2,/museum/moma-new-york-9276,TRUE,https://whichmuseum.com/museum/moma-new-york-9276,https://whichmuseum.com/place/united-states-2682?page=2
2,https://whichmuseum.com/place/united-states-2682?page=2,/museum/olana-ny-state-historic-site-greenport-16500,TRUE,https://whichmuseum.com/museum/olana-ny-state-historic-site-greenport-16500,https://whichmuseum.com/place/united-states-2682?page=2
2,https://whichmuseum.com/place/united-states-2682?page=2,/museum/white-house-washington-d-c-9198,TRUE,https://whichmuseum.com/museum/white-house-washington-d-c-9198,https://whichmuseum.com/place/united-states-2682?page=2
2,https://whichmuseum.com/place/united-states-2682?page=2,/museum/california-citrus-state-park-visitor-center-riverside-10277,TRUE,https://whichmuseum.com/museum/california-citrus-state-park-visitor-center-riverside-10277,https://whichmuseum.com/place/united-states-2682?page=2
