name,institution_type,avg_rad,no2,impervious_surface
Greene Valley Gas Recovery,Power Plant,7.5275,9.086255500555166e-5,72
Sweeny Cogen Facility,Power Plant,129.79,2.153979699000683e-5,93
Dighton Power Plant,Power Plant,6.2166667,2.90489324001332e-5,0
Papillion Creek Wastewater,Power Plant,6.89,4.280667056753998e-5,0
De Pere Energy Center,Power Plant,64.645,3.463469281139399e-5,92
Androscoggin Energy Center,Power Plant,10.054167,2.3730698231628133e-5,100
Missouri River Wastewater Treatment,Power Plant,32.424168,5.1336671495512126e-5,0
Davenport Water Pollution Control Plant,Power Plant,28.784166,3.912299709156594e-5,74
University of Tennessee Steam Plant,Power Plant,100.125,2.9349372859986172e-5,81
Opryland USA,Power Plant,98.90583,3.3168057261028863e-5,100
Rio Bravo,Power Plant,23.536667,2.1004110386486472e-5,48
Mid-Georgia Cogeneration Facility,Power Plant,28.425001,2.1734182676469772e-5,84
Berkshire Power,Power Plant,11.599167,3.844474207135e-5,97
Bridgeport Energy Project,Power Plant,44.301666,4.230536153930699e-5,100
Cherokee County Cogen,Power Plant,10.611667,2.483598347284318e-5,100
Packaging Corp. of America Jackson Mill,Power Plant,65.67,1.7757648283600406e-5,98
Pasadena Cogeneration,Power Plant,180.52333,4.229910523737723e-5,100
Tiverton Power Plant,Power Plant,10.3125,2.6341122381997268e-5,94
Westlake Plaquemine,Power Plant,102.90417,2.611949794183752e-5,99
Jameson Gas Processing Plant,Power Plant,80.980835,1.4511450687810338e-5,0
Bridgeport Gas Processing Plant,Power Plant,14.735,2.3274433346256575e-5,85
Livingston Generating Facility,Power Plant,4.6925,3.814105391616514e-5,91
Tenaska Georgia Generation Facility,Power Plant,3.6516666,2.5587891349112583e-5,92
Tenaska Frontier Generation Station,Power Plant,7.4066668,1.0234236509145753e-5,100
Batesville Generation Facility,Power Plant,16.484167,2.271803629339808e-5,37
Black Hawk Station,Power Plant,122.57167,2.197839227883354e-5,100
Mustang Station,Power Plant,16.159166,2.198789956130603e-5,100
Heat Recovery Coke Facility,Power Plant,100.44334,7.224817740324497e-5,65
MPEA Energy Center,Power Plant,149.64166,7.601491201048877e-5,94
Maine Independence Station,Power Plant,13.57,2.517551738201736e-5,99
Lakeview Gas Recovery,Power Plant,10.586667,2.4251683245150455e-5,51
Pine Bluff Energy Center,Power Plant,61.876667,2.3808915407469583e-5,94
Red Hills Generating Facility,Power Plant,10.976666,1.574679849378999e-5,92
Desert Star Energy Center,Power Plant,9.660833,2.1858520882997728e-5,93
Millennium Power,Power Plant,9.2725,4.7777200017369624e-5,100
Brownsville Peaking Power,Power Plant,9.6725,2.8117951705326477e-5,100
Crockett Cogen Project,Power Plant,21.36,3.076186319677449e-5,77
Gregory Power Plant,Power Plant,25.936666,2.107628127293372e-5,98
Zeeland Generating Station,Power Plant,41.244167,3.84337965574983e-5,91
Dearborn Industrial Generation,Power Plant,93.548330000000007,6.547357978984557e-5,93
Taft Cogeneration Facility,Power Plant,107.15584,3.000639209568731e-5,92
Plummer Cogen,Power Plant,12.695833,1.9412861809266836e-5,92
Midlothian Energy Facility,Power Plant,71.95917,2.5154046315700383e-5,98
MM Taunton Energy,Power Plant,15.678333,2.8917664526879254e-5,45
MM San Diego-Miramar,Power Plant,13.819167,2.800183031542077e-5,85
Portside Energy,Power Plant,24.188334,5.716076215086265e-5,97
Lamar Power Project,Power Plant,38.82,1.94451987664317e-5,100
Frontera Energy Center,Power Plant,10.969167,2.0939347098041543e-5,90
Rumford Power LLC,Power Plant,6.113333,1.1709382043150327e-5,100
Kalamazoo River Generating Station,Power Plant,5.6475,2.7828053451397068e-5,91
Livingston Generating Station,Power Plant,7.3,2.260169407594093e-5,73
Klamath Cogeneration Plant,Power Plant,9.54,1.3174438226353768e-5,87
Rhode Island State Energy Center,Power Plant,23.116667,3.292487255649282e-5,95
MRP Rocky Road LLC,Power Plant,29.911667,5.7762390402929704e-5,84
Madison,Power Plant,13.4225,3.8580831773641425e-5,93
Vermillion Energy Facility,Power Plant,12.828333,3.8761966059150424e-5,94
Sutter Energy Center,Power Plant,8.223333,2.6520122121464088e-5,96
Rockingham County CT Station,Power Plant,10.205833,2.337080669217921e-5,100
RS Cogen,Power Plant,103.496666,4.097021405597307e-5,74
NAFTA Region Olefins Complex Cogen Fac,Power Plant,72.19833,3.0042033136214277e-5,99
Magic Valley Generating Station,Power Plant,30.389168,2.056878105726082e-5,100
Griffith Energy LLC,Power Plant,16.764166,1.6933879983119073e-5,80
Vansycle,Power Plant,0.5133333,1.6652982339316136e-5,66
Milford Power Project,Power Plant,19.5275,4.6274113360874864e-5,100
Manchief Electric Generating Station,Power Plant,7.2508335,2.063496735627229e-5,80
"Walton County Power, LLC",Power Plant,4.8058333,2.911069026958843e-5,87
Desert Basin,Power Plant,26.145,2.2376037338246218e-5,62
Kendall County Generation Facility,Power Plant,11.3325,7.401681353755911e-5,96
Tenaska Gateway Generating Station,Power Plant,19.715834,2.0712914623398673e-5,100
Thomson Reuters Campus Bldg A-D,Power Plant,41.101665,3.790554860566123e-5,96
Alliant Energy Neenah,Power Plant,28.114166,3.507338082759817e-5,98
Rio Nogales Power Project,Power Plant,45.329166,2.0047175453439263e-5,97
Walton Discover Power Facility,Power Plant,5.11,2.477261012688265e-5,66
Wolf Hollow I LP,Power Plant,29.942501,1.7046318534921204e-5,94
Hawk Road Facility,Power Plant,9.059999,2.5587891349112583e-5,100
Hays Energy Project,Power Plant,19.8,2.2609830895312575e-5,99
Green Country Energy LLC,Power Plant,9.140834,3.853389203695523e-5,100
Worthington Generation LLC,Power Plant,8.8525,3.248052803745526e-5,61
Lake Road Generating Plant,Power Plant,16.088333,4.040457782762506e-5,90
La Paloma Generating Plant,Power Plant,23.773333,2.207529211291822e-5,97
Bank of America Plaza,Power Plant,356.18668,4.0066868133028686e-5,88
Guadalupe Generating Station,Power Plant,18.870832,2.2232076617847747e-5,78
Lost Pines 1 Power Project,Power Plant,9.115,1.96947530927897e-5,88
MM Albany Energy,Power Plant,16.9375,2.6554477205909737e-5,63
MM Tulare Energy,Power Plant,2.475,3.740348519852955e-5,0
MM Lopez Energy,Power Plant,7.7883334,8.529352335086817e-5,95
Bluegrass Generating Station,Power Plant,8.6675005,3.194130724782719e-5,100
Calcasieu,Power Plant,50.220833,1.696511778196111e-5,70
Broad River Energy Center,Power Plant,12.622499,2.483598347284318e-5,91
Bastrop Energy Center,Power Plant,19.160833,1.4152069459117214e-5,84
Granite Ridge,Power Plant,10.395833,3.1441153797030916e-5,86
Thad Hill Energy Center,Power Plant,4.9358335,1.9831205466043566e-5,81
Acadia Energy Center,Power Plant,15.408333,1.4656487593479146e-5,92
Eastman Cogeneration Facility,Power Plant,93.5125,2.4909047108920566e-5,95
South Point Energy Center,Power Plant,7.87,2.208489582713439e-5,87
Dogwood Energy Facility,Power Plant,12.921667,2.8628389089573997e-5,69
Rathdrum Power LLC,Power Plant,7.034167,2.6900699853975092e-5,82
Sunrise Power LLC,Power Plant,11.908334,2.0648861608883415e-5,83
Nelson Energy Center,Power Plant,15.0199995,3.77519334038243e-5,89
Aera San Ardo Cogen Facility,Power Plant,9.333333,2.1631373199806663e-5,0
Channelview Cogeneration Plant,Power Plant,83.360830000000007,6.6681156247386e-5,73
Cordova Energy,Power Plant,10.555,3.4733571976885297e-5,98
Osceola Generating Station (FL),Power Plant,7.075,2.9950934116341183e-5,59
Ontelaunee Energy Center,Power Plant,35.260002,3.0971259022072304e-5,95
Springdale 1 & 2,Power Plant,11.7075,3.029084706159676e-5,97
Caledonia,Power Plant,13.080833,1.887990431873761e-5,82
Riverside Generating LLC,Power Plant,3.3908334,2.631903194379468e-5,92
Elwood Energy LLC,Power Plant,162.40916000000001,7.523670407386534e-5,89
Arapahoe Combustion Turbine Project,Power Plant,72.785835,3.891091069580857e-5,84
Gibson City Energy Center LLC,Power Plant,13.846666,3.471014571172712e-5,94
Pinckneyville,Power Plant,13.247499,2.8218848512192756e-5,98
Kinmundy,Power Plant,7.505,2.8092225953110505e-5,28
Corpus Christi Energy Center,Power Plant,117.09583,2.345802035422151e-5,92
Valmont Combustion Turbine Project,Power Plant,8.843333,3.302400565677945e-5,93
Lake Benton I,Power Plant,0.555,2.4468813816314712e-5,0
Afton Generating Station,Power Plant,9.5675,1.2955199417823358e-5,90
ANP Bellingham Energy Project,Power Plant,9.084167,3.699018795313468e-5,82
ANP Blackstone Energy Project,Power Plant,3.8041668,3.619335633532029e-5,88
Odessa-Ector Power Plant,Power Plant,68.63167,3.167633829404732e-5,59
Morris Cogeneration LLC,Power Plant,109.3025,6.882062743541158e-5,97
Los Medanos Energy Center,Power Plant,38.6625,3.9493758676615254e-5,97
Hinds Energy Facility,Power Plant,18.349167,1.797281202442382e-5,94
Attala,Power Plant,10.4725,1.523294307640535e-5,99
Harry L. Oswald,Power Plant,4.6866665,2.6408062258587783e-5,100
Lincoln Generating Facility,Power Plant,29.8,6.745291022127212e-5,96
Ennis Power Company LLC,Power Plant,10.170834,2.2311600278123903e-5,93
Wheatland Generating Facility,Power Plant,11.635834,3.8521916184678395e-5,96
Oneta Energy Center,Power Plant,49.734165,2.919244359810366e-5,99
Freestone Energy Center,Power Plant,31.5025,1.9132600059623568e-5,98
Greenville Electric Generating Station,Power Plant,9.101666,3.378594210553329e-5,77
Montpelier Electric Generating Station,Power Plant,3.9458332,3.242875364876379e-5,91
Jack County,Power Plant,28.774166,2.1074667038765123e-5,96
Liberty Electric Power Plant,Power Plant,51.505833,5.0089055565603985e-5,97
Marshall Energy Facility,Power Plant,17.916666,3.962858958810469e-5,60
Handsome Lake Energy LLC,Power Plant,2.2925,2.1058446133006898e-5,94
Audrain Generating Station,Power Plant,12.940833,2.349715993711616e-5,92
Lee Energy Facility,Power Plant,15.206667,3.976446303128864e-5,98
Energy Shelby County,Power Plant,4.7166667,2.9974000660173296e-5,97
NRG Rockford I,Power Plant,41.338333,4.055177805747852e-5,93
Red Oak Power LLC,Power Plant,14.836666,7.96216599662461e-5,91
Hog Bayou Energy Center,Power Plant,29.625,2.4156370161079276e-5,89
Santa Rosa Energy Center,Power Plant,5.675,1.719558210313573e-5,88
Doyle Energy Facility,Power Plant,6.0891666,2.6650632633862465e-5,93
"Darby Power, LLC",Power Plant,5.8341665,3.0142899330094648e-5,55
University Park South,Power Plant,40.509167,7.11297646821235e-5,90
Gleason Generating Facility,Power Plant,7.0025,2.5616138765305297e-5,100
Crete Energy Venture LLC,Power Plant,13.515,6.450861122937035e-5,91
Whiting Clean Energy,Power Plant,79.73167,7.5702312593536e-5,98
Bowling Green Generating Station,Power Plant,15.113333,3.753148146246527e-5,88
Galion Generating Station,Power Plant,4.9191666,2.786563128622035e-5,89
Napoleon Peaking Station,Power Plant,19.651667,3.5679751928719805e-5,99
Lake Benton II,Power Plant,0.67333335,2.596379860608164e-5,49
Edward L. Addison Generating Plant,Power Plant,25.631666,2.2941686631799852e-5,100
TVA Southaven Combined Cycle,Power Plant,46.805832,3.345334965736383e-5,94
Jackson Generating Station,Power Plant,32.605835,2.9171454840799023e-5,96
Tenaska Lindsay Hill Generating Station,Power Plant,41.829166,1.9886494070037865e-5,84
State Farm Support Center East,Power Plant,34.919167,2.3329367827292916e-5,100
Ceredo Generating Station,Power Plant,16.2925,2.8137396721874348e-5,84
Beaver Creek Gas Plant,Power Plant,9.965834,1.0482900664727075e-5,79
Aurora,Power Plant,47.65,7.61926006881036e-5,97
Arlington Valley Energy Facility,Power Plant,9.9225,1.741726316498123e-5,83
Front Range Power Plant,Power Plant,20.440834,1.8406814643976324e-5,0
Big Sandy Peaker Plant,Power Plant,27.65,2.8662526175551505e-5,92
Wolf Hills Energy,Power Plant,12.1075,1.838513256703552e-5,0
Storm Lake II,Power Plant,0.51,3.030922502434052e-5,0
Medway Hydro,Power Plant,1.7016667,2.05574650428675e-5,0
Decatur Energy Center,Power Plant,78.18083,2.766386245577246e-5,66
Morgan Energy Center,Power Plant,73.674164,3.0384549293945414e-5,74
Blythe Energy Inc,Power Plant,11.135834,1.9553116846522903e-5,93
Calumet Energy Team LLC,Power Plant,20.744999,7.169646469743327e-5,95
New Covert Generating Facility,Power Plant,9.29,3.1095659787864e-5,90
Fairless Energy Center,Power Plant,25.230833,5.778836406452546e-5,95
Channel Energy Center LLC,Power Plant,223.69667,4.5823732494468115e-5,90
Baconton Power Plant,Power Plant,5.110833,2.2909208181621424e-5,100
Gila River Power Block 4,Power Plant,70.14333,2.0852136608107696e-5,96
Calvert City,Power Plant,65.5325,3.9758332837519306e-5,44
Air Products Port Arthur,Power Plant,122.805,1.824194579693795e-5,96
BASF Freeport Works,Power Plant,188.4975,1.6113579728487566e-5,86
Ingleside Cogeneration,Power Plant,112.7225,2.107628127293372e-5,97
Fore River Generating Station,Power Plant,47.11667,3.295537722406365e-5,99
Indian River,Power Plant,13.420834,3.059909423196014e-5,89
Athens Regional Medical Center,Power Plant,38.266666,2.996223150349977e-5,79
Wise County Power LLC,Power Plant,8.449166,2.070978405525976e-5,0
Chuck Lenzie Generating Station,Power Plant,24.909166,3.249285022323601e-5,74
Baytown Energy Center,Power Plant,39.683334,5.353123321528887e-5,42
Hermiston Power Partnership,Power Plant,13.1866665,2.6231685012356538e-5,72
Washington County Power LLC,Power Plant,3.5,2.4269327069128102e-5,100
Delta Energy Center,Power Plant,61.535835,4.1536165468010045e-5,95
Holland Energy Facility,Power Plant,6.5016665,3.01064800753354e-5,83
Ironwood LLC,Power Plant,23.993334,2.6434496778785542e-5,99
Phoenix Wind Power LLC,Power Plant,2.1200001,2.9998216437760445e-5,0
Dell Power Station,Power Plant,13.328333,3.225309327168039e-5,94
Woodstock Windfarm,Power Plant,0.69083333,2.1300633276501703e-5,0
Luna Energy Facility,Power Plant,26.039165,1.360762796563344e-5,95
Otay Mesa Generating Project,Power Plant,26.759167,3.563367378646862e-5,59
Armstrong,Power Plant,11.559999,2.281815248115513e-5,95
Troy Energy LLC,Power Plant,23.585833,4.3588732274226936e-5,73
Pleasants Energy LLC,Power Plant,6.2475,3.465148845090601e-5,79
Dresden Energy Facility,Power Plant,19.031666,2.171886691755249e-5,83
Lakota Ridge LLC,Power Plant,0.53,2.4624087757681876e-5,34
Shaokatan Hills LLC,Power Plant,0.58916664,2.4624087757681876e-5,0
Jack Fusco Energy Center,Power Plant,16.280834,2.558366944196426e-5,42
Cottonwood Energy Project,Power Plant,31.685,1.7882055716224504e-5,100
Sugar Creek Power,Power Plant,19.638334,3.0283120124206173e-5,90
Exelon LaPorte Generating Station,Power Plant,171.8975,4.9812408064816736e-5,63
"Green Mountain Storage, LLC",Power Plant,0.7658333,1.902837000932712e-5,0
Harquahala Generating Project,Power Plant,7.4675,1.807706666015591e-5,92
Astoria Energy,Power Plant,57.570835,8.747815628807685e-5,99
Gans,Power Plant,1.5491667,2.6841045947762884e-5,0
Union Power Station,Power Plant,12.054167,1.4805834517026884e-5,0
Commonwealth Chesapeake,Power Plant,7.4525,2.2565030204777693e-5,97
Thomas A Smith Energy Facility,Power Plant,30.39,2.5455291793442666e-5,81
Columbia Energy Center (SC),Power Plant,21.894167,2.845033485870845e-5,90
State Farm Insur Support Center Central,Power Plant,119.5375,5.243418964653262e-5,56
RockGen Energy Center,Power Plant,5.7316666,3.334990961990911e-5,100
Zion Energy Center,Power Plant,54.6,4.412615423924301e-5,98
Metcalf Energy Center,Power Plant,15.011667,3.721098111232863e-5,82
Crossroads Energy Center,Power Plant,20.164167,2.1714447282176387e-5,68
Washington Energy Facility,Power Plant,6.33,2.8005637338362496e-5,97
Elk Hills Power LLC,Power Plant,35.088333,2.7198085474095523e-5,93
Rolling Hills Generating,Power Plant,9.246667,2.6683237512433e-5,89
Renaissance Power Plant,Power Plant,17.218334,3.242513526570471e-5,99
Carville Energy LLC,Power Plant,34.570835,2.7636888721615005e-5,93
Athens Generating Plant,Power Plant,4.6541667,2.635094398302452e-5,83
Bobby C Smith Jr Energy Facility,Power Plant,6.82,2.653997790000034e-5,99
Calhoun Energy Center,Power Plant,6.7908335,2.3018950499857352e-5,69
Hillabee Energy Center,Power Plant,17.264166,1.880538289165e-5,96
Osprey Energy Center Power Plant,Power Plant,35.748333,3.2384651083620645e-5,100
Shady Hills Generating Station,Power Plant,24.626667,2.2720726602993115e-5,91
Vandolah Power Station,Power Plant,6.4175,2.596301098334751e-5,92
Raccoon Creek Energy Center,Power Plant,11.115833,2.508533433951495e-5,85
Hot Spring Generating Facility,Power Plant,11.679167,1.597393184206516e-5,100
Plaquemine Cogeneration Plant,Power Plant,194.19417,3.664432732675286e-5,93
Kentucky Mills,Power Plant,40.481667,3.3886730640580346e-5,95
Bayou Cove Peaking Power,Power Plant,4.71,1.5066866150727822e-5,79
MRP Elgin LLC,Power Plant,25.35,6.150408440969566e-5,92
Tenaska Virginia Generating Station,Power Plant,7.2133336,1.778291579446691e-5,95
Central Alabama Generating Station,Power Plant,41.829166,1.9886494070037865e-5,77
Columbia Energy Center,Power Plant,20.468334,3.045987741141521e-5,91
Magnolia Power Plant,Power Plant,24.659166,2.350670009271268e-5,98
Fountain Valley Power Facility,Power Plant,11.32,1.5268051198145194e-5,85
Red Hawk,Power Plant,28.251667,2.0077451072954732e-5,95
McClain Energy Facility,Power Plant,22.16,2.104868097497447e-5,100
Indeck Niles Energy Center,Power Plant,38.165,3.893518585901513e-5,84
Redbud Power Plant,Power Plant,29.094166,2.1985053219754176e-5,82
Deer Park Energy Center,Power Plant,152.345,4.5985283761983137e-5,87
Ouachita,Power Plant,11.045,1.7851847395618924e-5,92
Green Power 2,Power Plant,162.55583,2.4540916899763457e-5,66
Neil Simpson Gas Turbine #2,Power Plant,52.44583,2.3955373036853472e-5,65
Lange Generating Station,Power Plant,3.28,1.933685121247162e-5,0
Wygen 1,Power Plant,50.319168,2.3955373036853472e-5,98
Forney Energy Center,Power Plant,22.635834,3.150041583177975e-5,86
Mesquite Generating Station Block 2,Power Plant,12.4175,2.0077451072954732e-5,91
Goldendale Generating Station,Power Plant,5.764167,1.7503159772367023e-5,70
Washington Parish Energy Center,Power Plant,10.185833,1.297987638392632e-5,89
Goose Creek Energy Center,Power Plant,3.2375,3.260195235323022e-5,95
CalPeak Power Vaca Dixon Peaker Plant,Power Plant,9.1,2.857835239231107e-5,81
Kiamichi Energy Facility,Power Plant,22.384167,1.4746548155764964e-5,95
"Lawrenceburg Power, LLC",Power Plant,28.653334,4.130038617798745e-5,85
"Waterford Power, LLC",Power Plant,15.566667,2.6525559288260948e-5,0
Limon Generating Station,Power Plant,4.570833,1.4997498235820906e-5,68
Frank Knutson,Power Plant,4.8541665,2.5543594997481175e-5,100
CalPeak Power Panoche Peaker Plant,Power Plant,14.029167,2.3547506592602787e-5,47
CalPeak Power Border Peaker Plant,Power Plant,29.786667,6.15002441308893e-5,52
Cuyamaca Peak Energy Plant,Power Plant,80.410835,3.978820588959164e-5,88
CalPeak Power Enterprise Peaker Plant,Power Plant,48.6675,2.4290361223154212e-05,82
Apex Generating Station,Power Plant,23.5975,2.938927593016839e-5,65
Fayette Energy Facility,Power Plant,9.319167,2.7270124057010417e-5,98
Wallingford Energy,Power Plant,17.7625,5.432739385074581e-5,62
High Desert Power Plant,Power Plant,15.324167,3.845978356169769e-5,0
Sundance,Power Plant,6.7608333,2.259945460593025e-5,76
York Energy Center,Power Plant,22.97,3.376445512966194e-5,97
MMSD South Shore Wastewater,Power Plant,14.628333,4.410833166966491e-5,0
Water Filter Plant #2,Power Plant,11.511666,2.227844657004639e-5,12
Escondido Energy Center,Power Plant,46.141666,2.4290361223154212e-05,73
Chula Vista Energy Center,Power Plant,27.121666,3.272325403376129e-5,87
Indigo Energy Facility,Power Plant,14.4,2.9998216437760445e-5,85
Larkspur Energy Facility,Power Plant,26.063334,6.15002441308893e-5,97
Klamath Expansion Project,Power Plant,13.860833,1.3174438226353768e-5,99
Hidalgo Energy Center,Power Plant,22.4575,2.056878105726082e-5,96
Security,Power Plant,4.8575,1.765494151473515e-5,0
Wilmington Hydrogen Plant,Power Plant,111.3,6.565577385026613e-5,100
Combined Locks Energy Center,Power Plant,27.915834,3.7275271386369335e-5,92
FPL Energy Vansycle LLC (WA),Power Plant,4.8991666,2.441335596724925e-5,0
Tsar Nicholas LLC,Power Plant,0.585,2.4624087757681876e-5,6
Sun River LLC,Power Plant,0.55833334,2.4624087757681876e-5,40
Julia Hills LLC,Power Plant,0.5725,2.4624087757681876e-5,21
Jessica Mills LLC,Power Plant,0.81666666,2.4624087757681876e-5,0
Jack River LLC,Power Plant,0.5725,2.4624087757681876e-5,0
Autumn Hills LLC,Power Plant,0.6425,2.4624087757681876e-5,33
Winters Spawn LLC,Power Plant,0.72333336,2.5335824246764595e-5,0
Twin Lake Hills LLC,Power Plant,0.74,2.470022580480148e-5,0
Spartan Hills LLC,Power Plant,0.6025,2.2784624558780016e-5,0
Soliloquoy Ridge LLC,Power Plant,0.6016667,2.2784624558780016e-5,61
Ruthton Ridge LLC,Power Plant,0.65166664,2.2784624558780016e-5,21
Hope Creek LLC,Power Plant,0.7158333,2.2784624558780016e-5,0
Hadley Ridge LLC,Power Plant,0.6625,2.2784624558780016e-5,1
Florence Hills LLC,Power Plant,0.66583335,2.2784624558780016e-5,34
Agassiz Beach LLC,Power Plant,0.69166666,3.186423523684006e-5,36
Llano Estacado Wind Ranch,Power Plant,0.45916668,2.0761075295099057e-5,0
King Mountain Wind Ranch 1,Power Plant,0.58416665,1.3770708889636028e-5,0
GRS Arbor Hills,Power Plant,16.365,3.932362370013662e-5,95
GRS C&C,Power Plant,8.821667,3.057859552737185e-5,71
GRS CMS,Power Plant,10.074166,3.447302899787496e-5,98
Watchtower Educational Center,Power Plant,4.0208335,3.3414738049719487e-5,98
Perryville Power Station,Power Plant,16.375,1.3766047120750749e-5,97
West Valley Generation Project,Power Plant,16.403334,3.057361968591771e-5,90
Creed Energy Center,Power Plant,2.1966667,3.053890576873364e-5,0
Lambie Energy Center,Power Plant,4.9558334,3.0992542800351274e-5,72
Goose Haven Energy Center,Power Plant,1.8416667,3.146824441249311e-5,0
University Park North,Power Plant,49.9325,7.11297646821235e-5,85
Riverside Energy Center,Power Plant,35.84833,3.411715148094379e-5,75
Blue Spruce Energy Center,Power Plant,13.605833,2.8490410407112476e-5,98
Plains End,Power Plant,6.0816665,3.726692051339112e-5,90
Spring Creek Energy Center,Power Plant,6.51,2.230914977901997e-5,97
Chambersburg,Power Plant,5.213333,2.7262253839760708e-5,80
WFEC GenCo LLC,Power Plant,34.5375,2.0976232337010623e-5,88
"Pastoria Energy Facility, LLC",Power Plant,10.7375,2.8171981457467897e-5,85
Newington,Power Plant,30.516666,2.4870950936136337e-5,95
Newington,Power Plant,30.516666,2.4870950936136337e-5,85
Newington,Power Plant,30.516666,2.6302249262179297e-5,95
Newington,Power Plant,30.516666,2.6302249262179297e-5,85
Chehalis Generating Facility,Power Plant,21.631666,2.842959058864668e-5,0
Harrison County Power Project,Power Plant,18.785833,2.3974149678257603e-5,77
Lower Mount Bethel Energy,Power Plant,5.6,3.482477793882384e-5,84
Flambeau Crowley Rapids Project,Power Plant,0.615,1.7812790068439208e-5,54
Flambeau Lower Project,Power Plant,14.933333,1.875702952898989e-5,0
Higgins Generating Station,Power Plant,12.096666,1.7950007603505833e-05,90
Bethlehem Power Plant,Power Plant,11.646667,2.927642766275059e-5,85
Quantum Choctaw Power LLC,Power Plant,13.409167,1.574679849378999e-5,66
Hanford Energy Park Peaker,Power Plant,19.223333,3.8384794246755174e-5,94
Bayswater Peaking Facility LLC,Power Plant,21.796667,8.96004649139276e-5,98
Mint Farm Generating Station,Power Plant,17.183334,3.567134243350552e-5,100
Fremont Energy Center,Power Plant,12.784166,3.491749562798155e-5,99
Choctaw County,Power Plant,14.0125,1.5620268657061844e-5,98
Nacogdoches Power,Power Plant,9.261666,1.338897743958713e-5,100
Allegheny Energy Units 3 4 & 5,Power Plant,11.96,3.029084706159676e-5,83
Magnet Cove,Power Plant,5.701667,1.9644777886281485e-5,100
Dean,Power Plant,31.145834,4.685596077036607e-5,91
Mountain View I & II,Power Plant,1.2883333,2.9998216437760445e-5,0
Bennett Mountain,Power Plant,6.4425,1.9173350297547667e-5,92
Gray County Wind Energy,Power Plant,0.40833333,2.556702974590469e-5,54
Hanging Rock Energy Facility,Power Plant,43.694168,3.1220713435724264e-5,100
Buchanan Generation LLC,Power Plant,1.865,1.6198844670137657e-5,91
Condon Windpower LLC,Power Plant,0.43083334,1.7572177025825894e-5,0
Ridge Crest Wind Partners,Power Plant,0.68833333,1.555386757736752e-5,51
Montfort Wind Energy Center,Power Plant,1.0291667,2.677784430904779e-5,0
NWP Indian Mesa Wind Farm,Power Plant,0.50666666,1.1759133295828882e-5,61
Los Esteros Critical Energy Center,Power Plant,31.009167,4.047821950270127e-5,100
Hardin Generator Project,Power Plant,9.201667,1.6038965908928048e-5,0
Sonoma Central Landfill Phase I,Power Plant,2.6691666,1.8675056318815324e-5,0
Sonoma Central Landfill Phase II,Power Plant,2.6691666,1.8675056318815324e-5,0
Model City Energy Facility,Power Plant,3.0125,2.9410224075954655e-5,0
Green Knight Energy Center,Power Plant,13.396667,2.6853080348063847e-5,89
Kiefer Landfill,Power Plant,3.4141667,3.269662447582105e-5,13
Madison Windpower LLC,Power Plant,0.52,2.194800107788397e-5,0
Noble Ridge LLC,Power Plant,0.5775,2.63860758496557e-5,50
Edgewood Energy LLC,Power Plant,21.2425,5.468946947032174e-5,65
Shoreham Energy LLC,Power Plant,6.5525,4.547241562277005e-5,97
Fenner Wind,Power Plant,0.71999997,1.7826823735366178e-5,71
Woodward Mountain II,Power Plant,0.4625,1.3380488490281556e-5,0
Woodward Mountain I,Power Plant,0.4625,1.3380488490281556e-5,0
Otsego Mill Power Plant,Power Plant,26.067501,3.126668750501347e-5,88
Marcus Hook Energy LP,Power Plant,104.504166,4.782574414287233e-5,98
Valencia Energy Facility,Power Plant,6.4183335,1.1701579493718086e-5,89
Somerset Windpower LLC,Power Plant,1.1916667,2.085837638068791e-5,0
"Old Gold Energy Center, LLC",Power Plant,0.5625,3.19271697043124e-5,0
Mill Run Windpower LLC,Power Plant,0.545,2.5873445939770436e-5,0
Henrietta Peaker,Power Plant,4.0016665,3.279268120876495e-5,0
Kas Brothers Windfarm,Power Plant,0.73583335,2.1528659072477208e-5,0
Gilroy Peaking Energy Center,Power Plant,19.238333,3.0650525676217995e-5,73
King City Peaking,Power Plant,27.9825,2.245424366280888e-5,52
Yuba City Energy Center,Power Plant,52.478333,2.9775156041647335e-5,81
Hawkeye Power Partners LLC,Power Plant,0.7075,2.988931926450711e-5,58
Frederickson Power LP,Power Plant,73.25833,5.775620551918222e-5,91
Curtis H Stanton Energy Center,Power Plant,77.3275,4.216515643967394e-5,91
MNDOT Standby Generation,Power Plant,171.56166,4.2963647677743145e-5,91
Rocky Mountain Energy Center,Power Plant,5.0241666,2.699250646442951e-5,99
Island Street Peaking Plant,Power Plant,40.203335,3.6825445825913195e-5,91
Silverhawk,Power Plant,24.961666,3.558710679662618e-5,0
Feather River Energy Center,Power Plant,27.4725,2.9062274992103003e-5,82
Valero Refinery Cogeneration Unit 1,Power Plant,70.75584,3.747911323291017e-5,77
Wolfskill Energy Center,Power Plant,35.88,2.928432163931847e-5,76
Prairie State Generating Station,Power Plant,77.94,3.4425777647858885e-05,81
Oak Point Cogen,Power Plant,55.270832,2.3038714341028863e-5,99
Quinebaug Lower Project,Power Plant,9.761666,3.894532542543761e-5,53
Stevens Point Mill,Power Plant,0.5883333,2.847143288305969e-5,0
Basin Creek Plant,Power Plant,8.579166,1.1289320311390098e-5,93
Klondike Wind Power,Power Plant,0.41666666,1.8597972526154987e-5,0
Wellhead Power Panoche,Power Plant,14.029167,2.3547506592602787e-5,0
