"Company","City","State","County","Latitude","Longitude","Q4.2025.Median.Home.Price","Population"
"SOUTHERN","Atlanta","Georgia","Fulton",33.7489954,-84.3879824,514220,"10,711,908"
"PACCAR ","Bellevue","Washington","King",47.6170064,-122.1997509,903970,"7,705,281"
"AMGEN","Thousand Oaks","California","Ventura",34.1705609,-118.8375937,890010,"39,538,223"
"Cummins","Indianapolis","Indiana","Marion",39.7681486,-86.1518866,250140,"6,785,528"
"Halliburton","Houston","Texas","Harris",29.9377567,-95.3404419,306470,"29,145,505"
"Duke Energy","Charlotte","North Carolina","Mecklenburg",35.223998,-80.848639,471910,"10,439,388"
"US Foods Holdings",NA,"Illinois","Cook",41.9867507,-87.8721602,357630,"12,812,508"
"Thermo Fisher Scientific","Waltham","Massachusetts","Middlesex",42.3929224,-71.2615943,793120,"7,029,917"
"Eli Lilly and Company Corporate Center","Indianapolis","Indiana","Marion",39.7559112,-86.1530808,250140,"6,785,528"
"DXC Technology",NA,"Virginia","Fairfax",38.9233855,-77.2214581,782680,"8,631,393"
