"Company","City","State","County","Latitude","Longitude","Q4.2025.Median.Home.Price","Population"
"PulteGroup","Atlanta","Georgia","Fulton",33.7489954,-84.3879824,514220,"10,711,908"
"Celanese Corporation","Irving","Texas","Dallas",32.871208,-96.943557,329370,"29,145,505"
"Avery Dennison","Glendale","California","Los Angeles",34.1425078,-118.255075,883230,"39,538,223"
"Leidos Holdings","Richmond","Virginia",NA,37.5407246,-77.4360481,NA,"8,631,393"
"NVR Inc","Reston","Virginia","Fairfax",38.9519446,-77.3502091,782680,"8,631,393"
"Graybar Electric Supply",NA,"Missouri","St. Louis",38.7082563,-90.3327602,312860,"6,154,913"
"Everett","Everett","Washington","Snohomish",47.9789848,-122.2020795,751400,"7,705,281"
"Western & Southern Financial Group Findlay","Findlay","Ohio","Hancock",41.0427625,-83.6288263,247240,"11,799,448"
"Spirit Aerosystems Holdings","Wichita","Kansas","Sedgwick",37.6871761,-97.330053,230800,"2,937,880"
"Newmont Goldcorp",NA,"Colorado","Arapahoe",39.6172101,-104.9508141,593960,"5,773,714"
"American Axle and Manufacturing","Detroit","Michigan","Wayne",42.331427,-83.0457538,206910,"10,077,331"
"Magellan Health","Scottsdale","Arizona","Maricopa",33.5084918,-111.9271907,488740,"7,151,502"
"Motorola Solutions Inc","Chicago","Illinois","Cook",41.8809559,-87.6406245,357630,"12,812,508"
"Citizens Financial Group","Providence","Rhode Island","Providence",41.827414,-71.410773,444090,"1,097,379"
"J M Smucker Co Store & Cafe",NA,"Ohio","Wayne",40.8027783,-81.7630265,266630,"11,799,448"
"Keycorp",NA,"Ohio","Cuyahoga",41.3853982,-81.441808,225250,"11,799,448"
"Dover Corporation",NA,"Illinois","DuPage",41.8332067,-88.0075585,435690,"12,812,508"
"Apache Corp","Houston","Texas","Harris",29.744689,-95.4616265,306470,"29,145,505"
"American Tower Corporation","Boston","Massachusetts","Suffolk",42.346449,-71.079981,739680,"7,029,917"
"Keurig Dr Pepper",NA,"Massachusetts","Middlesex",42.4817587,-71.2211466,793120,"7,029,917"
"Casey's General Stores Inc","Ankeny","Iowa","Polk",41.693711,-93.57317,288360,"3,190,369"
"Raymond James Financial","Saint Petersburg","Florida","Pinellas",27.8887405,-82.6669628,400470,"21,538,187"
"Weyerhaeuser Company Seattle","Seattle","Washington","King",47.6004408,-122.332628,903970,"7,705,281"
"Activision Blizzard","Santa Monica","California","Los Angeles",34.0198026,-118.4524457,883230,"39,538,223"
"Quest Diagnostics Corporate",NA,"New Jersey","Hudson",40.7878337,-74.0449297,610440,"9,288,994"
"Constellation Brands Inc",NA,"New York","Ontario",43.0284222,-77.4348227,273020,"20,201,249"
"Fidelity National Financial","Jacksonville","Florida","Duval",30.3181782,-81.6764314,339790,"21,538,187"
"A-Mark Previous Metals El Segundo",NA,"California","Los Angeles",33.9191799,-118.4164652,883230,"39,538,223"
"UGI Corporation","Upper Merion Township","Pennsylvania","Montgomery",40.0885417,-75.4070304,485590,"13,002,700"
"United Natural Foods","Providence","Rhode Island","Providence",41.8239891,-71.4128343,444090,"1,097,379"
"Chesapeake Energy","Oklahoma City","Oklahoma","Oklahoma",35.4675602,-97.5164276,250080,"3,959,353"
"Navistar International",NA,"Illinois","DuPage",41.801141,-88.0747875,435690,"12,812,508"
"Delek US Holdings",NA,"Tennessee","Williamson",36.0331164,-86.7827772,888220,"6,910,840"
"American Family Insurance Group","Madison","Wisconsin","Dane",43.0730517,-89.4012302,458010,"5,893,718"
"IQVIA Holdings","Durham","North Carolina","Durham",35.9940329,-78.898619,445390,"10,439,388"
"SunTrust Banks","Atlanta","Georgia","Fulton",33.7489954,-84.3879824,514220,"10,711,908"
"Ally Financial","Detroit","Michigan","Wayne",42.331427,-83.0457538,206910,"10,077,331"
"Targa Resources","Houston","Texas","Harris",29.7604267,-95.3698028,306470,"29,145,505"
"BorgWarner Propulsion Technical Center",NA,"Michigan","Oakland",42.6970837,-83.2535823,388210,"10,077,331"
"Silver Spring","Silver Spring","Maryland","Montgomery",38.9906657,-77.026088,680160,"6,177,224"
"CenterPoint Energy Plaza","Houston","Texas","Harris",29.7571169,-95.3679888,306470,"29,145,505"
"Pacific Life Insurance Co",NA,"California","Orange",33.6194334,-117.877543,1057230,"39,538,223"
"DEVON ENERGY","Oklahoma City","Oklahoma","Oklahoma",35.4675602,-97.5164276,250080,"3,959,353"
"AES","Arlington","Virginia","Arlington",38.8799697,-77.1067698,973410,"8,631,393"
"EBAY","San Jose","California","Santa Clara",37.3382082,-121.8863286,1558540,"39,538,223"
"Molson Coors Brewing","Denver","Colorado",NA,39.7392358,-104.990251,NA,"5,773,714"
"Universal Health Services","Upper Merion Township","Pennsylvania","Montgomery",40.1012856,-75.3835525,485590,"13,002,700"
"Live Nation Entertainment",NA,"California","Los Angeles",34.0736204,-118.4003563,883230,"39,538,223"
"NRG Energy","Princeton","New Jersey","Mercer",40.3572976,-74.6672226,461940,"9,288,994"
"L3 Technologies","New York","New York","New York",40.7492599,-73.975865,1172110,"20,201,249"
"Charles Schwab","San Francisco","California",NA,37.7906917,-122.3928271,NA,"39,538,223"
"Entergy","New Orleans","Louisiana","Orleans Parish",29.9510658,-90.0715323,NA,"4,657,757"
"Lam Research","Fremont","California","Alameda",37.5485396,-121.988583,1108180,"39,538,223"
"Baxter International",NA,"Illinois","Lake",42.1711365,-87.8445119,392350,"12,812,508"
"Office Depot","Boca Raton","Florida","Palm Beach",26.3683064,-80.1289321,521590,"21,538,187"
"Crown Holdings",NA,"Pennsylvania","Bucks",40.245664,-74.8459972,491060,"13,002,700"
"Quanta Service","Houston","Texas","Harris",29.7604267,-95.3698028,306470,"29,145,505"
"W.W. Grainger",NA,"Illinois","Lake",42.2586342,-87.840625,392350,"12,812,508"
"AutoZone","Memphis","Tennessee","Shelby",35.1495343,-90.0489801,292520,"6,910,840"
"Expedia Group","Bellevue","Washington","King",47.6101497,-122.2015159,903970,"7,705,281"
"Corning",NA,"New York","Steuben",42.1428521,-77.0546903,146260,"20,201,249"
"Laboratory Corp. of America","Burlington","North Carolina","Alamance",36.0956918,-79.4377991,295500,"10,439,388"
"Norfolk Southern","Norfolk","Virginia",NA,36.8507689,-76.2858726,NA,"8,631,393"
"Huntsman LLC","The Woodlands","Texas","Montgomery",30.1596297,-95.4564633,368940,"29,145,505"
"Reliance Steel & Aluminum Co","Los Angeles","California","Los Angeles",34.051473,-118.2514575,883230,"39,538,223"
"Xcel Energy","Minneapolis","Minnesota","Hennepin",44.9795754,-93.2705091,407520,"5,706,494"
"Unum Group","Chattanooga","Tennessee","Hamilton",35.0456297,-85.3096801,372350,"6,910,840"
"Group 1 Automotive","Houston","Texas","Harris",29.7777447,-95.5438873,306470,"29,145,505"
"BALL","Broomfield","Colorado",NA,39.9205411,-105.0866504,NA,"5,773,714"
"Farmers Insurance Exchange",NA,"California","Yolo",38.6785157,-121.7732971,633030,"39,538,223"
"Sempra Energy","San Diego","California","San Diego",32.715738,-117.1610838,928550,"39,538,223"
"Nvidia","Santa Clara","California","Santa Clara",37.3541079,-121.9552356,1558540,"39,538,223"
"Tenneco",NA,"Illinois","Lake",42.2586342,-87.840625,392350,"12,812,508"
"MGM Resorts International Career Center",NA,"Nevada","Clark",36.0712215,-115.1451887,457490,"3,104,614"
"Lithia Motors","Medford","Oregon","Jackson",42.3265152,-122.8755949,462170,"4,237,256"
"Steel Dynamics","Fort Wayne","Indiana","Allen",41.079273,-85.1393513,260380,"6,785,528"
