"facility_name","address","city","state","zip","county","lat","long","status","operator_name","mw","sizerank","community_pushback","mw_clean","local_gen_mw","pct_consumed","local_mw_capacity","pct_consumed_capped"
"AUSTIN DATA CENTER AUS-02","4100 SMITH SCHOOL RD","Austin","TX","78744","Travis",30.1991,-97.7134,"Operating",NA,NA,"Unknown","Unknown",0,665119.1,0,7229.2,0
"Giga Texas Datacenter","1 Tesla Rd","Austin","TX","78725","Travis",30.22492,-97.6196,"Operating",NA,NA,"Unknown","Unknown",0,670120.3,0,5698.2,0
"ORACLE-AUSTIN DATA CENTER","11400 N LAMAR BLVD","Austin","TX","78753","Travis",30.38364,-97.6863,"Operating",NA,NA,"Unknown","Unknown",0,673729.199999999,0,5768.9,0
"CleanSpark Data Center","Unknown","Austin County","TX",NA,"Austin",29.884085,-96.219376,"Proposed","CleanSpark","285","Hyperscale (100-999 MW)","Unknown",285,695457,2.45780763558905,11595.7,2.45780763558905
"EdgeConneX  AUS02","8001 Wolf Ln","Bastrop","TX","78612","Bastrop",30.141737,-97.56553,"Proposed",NA,NA,"Unknown","Unknown",0,668453.599999999,0,6622,0
"EdgeConneX potential Data Center","6682 FM 535 Cedar Creek","Bastrop","TX","78602","Bastrop",30.003628,-97.432915,"Proposed","EdgeConneX",NA,"Unknown","Unknown",0,667163.6,0,8137,0
"PowerBridge/ LandBridge s","Close to Waha Gas Hub","Between Odessa and Pecos","TX",NA,"Reeves",31.316566,-103.10906,"Proposed",NA,"2000","Mega campus (>1,000 MW)","Unknown",2000,559967.300000001,48.3898284580581,4133.1,48.3898284580581
"CleanSpark Data Center","Unknown","Brazoria County","TX",NA,"Brazoria",29.182318,-95.47511,"Proposed","CleanSpark","300-600","Hyperscale (100-999 MW)","Unknown",300,680809.1,1.24337385350569,24127.9,1.24337385350569
"Viridien Data Center","2602 Longwood Drive","Brenham","TX","77833","Washington",30.140465,-96.40983,"Proposed","Viridien","45","Medium (11-50 MW)","Yes",45,710808.5,1.23068508136196,3656.5,1.23068508136196
"Open AI/ SoftBank ""Freebird""","1899 County Rd 133","Burlington","TX","76519","Milam",31.00507,-97.0179,"Proposed",NA,"1500","Mega campus (>1,000 MW)","Unknown",1500,722088.500000001,19.2896273244001,7776.2,19.2896273244001
"Microsoft Castroville Data Center (SAT 89-90)","2995 US-90","Castroville","TX","78009","Medina",29.35138,-98.9406,"Proposed","Microsoft",NA,"Unknown","Unknown",0,545700.200000002,0,5140.2,0
"EdgeConnex","Wolf Ln and FM 535","Cedar Creek","TX","78612","Bastrop",30.14096,-97.5668,"Proposed",NA,NA,"Unknown","Unknown",0,668453.599999999,0,6622,0
"Childress Data Center (Horizon 1)","620 FM1033","Childress","TX","79201","Childress",34.383278,-100.056885,"Operating","IREN","750","Hyperscale (100-999 MW)","Unknown",750,719990.400000001,40.7166123778502,1842,40.7166123778502
"Lancium Childress","Co Rd AA","Childress","TX","79201","Childress",34.37564,-100.053,"Proposed",NA,NA,"Unknown","Unknown",0,719909.900000001,0,2025.8,0
"Goodnight Campus","10001 Lima Rd","Claude","TX","79019","Armstrong",35.018444,-101.311516,"Approved/Permitted/Under construction","Crusoe","1030","Mega campus (>1,000 MW)","Unknown",1030,723070.4,23.4213338790732,4397.7,23.4213338790732
"Project Aggie (PPM Data LLC)",NA,"College Station City","TX",NA,"Brazos",30.56981,-96.2592,"Suspended",NA,"600","Hyperscale (100-999 MW)","Unknown",600,734544.400000001,12.3527958494606,4857.2,12.3527958494606
"Fluidstack","951 Co Rd 204","Colorado City","TX","79512","Mitchell",32.396473,-100.91535,"Operating",NA,"300","Hyperscale (100-999 MW)","Unknown",300,657974.899999999,3.08093619381143,9737.3,3.08093619381143
"Hut 8 Beacon Point Data Center","near Callicoatte Rd","Corpus Christi","TX","78410","Nueces",27.844814,-97.6115,"Expanding","Hut 8","597","Hyperscale (100-999 MW)","Unknown",597,545924.100000002,10.0418832315689,5945.1,10.0418832315689
"Riot Platforms","6980 Farm to Market Rd 709","Corsicana","TX","75110","Navarro",31.963621,-96.521034,"Operating",NA,"400-1000","Mega campus (>1,000 MW)","Unknown",400,775637.300000001,3.99376971923799,10015.6,3.99376971923799
"Fort Hood data base","Fort Hood","Coryell","TX","76544","Coryell",31.155802,-97.80226,"Proposed",NA,NA,"Unknown","Unknown",0,700822.3,0,4304.5,0
"Centersquare Dallas/Fort Worth Data Center","11830 Webb Chapel Rd #200","Dallas","TX","75234","Dallas",32.91178,-96.8711,"Operating",NA,NA,"Unknown","Unknown",0,786482.500000002,0,10498.6,0
"Cologix Dallas Data Centers","1950 N Stemmons Fwy #1032","Dallas","TX","75207","Dallas",32.80122,-96.81958,"Operating",NA,NA,"Unknown","Unknown",0,788852.400000002,0,9874.30000000002,0
"Dallas Data Center","1515 Round Table Dr","Dallas","TX","75247","Dallas",32.83822,-96.8789,"Operating",NA,"12","Medium (11-50 MW)","Unknown",12,788203.800000002,0.121527601956594,9874.30000000002,0.121527601956594
"Equinix: DA12-1 and DA12-2","1550 West Mockingbird Ln","Dallas","TX","75235","Dallas",32.821037,-96.85867,"Proposed","Equinix",NA,"Hyperscale (100-999 MW)","Unknown",0,787915.900000002,0,9874.30000000002,0
"Equinix Data Center","2323 Bryan St Suite 1400","Dallas","TX","75201","Dallas",32.78737,-96.7944,"Operating",NA,NA,"Unknown","Unknown",0,789848.700000002,0,9874.30000000002,0
"Flexential Dallas - Richardson Data Center","3010 Waterview Pkwy","Dallas","TX","75252","Collin",32.99478,-96.7526,"Operating",NA,"3.75","Small (0-10 MW)","Unknown",3.75,797356.700000002,0.036375276452101,10309.2,0.036375276452101
"KYNDRYL DALLAS DATA CENTER","1000 BELLEVIEW ST","Dallas","TX","75215","Dallas",32.76849,-96.7941,"Operating",NA,NA,"Unknown","Unknown",0,789517.100000002,0,9756.30000000002,0
"Stemmons Corridor data campus","Stemmons Corridor district","Dallas","TX","75207","Dallas",32.805115,-96.83142,"Proposed","CleanArc","70-245","Hyperscale (100-999 MW)","Unknown",70,788725.900000002,0.708911011413466,9874.30000000002,0.708911011413466
"TierPoint - Dallas Data Center","3004 Irving Blvd","Dallas","TX","75247","Dallas",32.80838,-96.8576,"Operating",NA,NA,"Unknown","Unknown",0,787653.400000002,0,9874.30000000002,0
"Denton Data Center (Core Scientific)","8171 Jim Christal Rd","Denton","TX","76207","Denton",33.21948,-97.2129,"Operating",NA,"391","Hyperscale (100-999 MW)","Unknown",391,785104.000000002,4.89901267979753,7981.2,4.89901267979753
"Qumulus AI","South of Jim Cristal Rd, east of Western Blvd","Denton","TX","76207","Denton",33.20929,-97.180824,"Proposed","Qumulus AI","20","Medium (11-50 MW)","Unknown",20,785679.400000002,0.246749080859674,8105.4,0.246749080859674
"Texas Critical Data Centers",NA,"Ector County","TX",NA,"Ector",31.89517,-102.556,"Proposed",NA,"250-1,000","Mega campus (>1,000 MW)","Unknown",250,589938.799999998,4.90157634695318,5100.4,4.90157634695318
"AWS (Bitter Blue) (also ""Rockfish""?)","12807 Donop Rd","Elmendorf","TX","78112","Bexar",29.292835,-98.38842,"Proposed",NA,NA,"Unknown","Unknown",0,570947.199999998,0,8091.4,0
"Meta Project Seafox","7001 Stan Roberts Sr Ave","El Paso","TX","79934","El Paso",31.98718,-106.369095,"Proposed","Wurldwide LLC/ Meta","1000","Mega campus (>1,000 MW)","Unknown",1000,519679.700000002,46.2320850670365,2163,46.2320850670365
"CyrusOne","adjacent to Freestone Energy Center, 1366 FM488","Fairfield","TX","75840","Freestone",31.893915,-96.11786,"Proposed","CyrusOne","380","Hyperscale (100-999 MW)","Unknown",380,785616.800000002,6.71152793231954,5661.9,6.71152793231954
"Cawley Partners","near Hwy 45, between Ellis and Dallas Cos.","Ferris","TX",NA,"Ellis",32.53902,-96.6347,"Proposed",NA,NA,"Unknown","Unknown",0,784284.800000002,0,9711.90000000002,0
"Fort Bliss Data Center","Fort Bliss army base","Fort Bliss","TX","79906","El Paso",31.82617,-106.4042,"Proposed",NA,NA,"Unknown","Unknown",0,517191.400000002,0,2163,0
"Project Horizon","King Rd","Fort Stockton","TX","79735","Pecos",30.421732,-102.509315,"Proposed","Poolside","2000","Mega campus (>1,000 MW)","Unknown",2000,535577.200000002,77.9575131553303,2565.5,77.9575131553303
"Black Mountain Data Center","near 7600 Anglin Dr","Fort Worth","TX","76140","Tarrant",32.64334,-97.25621,"Proposed",NA,NA,"Hyperscale (100-999 MW)","Unknown",0,768729.300000001,0,14536.5,0
"Centersquare Dallas/Fort Worth Data Center","14901 FAA Blvd","Fort Worth","TX","76155","Tarrant",32.83233,-97.0405,"Operating",NA,NA,"Unknown","Unknown",0,780675.900000001,0,10041.7,0
"CyrusOne/Eolian Data Center","Asphalt Dr","Fort Worth","TX","76179","Tarrant",32.90195,-97.39384,"Approved/Permitted/Under construction","CyrusOne","70?","Large (51-99 MW)","Yes",70,769645.200000001,0.518453231815252,13501.7,0.518453231815252
"Edged Fort Worth Data Center","Chapin School Rd","Fort Worth","TX","76126","Tarrant",32.689224,-97.4945,"Proposed",NA,NA,"Unknown","Unknown",0,758560.300000002,0,13091.1,0
"Meta Forth Worth Data Center","4500 Like Wy","Fort Worth","TX","76177","Tarrant",32.98489,-97.262,"Operating","Meta",NA,"Unknown","Unknown",0,776198.800000001,0,11437.5,0
"QTS- Fort Worth-Dallas","14100 Park Vista Blvd","Fort Worth","TX","76177","Tarrant",32.98912,-97.2622,"Operating",NA,NA,"Unknown","Unknown",0,776198.800000001,0,11437.5,0
"NTT Global Data Centers Americas - Dallas TX1","2008 Lookout Dr","Garland","TX","75044","Dallas",32.98221,-96.6574,"Operating",NA,NA,"Unknown","Unknown",0,798479.300000002,0,10303.6,0
"Blueprint Project","1201 Westinghouse Rd","Georgetown","TX","78626","Williamson",30.584257,-97.672676,"Approved/Permitted/Under construction","Blueprint Project","35","Medium (11-50 MW)","Unknown",35,679717.9,0.498575498575499,7020,0.498575498575499
"Georgetown Data Center","201 Blue Ridge Dr","Georgetown","TX","78626","Williamson",30.60149,-97.6773,"Operating",NA,NA,"Unknown","Unknown",0,679704.4,0,7020,0
"Lone Star Project",NA,"Glasscock County","TX",NA,"Glasscock",31.788517,-101.581985,"Proposed","Pace","100","Hyperscale (100-999 MW)","Unknown",100,625608.699999998,1.64400677330791,6082.7,1.64400677330791
"MARA Bitcoin Mining Data Center","2001 Mitchell Bend Hwy","Granbury","TX","76048","Hood",32.341797,-97.731636,"Operating","Marathon Digital Holdings (MARA)",NA,"Hyperscale (100-999 MW)","Yes",0,745127.100000001,0,10118.8,0
"Eneus Energy","Near Valley International Airport","Harlingen","TX","78550","Cameron",26.226423,-97.63307,"Proposed",NA,"2,000","Mega campus (>1,000 MW)","Unknown",2000,456149.000000002,37.6953088188175,5305.7,37.6953088188175
"Project Aquilla: Abbott Holding Data Center","Along I-35 corridor, 1 miles from schools, adjacent to Lake Aquilla","Hill County","TX",NA,"Hill",31.96484,-97.123825,"Proposed","RCM Hill","1,235","Mega campus (>1,000 MW)","Yes",1235,753236.800000002,10.1617654318956,12153.4,10.1617654318956
"Provident Data Center","1000 Airport Blvd","Hillsboro","TX","76645","Hill",32.08659,-97.09979,"Proposed",NA,NA,"Unknown","Yes",0,758094.600000002,0,14206.3,0
"CyrusOne LLC - Houston West III Data Center","1003 Corporate Centre Dr","Houston","TX","77041","Harris",29.84402,-95.5609,"Operating",NA,NA,"Unknown","Unknown",0,718479.8,0,24873.5,0
"Serverfarm Data Center (CTX 1, CTX 2)","15555 Cutten Rd","Houston","TX","77070","Harris",29.996,-95.5633,"Expanding",NA,"40-100","Hyperscale (100-999 MW)","Unknown",40,725413.300000001,0.190929876229707,20950.1,0.190929876229707
"ENERGY CONTROL & DATA CENTER","16303 TOMBALL PKWY","HOUSTON","TX","77064","Harris",29.94515,-95.5388,"Operating",NA,NA,"Unknown","Unknown",0,723983.800000001,0,21273.9,0
"Nexus Data Center","Btwn Hwy 171 and County 3369","Hubbard","TX","76648","Hill",31.825197,-96.75136,"Proposed",NA,"600","Hyperscale (100-999 MW)","Unknown",600,756063.200000002,4.99600319744205,12009.6,4.99600319744205
"Iron Mountain Data Center","FM3499","Hutto","TX","78634","Williamson",30.512888,-97.489456,"Proposed",NA,NA,"Hyperscale (100-999 MW)","Unknown",0,685218.3,0,6807.3,0
"Project Hutto","County Road 119 and Limmer Loop","Hutto","TX","78634","Williamson",30.556295,-97.55823,"Cancelled",NA,"70","Large (51-99 MW)","Yes",70,685030.2,0.948856627763545,7377.3,0.948856627763545
"Project Raptor","2351 Innovation Blvd","Hutto","TX","78634","Williamson",30.54322,-97.57,"Proposed","Colovore",NA,"Unknown","Unknown",0,684627.6,0,7127.3,0
"Skybox Hutto PowerCampus Data Center","4200 County Rd 132","Hutto","TX","78634","Williamson",30.53681,-97.5178,"Approved/Permitted/Under construction",NA,NA,"Hyperscale (100-999 MW)","Yes",0,685147.4,0,6861.3,0
"Edged  (DFW01-1)","505 N Wildwood Dr","Irving","TX","75061","Dallas",32.817696,-96.91813,"Operating",NA,"24","Medium (11-50 MW)","Unknown",24,784361.700000002,0.250582081293003,9577.70000000002,0.250582081293003
"QTS-Irving","6431 Longhorn Dr","Irving","TX","75063","Dallas",32.89704,-96.9832,"Operating",NA,"147","Hyperscale (100-999 MW)","Unknown",147,784506.100000002,1.50738310090238,9752.00000000002,1.50738310090238
"Jarrell Data Center","FM 487","Jarrell","TX","76537","Williamson",30.81534,-97.6328,"Proposed","Mesones","200","Hyperscale (100-999 MW)","Yes",200,690848.7,3.14317146000314,6363,3.14317146000314
"Houston One Data Center","22000 Franz Rd","Katy","TX","77449","Harris",29.803122,-95.75579,"Operating","Element Critical","26","Medium (11-50 MW)","Unknown",26,713203.3,0.130891370231275,19863.8,0.130891370231275
"Onmine Data Center","6509 S. Fort Hood St","Killen","TX","76542","Bell",31.062225,-97.76623,"Suspended",NA,NA,"Unknown","Yes",0,696272,0,4545,0
"Lacy Lakeview Data Center","just west of Elm Mott","Lacy Lakeview","TX","76705","McLennan",31.66293,-97.110344,"Approved/Permitted/Under construction","InfraKey Capital","1000","Mega campus (>1,000 MW)","Yes",1000,745139.500000001,9.90187244407918,10099.1,9.90187244407918
"Digital Bridge Data Center","unknown location","Lancaster","TX","75146","Dallas",32.57545,-96.6995,"Proposed",NA,"550","Hyperscale (100-999 MW)","Unknown",550,783905.200000002,5.53347753911161,9939.50000000002,5.53347753911161
"PowerCampus Dallas by Lancaster Data Center Campus LP","~1000 Bear Creek Rd","Lancaster","TX","75146",NA,32.56777,-96.7739,"Operating",NA,"300","Hyperscale (100-999 MW)","Unknown",300,782806.700000002,3.07569279980315,9753.90000000002,3.07569279980315
"Project Labrador (WHL Dallas 45 LLC)","1401 Greene Rd","Lancaster","TX","75146","Dallas",32.59966,-96.7302,"Proposed",NA,NA,"Unknown","Unknown",0,784302.400000002,0,9394.80000000002,0
