"facility_name","address","city","state","zip","county","lat","long","status","operator_name","mw","sizerank","community_pushback","mw_clean","local_gen_mw","pct_consumed","local_mw_capacity","pct_consumed_capped"
"Stak Energy Data Center","Dalton Hwy, 26 miles south of Deadhorse","North Slope Borough","AK",NA,"North Slope",69.90071,-148.81477,"Proposed","Stak","3000","Mega campus (>1,000 MW)","Unknown",3000,2664,9900.9900990099,30.3,100
"Prudhoe Bay Data Center","Dalton Hwy","Prudhoe Bay","AK","99734","North Slope",70.18478,-148.44,"Operating","Far North Digital, LLC","120","Hyperscale (100-999 MW)","Unknown",120,2664,396.039603960396,30.3,100
"Grant County Data Center","Just outside the city limits of Sheridan, Arkansas, in rural Grant County.","Sheridan","AK","72150","Grant",34.3065,-92.4045,"Proposed","Clean Cloud Energy","500","Hyperscale (100-999 MW)","Yes",500,898783.800000004,12.2865216857108,4069.5,12.2865216857108
"Project Marvel","Rock Mountain Lake Rd","Bessemer","AL","35022","Jefferson",33.342,-87.0341,"Proposed","Logistic Land Investments LLC","1200","Mega campus (>1,000 MW)","Yes",1200,929308.200000004,22.3330603737065,5373.2,22.3330603737065
"BHM01 Nebius Data Center","201 Milan Parkway","Birmingham","AL","35221","Jefferson",33.42746,-86.88143,"Proposed","Nebius","300","Hyperscale (100-999 MW)","Unknown",300,931032.600000004,5.41878149666745,5536.3,5.41878149666745
"DC Blox","433 6th St S","Birmingham","AL","35233","Jefferson",33.50051,-86.821,"Operating",NA,NA,"Unknown","Unknown",0,932139.200000004,0,6155.7,0
"Google Data Center","48809 Alabama 277","Bridgeport","AL","35740","Jackson",34.92019,-85.7446,"Operating","Google",NA,"Hyperscale (100-999 MW)","Unknown",0,946051.200000006,0,6762.6,0
"Western Hospitality Partners Data Center","Childersburg Industrial Park","Childersburg","AL","35044","Talladega",33.340885,-86.336205,"Proposed",NA,"500","Hyperscale (100-999 MW)","Yes",500,932154.800000005,7.08747359916084,7054.7,7.08747359916084
"DC Blox","333 Diamond Dr NW","Huntsville","AL","35806","Madison",34.71003,-86.693,"Operating",NA,NA,"Unknown","Unknown",0,949103.800000006,0,6029.3,0
"Meta Data Center","5400 Prosperity Dr NW","Huntsville","AL","35810","Madison",34.84065,-86.6295,"Operating","Meta",NA,"Unknown","Unknown",0,951359.900000007,0,6029.3,0
"Meta Data Center","~1125 Hyundai Blvd","Montgomery","AL","36105","Montgomery",32.27604,-86.3287,"Approved/Permitted/Under construction","Meta","100-200","Hyperscale (100-999 MW)","Unknown",100,914177.500000003,2.20366248705348,4537.9,2.20366248705348
"Wilsonville Data Center","Shleby County Highway 61","Wilsonville","AL","35186","Shleby",33.257,-86.495,"Proposed","Northpoint Development","1008","Mega campus (>1,000 MW)","Yes",1008,931540.000000005,11.3121156349598,8910.8,11.3121156349598
"Clarksville Data Center","North of Interstate 40","Clarksville","AR","72830","Johnson",35.454384,-93.44725,"Proposed","Serverfarm",NA,"Hyperscale (100-999 MW)","Yes",0,897829.600000004,0,2355.7,0
"Harrison Data Center","Graham Street 202","Harrison","AR","72601","Boone",36.21472,-93.0786,"Operating","Windstream",NA,"Small (0-10 MW)","Unknown",0,916085.300000005,0,813.5,0
"Avaio Digital Leo","near I-530 and 145th St","Little Rock","AR","72206","Pulaski",34.618,-92.26808,"Proposed","Avaio Digital","150-1,000","Hyperscale (100-999 MW)","Yes",150,913886.600000005,3.75977541608181,3989.6,3.75977541608181
"Data center","Little Rock Port","Little Rock","AR","72206","Pulaski",34.71681,-92.1737,"Proposed","Willowbend Capital LLC",NA,"Unknown","Unknown",0,916080.400000004,0,4138,0
"ForgeLight Ventures Data Center","Lollie Rd","Mayflower/ Conway","AR","72106","Faulkner",35.01258,-92.55369,"Proposed","ForgeLight Ventures, LLC",NA,"Unknown","Yes",0,917992.100000005,0,5234.8,0
"Brightspeed Data Center","214 S Denver Ave","Russellville","AR","72801","Pope",35.27746,-93.1372,"Operating",NA,NA,"Unknown","Unknown",0,899850.400000004,0,2353.7,0
"Groot LLC/ Google","Bollinger Rd","West Memphis/Proctor","AR","72376","Crittenden",35.11835,-90.2123,"Approved/Permitted/Under construction","Google",NA,"Hyperscale (100-999 MW)","Unknown",0,946062.800000005,0,3833.1,0
"Maricopa Data Center","2833rd Ave and W Patterson Rd","Buckeye","AZ","85326","Maricopa",33.192265,-112.67318,"Proposed","Fortescue",NA,"Unknown","Yes",0,396556.9,0,16824.8,0
"H5 Data Center","2600 W Germann Rd","Chandler","AZ","85286","Maricopa",33.27716,-111.886,"Operating","H5 Data Centers","32","Medium (11-50 MW)","Unknown",32,431708.900000001,0.358861064695921,8917.1,0.358861064695921
"Compass Data Center","850 S Bullard Ave","Goodyear","AZ","85338","Maricopa",33.44123,-112.377,"Approved/Permitted/Under construction","Compass Data Centers",NA,"Hyperscale (100-999 MW)","Unknown",0,413751.1,0,17416.2,0
"Microsoft Data Center","14250 W Broadway Rd","Goodyear","AZ","85338","Maricopa",33.410748,-112.36683,"Operating","Microsoft",NA,"Unknown","Unknown",0,413943.7,0,18121.6,0
"Stream Data Center","2950 S Litchfield Rd","Goodyear","AZ","85338","Maricopa",33.41965,-112.35942,"Approved/Permitted/Under construction","Stream Data Centers","200","Hyperscale (100-999 MW)","Unknown",200,413948.3,1.10365530637471,18121.6,1.10365530637471
"Vantage Data Center","45 S Bullard Ave","Goodyear","AZ","85338","Maricopa",33.44718,-112.373,"Approved/Permitted/Under construction","Vantage Data Centers","176","Hyperscale (100-999 MW)","Unknown",176,413751.1,1.01055339281818,17416.2,1.01055339281818
"Vintage Partners","Lower Buckeye Road and the Loop 202","Laveen, Phoenix","AZ","85043","Maricopa",33.421955,-112.19218,"Cancelled",NA,NA,"Unknown","Unknown",0,419415.500000001,0,17288.3,0
"Project Blue Marana","14990 W Hardin Rd","Marana","AZ","85653","Pima",32.4929,-111.28652,"Proposed","Beale Infrastructure","250-600","Hyperscale (100-999 MW)","Yes",250,432055.400000002,5.44093322886741,4594.8,5.44093322886741
"Apple Data Center","3740 S Signal Butte Rd","Mesa","AZ","85212","Maricopa",33.3471,-111.604,"Operating",NA,NA,"Unknown","Unknown",0,444921.500000001,0,8249.6,0
"Edged Mesa Data Center","8811 E Warner Rd","Mesa","AZ","85212","Maricopa",33.335514,-111.64406,"Operating","Edged","36","Medium (11-50 MW)","Unknown",36,443395.900000001,0.436384794414275,8249.6,0.436384794414275
"Mesa Amazon Data Center 1","10464 E Pecos Rd","Mesa","AZ","85212","Maricopa",33.29757,-111.607,"Proposed","Amazon",NA,"Hyperscale (100-999 MW)","Unknown",0,444199.600000001,0,8161.6,0
"Mesa Amazon Data Center 2","near Apple Data Center at Elliot/Signal Butte Rds","Mesa","AZ","85212","Maricopa",33.34263,-111.604,"Proposed","Amazon",NA,"Unknown","Unknown",0,444844.100000001,0,8249.6,0
"Meta Data Center","7610 E Elliot Rd","Mesa","AZ","85212","Maricopa",33.35076,-111.67,"Approved/Permitted/Under construction","Meta",NA,"Unknown","Unknown",0,441902.800000001,0,8289.6,0
"NTT Data Center","10256 Elliot Road","Mesa","AZ","85212","Maricopa",33.35061,-111.61,"Operating",NA,"240","Hyperscale (100-999 MW)","Unknown",240,444187.700000001,2.90923196276183,8249.6,2.90923196276183
"NTT Data Center","22000-21794 E Pecos Rd","Mesa","AZ","85212","Maricopa",33.29556,-111.614,"Approved/Permitted/Under construction","NTT Global Data Centers","200","Hyperscale (100-999 MW)","Unknown",200,443648.300000001,2.45049990198,8161.6,2.45049990198
"Page Data Center","Near Horseshoe Bend","Page","AZ","86046","Coconino",36.898376,-111.483154,"Proposed","Huntley LLC",NA,"Hyperscale (100-999 MW)","Yes",0,477660.000000001,0,1312,0
"Aligned","2500 W Union Hills Dr","Phoenix","AZ","85027","Maricopa",33.65898,-112.111,"Operating",NA,"180","Hyperscale (100-999 MW)","Unknown",180,422433.200000001,1.3563715553814,13270.7,1.3563715553814
"Expedient Data Center","2475 West Townley Avenue","Phoenix","AZ","85021","Maricopa",33.56452,-112.112,"Operating","Expedient","2","Medium (11-50 MW)","Unknown",2,421829.000000001,0.01356152865551,14747.6,0.01356152865551
"PHX1","2475 W Townley Ave","Phoenix","AZ","85021","Maricopa",33.56456,-112.112,"Operating",NA,"4","Small (0-10 MW)","Unknown",4,421829.000000001,0.0271230573110201,14747.6,0.0271230573110201
"QTS","120 E Van Buren St","Phoenix","AZ","85004","Maricopa",33.45193,-112.072,"Operating","QTS Data Centers","32","Medium (11-50 MW)","Unknown",32,423401.800000001,0.171280536108078,18682.8,0.171280536108078
"QTS","1200 N 40th St","Phoenix","AZ","85008","Maricopa",33.46237,-111.996,"Operating","QTS Data Centers","42","Hyperscale (100-999 MW)","Unknown",42,427203.400000001,0.391889748350797,10717.3,0.391889748350797
"Tract Phoenix Data Center","S. Johnson Rd and W. Southern Ave","Phoenix","AZ","85326","Maricopa",33.41019,-112.713,"Approved/Permitted/Under construction","Tract Data Centers",NA,"Mega campus (>1,000 MW)","Unknown",0,396280.1,0,16074.3,0
"MD-PHX1 Data Center","4801–4811 East Thistle Landing Drive","Phoeniz","AZ","85044","Maricopa",33.31197,-111.97816,"Proposed","Menlo Digital","180","Hyperscale (100-999 MW)","Yes",180,425311.000000001,1.36412207376869,13195.3,1.36412207376869
"Vermaland Data Center","near Hwy 10","Red Rock","AZ","85658","Pinal",32.55145,-111.452,"Proposed","Vermaland LLC","3000","Mega campus (>1,000 MW)","Unknown",3000,430320.000000001,65.2713110830686,4596.2,65.2713110830686
"Prime Data Center","3700 S Avondale Blvd","Tolleson","AZ","85353","Maricopa",33.41237,-112.30683,"Approved/Permitted/Under construction","Prime Data Centers","240","Hyperscale (100-999 MW)","Unknown",240,415183.5,1.34737598526869,17812.4,1.34737598526869
"Arizona Land Consulting Co.","near 33511 Indian School Rd","Tonopah","AZ","85354","Maricopa",33.49648,-112.775,"Proposed",NA,"1500","Mega campus (>1,000 MW)","Unknown",1500,394708.1,9.69925833004636,15465.1,9.69925833004636
"Data center: Davis-Monthan Air Force Base",NA,"Tucson","AZ","85707","Pima",32.164318,-110.86484,"Proposed",NA,NA,"Unknown","Unknown",0,434147.600000002,0,1367.2,0
"Project Blue Tucson","10098 E Brekke Rd","Tucson","AZ","85747","Pima",32.05091,-110.783,"Cancelled","Beale Infrastructure",NA,"Unknown","Unknown",0,434527.400000002,0,1445.5,0
"Aligned Data Centers Waddell Campus","8785-8907 N. Reems Road","Waddell","AZ","85355","Maricopa",33.57577,-112.45042,"Approved/Permitted/Under construction","Aligned Data Centers",NA,"Hyperscale (100-999 MW)","Unknown",0,413870.200000001,0,17015,0
"Takanock Data Center/Project Baccara","14707 W Olive Ave","Waddell","AZ","85355","Maricopa",33.56755,-112.37177,"Proposed","DigitalBridge","700","Hyperscale (100-999 MW)","Yes",700,414350.8,4.10528291263958,17051.2,4.10528291263958
"Guadalupe Quarry Redevelopment Project Data Center","near Quarry Rd","Brisbane","CA","94005","San Mateo",37.68586,-122.416,"Proposed",NA,NA,"Unknown","Unknown",0,251864.899999999,0,7867.8,0
"Coachella Valley Technology Campus","52nd Ave & Fillmore St","Coachella","CA","92274","Riverside",33.6714,-116.129,"Proposed",NA,"270-600","Hyperscale (100-999 MW)","Yes",270,316697.4,4.02240629283118,6712.4,4.02240629283118
"Edwards AFB Data Center",NA,"Edwards","CA","93524","Kern",34.912052,-117.93109,"Proposed",NA,NA,"Unknown","Unknown",0,299108.1,0,15470.3,0
"AWS Gilroy","8050 Camino Arroyo Dr","Gilroy","CA","95020","Santa Clara",37.018684,-121.56053,"Approved/Permitted/Under construction","Amazon","49-98","Large (51-99 MW)","Yes",49,256123.199999999,0.82100430608381,5968.3,0.82100430608381
"Imperial Data Center Project","N. 8th St and Clark Rd","Imperial","CA","92243","Imperial",32.81923,-115.56083,"Approved/Permitted/Under construction","Imperial Valley Computer Manufacturing, LLC","330","Hyperscale (100-999 MW)","Yes",330,304125.3,7.24033524946246,4557.8,7.24033524946246
"Buena Vista Biomass Power site Data Center","4655 Coal Mine Rd","Ione","CA","95640","Amador",38.277733,-120.91554,"Proposed",NA,"41","Medium (11-50 MW)","Unknown",41,259381.999999999,0.559276487198025,7330.9,0.559276487198025
"Monterey Park Data Center","1977 Saturn St","Monterey Park","CA","91755","Los Angeles",34.04039,-118.11365,"Suspended","HMC StratCorp and subsidiary DigiCo REIT",NA,"Hyperscale (100-999 MW)","Yes",0,289687.499999999,0,15485.3,0
"ECL","411 Clyde Ave","Mountain View","CA","94043","Santa Clara",37.39589,-122.047,"Operating",NA,NA,"Unknown","Unknown",0,253324.399999999,0,9427.8,0
"AWS","2964 Bradley St","Pasadena","CA","91107","Los Angeles",34.166836,-118.08752,"Proposed",NA,NA,"Unknown","Unknown",0,290642.199999999,0,18563,0
"EdgeConneX Edge Data Center","10980 Gold Center Dr.","Rancho Cordoba","CA","95670","Sacramento",38.59231,-121.277,"Operating",NA,"2-3","Small (0-10 MW)","Unknown",2,258819.999999999,0.0268806365334731,7440.3,0.0268806365334731
"Equinix","123 Great Oaks Blvd","San Jose","CA","95119","Santa Clara",37.23319,-121.78072,"Approved/Permitted/Under construction","Equinix","40","Medium (11-50 MW)","Unknown",40,255278.699999999,0.593788967400986,6736.4,0.593788967400986
"LBA Realty Data Center","350 W Trimble Rd","San Jose","CA","95131","Santa Clara",37.381,-121.935,"Proposed",NA,NA,"Unknown","Unknown",0,253870.399999999,0,9587.6,0
"Prologis","Zanker Rd and Hwy 237","San Jose","CA","95134","Santa Clara",37.423885,-121.94313,"Proposed","Prologis","396","Hyperscale (100-999 MW)","Unknown",396,253870.399999999,3.79019908116386,10448,3.79019908116386
"Colovore","1101 Space Park Drive","Santa Clara","CA","95054","Santa Clara",37.37668,-121.953,"Operating",NA,NA,"Unknown","Unknown",0,253618.399999999,0,9584.6,0
"Colovore","3060 Raymond Street","Santa Clara","CA","95054","Santa Clara",37.37739,-121.953,"Operating",NA,NA,"Unknown","Unknown",0,253618.399999999,0,9584.6,0
"CoreSite SV9","2915 Stender Way","Santa Clara","CA","95054","Santa Clara",37.37492,-121.969,"Proposed",NA,"34","Medium (11-50 MW)","Unknown",34,253618.399999999,0.354735721887194,9584.6,0.354735721887194
"Digital Realty SJC14","1500 Space Park Dr","Santa Clara","CA","95054","Santa Clara",37.37578,-121.95516,"Proposed","Digital Realty","9","Small (0-10 MW)","Unknown",9,253618.399999999,0.0939006322642573,9584.6,0.0939006322642573
"Digital Realty SJC37 Data Center","641 Walsh St","Santa Clara","CA","95050","Santa Clara",37.371067,-121.94693,"Approved/Permitted/Under construction","Digital Realty","100","Hyperscale (100-999 MW)","Unknown",100,253870.399999999,1.04334035849175,9584.6,1.04334035849175
"EdgeConneX Edge Data Center Santa Clara","1700 Richard Ave","Santa Clara","CA","95050","Santa Clara",37.36431,-121.959,"Operating",NA,NA,"Unknown","Unknown",0,253618.399999999,0,9584.6,0
"EdgeCore Data Center","3580 Juliette Ln","Santa Clara","CA","95054","Santa Clara",37.38413,-121.965744,"Operating","EdgeCore","72","Large (51-99 MW)","Unknown",72,253618.399999999,0.751205058114058,9584.6,0.751205058114058
"Walsh Bowers Technology Center: CoreSite","2805 and 2855 Bowers Ave and 2710 Walsh Ave","Santa Clara","CA","95051","Santa Clara",37.37316,-121.976166,"Expanding","CoreSite","72","Large (51-99 MW)","Unknown",72,253608.399999999,0.751205058114058,9584.6,0.751205058114058
"Nautilus Data Technology","1002 Embarcadero","Stockton","CA","95203","San Joaquin",37.96411,-121.369,"Operating",NA,NA,"Unknown","Unknown",0,258045.899999999,0,10980.7,0
"Cerebras Systems Data Center","1237 E Arques Ave","Sunnyvale","CA","94085","Santa Clara",37.38112,-121.993,"Operating",NA,NA,"Unknown","Unknown",0,253474.399999999,0,9567.6,0
"Menlo Equities Data Centere","894 Ross Dr","Sunnyvale","CA","94089","Santa Clara",37.400707,-122.03299,"Proposed",NA,"49","Medium (11-50 MW)","Unknown",49,253324.399999999,0.514203561646711,9529.29999999999,0.514203561646711
"Digital Data Center","4400 Pacific Blvd","Vernon","CA","90058","Los Angeles",34.00368,-118.229675,"Proposed","California Digital Realty","32","Medium (11-50 MW)","Unknown",32,287763.299999999,0.218780979728575,14626.5,0.218780979728575
"DEN1","7347 S. Revere Parkway Building C","Centennial","CO","80112","Arapahoe",39.58275,-104.841,"Operating",NA,"2","Small (0-10 MW)","Unknown",2,716609.400000001,0.0395507040025312,5056.8,0.0395507040025312
"Colorado Springs Data Center","1780 Jet Stream Drive","Colorado Springs","CO","80921","El Paso",38.99734,-104.792,"Operating","Flexential","3","Small (0-10 MW)","Unknown",3,716512.700000001,0.127086333982886,2360.6,0.127086333982886
"Project Taurus","1565 High Tech Way","Colorado Springs","CO","80907","El Paso",38.893997,-104.85778,"Proposed","Raeden","50","Medium (11-50 MW)","Yes",50,713748.400000001,1.26672071341711,3947.2,1.26672071341711
"CoreSite DE1 Data Center","910 15th Street","Denver","CO","80202","Denver",39.74566,-104.99561,"Operating","CoreSite",NA,"Medium (11-50 MW)","Unknown",0,710539.900000001,0,5093.6,0
"CoreSite DE2 Data Center","639 E 18th Ave","Denver","CO","80203","Denver",39.745472,-104.97931,"Operating","CoreSite",NA,"Small (0-10 MW)","Unknown",0,710948.900000001,0,5098.1,0
"CoreSite DE3 Data Center","4900 Race St","Elyria-Swansea (Denver)","CO","80216","Denver",39.785824,-104.962845,"Approved/Permitted/Under construction","CoreSite","75","Large (51-99 MW)","Yes",75,711130.000000001,1.46707875278745,5112.2,1.46707875278745
"Cielo Digital Infrastructure",NA,"Hudson","CO","80642","Weld",40.09549,-104.609,"Proposed",NA,"750","Hyperscale (100-999 MW)","Unknown",750,713230.200000001,13.4379703289615,5581.2,13.4379703289615
"Sterling Data Center","west of C.R. 9, roughly 21 miles northwest of Sterling","Sterling","CO","80747","Logan",40.85,-103.45,"Proposed","Granite Renewables","2000","Mega campus (>1,000 MW)","Yes",2000,729540.300000001,67.2065593601936,2975.9,67.2065593601936
"Global AI","2000 Howard Smith Avenue West","Windsor","CO","80550","Weld",40.458607,-104.87199,"Proposed",NA,"18-24","Medium (11-50 MW)","Unknown",18,708912.200000001,0.317538722083054,5668.6,0.317538722083054
"Atlas Capital Group","132 Griffin Rd N","Bloomfield","CT","06002","Hartford",41.88474,-72.7435,"Proposed",NA,NA,"Unknown","Unknown",0,529994.000000003,0,11719,0
"GotSpace Data Center","Bozrah St","Bozrah","CT","06334","New London",41.5586,-72.1706,"Proposed",NA,NA,"Unknown","Unknown",0,521345.300000003,0,12130.3,0
"NE Edge Data Center","adjacent to Millstone Nuclear Power Station","Waterford","CT","06385","New London",41.31387,-72.1673,"Proposed",NA,"1500","Mega campus (>1,000 MW)","Unknown",1500,522786.100000003,15.9117428662353,9427,15.9117428662353
"Starwood Digital Ventures","Governor Lea Rd","New Castle","DE","19720","New Castle",39.60745,-75.6397,"Suspended",NA,"1200","Mega campus (>1,000 MW)","Unknown",1200,654023.700000009,5.34475924086603,22451.9,5.34475924086603
"Fort Meade Data Center","Co Rd 700","Fort Meade","FL","33841","Polk",27.79178,-81.8185,"Approved/Permitted/Under construction",NA,NA,"Unknown","Yes",0,625741.400000001,0,20496.4,0
"Sentinel Grove Technology Park/ Project Jarvis","Minute Maid Rd & Orange Ave","Fort Pierce","FL","34945","St Lucie",27.45444,-80.55799,"Suspended",NA,"1000","Mega campus (>1,000 MW)","Unknown",1000,562060.900000002,11.7266288287443,8527.6,11.7266288287443
"Cielo Digital Infrastructure",NA,"Haines City","FL","33844","Polk",28.17875,-81.6457,"Proposed",NA,"300","Hyperscale (100-999 MW)","Unknown",300,659437.000000001,1.92908677032293,15551.4,1.92908677032293
"Project Tango","near 20125 Southern Blvd","Loxahatchee","FL","33470","Palm Beach",26.694838,-80.37178,"Approved/Permitted/Under construction",NA,NA,"Hyperscale (100-999 MW)","Yes",0,497582.900000003,0,15202.6,0
"HostDime Data Center","1 Innovative Pl","Maitland","FL","32751","Orange",28.6146,-81.3857,"Proposed",NA,NA,"Unknown","Unknown",0,670905.800000001,0,11110.7,0
"Iron Mountain Data Center","12300 NW 32nd Ave","Miami","FL","33167","Miami-Dade",25.88661,-80.2539,"Approved/Permitted/Under construction",NA,"16","Medium (11-50 MW)","Unknown",16,445559.900000003,0.228391977731782,7005.5,0.228391977731782
"Okee-One","7200 US-441","Okeechobee","FL","34972","Okeechobee",27.307442,-80.82401,"Cancelled",NA,NA,"Unknown","Yes",0,553394.100000002,0,8932.5,0
"H5 Data Center","655 North Franklin St","Tampa","FL","33602","Hillsborough",27.949581,-82.45849,"Proposed",NA,NA,"Unknown","Unknown",0,664100.200000002,0,19188.3,0
"Eagle Rock Jones County","approximately 3 miles southwest of the intersection of Highway 49 and Highway 18",NA,"GA",NA,"Jones",32.91274,-83.472046,"Suspended","Eagle Rock Partners LLC and Thomas & Hutton Engineering","900","Hyperscale (100-999 MW)","Yes",900,884739.900000006,15.8372633208981,5682.8,15.8372633208981
"Dixon Data Center/Project Sassy","Plainville Road and Ga-53","Adairsville","GA","30103","Floyd",34.37998,-85.034,"Proposed","Atlas Development","200","Hyperscale (100-999 MW)","Unknown",200,932849.800000006,2.12271410225114,9421.9,2.12271410225114
"Project Springbank","Perkins Mountain Rd","Adairsville","GA","30145","Bartow",34.30926,-84.9633,"Cancelled","Atlas Development","78","Large (51-99 MW)","Yes",78,931578.600000006,0.828262877894938,9417.3,0.828262877894938
"Alpharetta GA1","11650 Great Oaks Way","Alpharetta","GA","30022","Fulton",34.063183,-84.272896,"Operating","365 Data Centers","4","Small (0-10 MW)","Unknown",4,916764.800000006,0.0518860582161573,7709.2,0.0518860582161573
"ATL2","4905 North Point Pkwy","Alpharetta","GA","30009","Fulton",34.057144,-84.273,"Operating","Lincoln Rackhouse","12","Medium (11-50 MW)","Unknown",12,917055.100000006,0.155658174648472,7709.2,0.155658174648472
"Atlanta-Alpharetta","12655 Edison Dr","Alpharetta","GA","30005","Fulton",34.086994,-84.25179,"Operating","Flexential","6","Small (0-10 MW)","Unknown",6,916830.200000006,0.0709270161004327,8459.4,0.0709270161004327
"AT&T Data Center","21515 Innovation Way","Alpharetta","GA","30004","Fulton",34.086502,-84.27612,"Operating",NA,"11","Medium (11-50 MW)","Unknown",11,916765.400000006,0.142686660094433,7709.2,0.142686660094433
"Project JGK","White Oak Technology Park, Appling-Harlem Rd","Appling","GA","30814","Columbia",33.49546,-82.337,"Proposed",NA,NA,"Unknown","Unknown",0,868731.300000007,0,8400.7,0
"White Oak Technology Park","Off Morris Callaway Road & Innovation Parkway","Appling","GA","30802","Columbia",33.51421,-82.34112,"Proposed","Trammell Crow Company",NA,"Unknown","Unknown",0,868758.900000007,0,8400.7,0
"Athens Studio Data Center","900 Athena Dr","Athens","GA","30601","Clarke",33.970966,-83.31563,"Proposed",NA,NA,"Unknown","Yes",0,891271.400000007,0,4920.7,0
"Adair Park / West End Data Center","713 Ralph David Abernathy Blvd","Atlanta","GA","30310","Fulton",33.739025,-84.41105,"Proposed","Digital Realty",NA,"Hyperscale (100-999 MW)","Yes",0,920980.800000006,0,11396.8,0
"American Tower EDC Atlanta","2374 Fairburn Road Southwest","Atlanta","GA","30331","Fulton",33.68953,-84.51075,"Operating","American Tower Corporation","1","Small (0-10 MW)","Unknown",1,924221.800000006,0.00839799791729652,11907.6,0.00839799791729652
"ATL1","40 Perimeter Center E","Atlanta","GA","30346","DeKalb",33.926537,-84.32673,"Operating","Lincoln Rackhouse","15","Medium (11-50 MW)","Unknown",15,917993.100000006,0.190609314441832,7869.5,0.190609314441832
"ATL2 Colo Data Center","250 Williams Street NW (E-100)","Atlanta","GA","30303","Fulton",33.761627,-84.39127,"Operating","Hivelocity","3","Small (0-10 MW)","Unknown",3,920173.400000006,0.0263231784360522,11396.8,0.0263231784360522
"Atlanta","56 Marietta Street NW","Atlanta","GA","30303","Fulton",33.75543,-84.39146,"Operating","Corespace","3","Small (0-10 MW)","Unknown",3,920066.300000006,0.0263231784360522,11396.8,0.0263231784360522
"Atlanta AT1","55 Marietta Street","Atlanta","GA","30303","Fulton",33.75585,-84.39107,"Operating","CoreSite","10","Small (0-10 MW)","Unknown",10,920066.300000006,0.0877439281201741,11396.8,0.0877439281201741
"Atlanta ATL12","760 Doug Davis Dr","Atlanta","GA","30354","Fulton",33.657166,-84.41514,"Operating","Digital Realty",NA,"Unknown","Unknown",0,920769.300000006,0,11455.2,0
"Atlanta ATL13","56 Marietta Street NW","Atlanta","GA","30303","Fulton",33.75543,-84.39146,"Operating","Digital Realty","5","Small (0-10 MW)","Unknown",5,920066.300000006,0.043871964060087,11396.8,0.043871964060087
"Atlanta ATL14","250 Williams St NW","Atlanta","GA","30303","Fulton",33.76157,-84.3915,"Operating","Digital Realty","4","Small (0-10 MW)","Unknown",4,920173.400000006,0.0350975712480696,11396.8,0.0350975712480696
"Atlanta Metro DC1","1033 Jefferson Street NW","Atlanta","GA","30318","Fulton",33.775944,-84.421074,"Operating","QTS Data Centers","70","Large (51-99 MW)","Unknown",70,920782.100000006,0.61362600371682,11407.6,0.61362600371682
"Atlanta Metro DC2","1025 Jefferson Street NW","Atlanta","GA","30318","Fulton",33.77647,-84.41955,"Operating","QTS Data Centers","74","Large (51-99 MW)","Unknown",74,920782.100000006,0.648690346786353,11407.6,0.648690346786353
"Atlanta Metro DC3","953 Herndon Street","Atlanta","GA","30318","Fulton",33.78121,-84.42252,"Operating","QTS Data Centers",NA,"Unknown","Unknown",0,921268.600000006,0,11407.6,0
"Atlanta Metro DC4","1103 Herndon Street","Atlanta","GA","30318","Fulton",33.784534,-84.42251,"Operating","QTS Data Centers",NA,"Unknown","Unknown",0,921259.500000006,0,11407.6,0
"ATLDC 55 Marietta","55 Marietta Street (Suite 1740)","Atlanta","GA","30303","Fulton",33.75585,-84.39107,"Operating","ATLDC",NA,"Unknown","Unknown",0,920066.300000006,0,11396.8,0
"AT&T Southern Bell Telephone Company Building","51 Peachtree Center Ave NE","Atlanta","GA","30303","Fulton",33.7558,-84.3857,"Operating","AT&T",NA,"Unknown","Unknown",0,919796.000000006,0,11396.8,0
"Cogent Data Center Atlanta 1","55 Marietta Street NW (Suite 950)","Atlanta","GA","30303","Fulton",33.75585,-84.39107,"Operating","Cogent Communications",NA,"Unknown","Unknown",0,920066.300000006,0,11396.8,0
"Cogent Data Center Atlanta 2","1190 Allene Ave SW","Atlanta","GA","30310","Fulton",33.722496,-84.412796,"Operating","Cogent Communications",NA,"Unknown","Unknown",0,920980.800000006,0,11452.8,0
"Colo@ Atlanta Data Center #3","470 East Paces Ferry Rd","Atlanta","GA","30327","Fulton",33.83952,-84.37284,"Operating","Facility Gateway Corporation","3","Small (0-10 MW)","Unknown",3,920050.600000006,0.0263074818478375,11403.6,0.0263074818478375
"Coloblox SMY1 Data Center","1100 Circle 75 Pkwy","Atlanta","GA","30339","Cobb",33.88972,-84.465515,"Operating","Coloblox",NA,"Unknown","Unknown",0,922276.100000006,0,11832.8,0
"ColoCrossing GA1","34 Peachtree St","Atlanta","GA","30303","Fulton",33.755016,-84.389626,"Operating","ColoCrossing","2","Small (0-10 MW)","Unknown",2,919994.300000006,0.0175487856240348,11396.8,0.0175487856240348
"DataBank ATL1 Data Center","760 W Peachtree St NW","Atlanta","GA","30308","Fulton",33.775368,-84.387764,"Operating","DataBank","10","Small (0-10 MW)","Unknown",10,919916.700000006,0.0877023732262195,11402.2,0.0877023732262195
"DataBank ATL1 Midtown Atlanta Data Center","771 Spring Street","Atlanta","GA","30308","Fulton",33.77551,-84.38868,"Operating","Georgia Tech Foundation","14","Medium (11-50 MW)","Unknown",14,919916.700000006,0.122783322516707,11402.2,0.122783322516707
