ref_number,prefix,property_name,state,county,city,street_number,status,request_type,restricted_address,acreage_of_property,area_of_significance,category_of_property,external_link,level_of_significance_international,level_of_significance_national,level_of_significance_state,level_of_significance_local,level_of_significance_not_indicated,listed_date,nhl_designated_date,other_names,park_name,property_id,district_name,address
04001321,MP,Melrose Historic District,Iowa,Johnson,Iowa City,"Portions of Melrose Ave., Melrose Ct., Melrose Circle, Brookland Park Dr., Brookland Place and Myrtle Ave.",Listed,Multiple,FALSE,34,Architecture; Community Planning And Development,District,https://catalog.archives.gov/id/75336804,FALSE,FALSE,TRUE,FALSE,FALSE,2004-12-06,NA,NA,NA,04001321,Melrose,"Melrose Historic District, Johnson, Iowa"
93000327,NA,Muscatine Avenue Moffitt Cottage Historic District,Iowa,Johnson,Iowa City,1322--1330 Muscatine Ave.,Listed,Multiple,FALSE,0.9,Architecture,District,https://catalog.archives.gov/id/75336794,FALSE,FALSE,FALSE,TRUE,FALSE,1993-05-04,NA,Moffitt Cottages,NA,93000327,Muscatine Avenue Moffitt Cottage,"Muscatine Avenue Moffitt Cottage Historic District, Johnson, Iowa"
97000389,NA,Oxford Commercial Historic District,Iowa,Johnson,Oxford,"Roughly, Augusta Ave. between Wilson St. and Center St. alley",Listed,Single,FALSE,1.5,Architecture; Commerce,District,https://catalog.archives.gov/id/75339196,FALSE,FALSE,FALSE,TRUE,FALSE,1997-05-02,NA,NA,NA,97000389,Oxford Commercial,"Oxford Commercial Historic District, Johnson, Iowa"
79000907,NA,Woodlawn Historic District,Iowa,Johnson,Iowa City,Irregular pattern along Woodlawn Ave.,Listed,Single,FALSE,8,Architecture,District,https://catalog.archives.gov/id/75339182,FALSE,FALSE,FALSE,TRUE,FALSE,1979-03-26,NA,NA,NA,79000907,Woodlawn,"Woodlawn Historic District, Johnson, Iowa"
08001381,NA,Anamosa Main Street Historic District,Iowa,Jones,Anamosa,"200-300 block W. Main St., 100 block E. Main St., 100 block N. and S. Ford St., 100 block N. Garnavillo St.",Listed,Single,FALSE,9,Commerce; Architecture,District,https://catalog.archives.gov/id/75339264,FALSE,FALSE,FALSE,TRUE,FALSE,2009-01-29,NA,NA,NA,08001381,Anamosa Main Street,"Anamosa Main Street Historic District, Jones, Iowa"
14000907,NA,Business Part Of Olin Historic District,Iowa,Jones,Olin,Both sides of 300 blk. of E. Jackson and portion of E. 2nd Sts.,Listed,Single,FALSE,3,Community Planning And Development; Commerce; Architecture,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2014-11-12,NA,Downtown Olin; Olin Town Center; Business Quarter of Olin,NA,14000907,Business Part Of Olin,"Business Part Of Olin Historic District, Jones, Iowa"
16000083,NA,Farm Creek Historic District,Iowa,Jones,Cascade,Address Restricted,Listed,Single,TRUE,4.7,Architecture; Agriculture; Transportation; Historic - Non-Aboriginal; Social History,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2016-03-15,NA,"Lang, James and Bridget House; Finn, Patrick and Mary Ann House; Site 13JN435",NA,16000083,Farm Creek,"Farm Creek Historic District, Jones, Iowa"
92001667,NA,Iowa Men's Reformatory Historic District,Iowa,Jones,Anamosa,N. High St.,Listed,Multiple,FALSE,15.5,Law; Architecture,District,https://catalog.archives.gov/id/75336850,FALSE,FALSE,TRUE,FALSE,FALSE,1992-12-18,NA,Additional Penitentiary;The Reformatory,NA,92001667,Iowa Men's Reformatory,"Iowa Men's Reformatory Historic District, Jones, Iowa"
13001137,NA,Scotch Grove Historic District,Iowa,Jones,Monticello,"Jct. of IA 38, 116th Ave. & Cty. Rd. E17",Listed,Single,FALSE,22,Commerce; Community Planning And Development,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2014-02-05,NA,53-00560,NA,13001137,Scotch Grove,"Scotch Grove Historic District, Jones, Iowa"
08001099,NA,Stone City Historic District,Iowa,Jones,Anamosa,"12828-12573 Stone City Rd., 12392-12340 Dearborn Rd., 12381-12551 County Rd. X28",Listed,Single,FALSE,164,Architecture; Art; Industry,District,https://catalog.archives.gov/id/75339274,FALSE,FALSE,TRUE,TRUE,FALSE,2008-11-21,NA,NA,NA,08001099,Stone City,"Stone City Historic District, Jones, Iowa"
14000669,NA,Wapsipinicon State Park Historic District,Iowa,Jones,Anamosa,21301 Cty. Rd. E34,Listed,Single,TRUE,400,Architecture; Prehistoric; Historic - Non-Aboriginal; Conservation; Landscape Architecture,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2014-09-22,NA,Jones County State Park,NA,14000669,Wapsipinicon State Park,"Wapsipinicon State Park Historic District, Jones, Iowa"
99000487,NA,Public Square Historic District,Iowa,Keokuk,Sigourney,Roughly around Keokuk County Court House,Listed,Multiple,FALSE,11.9,Commerce; Politics/Government; Architecture,District,https://catalog.archives.gov/id/75336856,FALSE,FALSE,FALSE,TRUE,FALSE,1999-04-29,NA,NA,NA,99000487,Public Square,"Public Square Historic District, Keokuk, Iowa"
86002277,AD,Saints Peter And Paul Roman Catholic Church Historic District (Additional Documentation),Iowa,Keokuk,Harper,30748-30832 242nd St.,Listed,Add.doc.,FALSE,17,Architecture; Ethnic Heritage-European; Social History,District,https://catalog.archives.gov/id/75339284,FALSE,FALSE,FALSE,TRUE,FALSE,1986-08-06,NA,"SS Peter and Paul,Clear Creek",NA,86002277,Saints Peter And Paul Roman Catholic Church (Additional Documentation),"Saints Peter And Paul Roman Catholic Church Historic District (Additional Documentation), Keokuk, Iowa"
92000100,NA,"Atchison, Topeka And Santa Fe Passenger And Freight Complex Historic District",Iowa,Lee,Fort Madison,902 Ave. H,Listed,Multiple,FALSE,0.9,Architecture,District,https://catalog.archives.gov/id/75336864,FALSE,FALSE,FALSE,TRUE,FALSE,1992-03-05,NA,NA,NA,92000100,"Atchison, Topeka And Santa Fe Passenger And Freight Complex","Atchison, Topeka And Santa Fe Passenger And Freight Complex Historic District, Lee, Iowa"
07000852,NA,Fort Madison Downtown Commercial Historic District,Iowa,Lee,Fort Madison,"Centered on Ave. G, from near 6th St., to mid-900 Blk, inc. Ave. H from 7th to 9th",Listed,Multiple,FALSE,17,Architecture; Commerce,District,https://catalog.archives.gov/id/75336866,FALSE,FALSE,FALSE,TRUE,FALSE,2007-08-31,NA,NA,NA,07000852,Fort Madison Downtown Commercial,"Fort Madison Downtown Commercial Historic District, Lee, Iowa"
96000064,NA,"Herschler, Christian And Katharina, House, Barn And Outbuildings Historic District",Iowa,Lee,Franklin,Jct. of 6th and Green Sts.,Listed,Single,FALSE,5,Architecture,District,https://catalog.archives.gov/id/75339313,FALSE,FALSE,FALSE,TRUE,FALSE,1996-02-16,NA,NA,NA,96000064,"Herschler, Christian And Katharina, House, Barn And Outbuildings","Herschler, Christian And Katharina, House, Barn And Outbuildings Historic District, Lee, Iowa"
92001663,NA,Iowa State Penitentiary Cellhouses Historic District,Iowa,Lee,Fort Madison,Jct. of Avenue G and US 61,Listed,Multiple,FALSE,0.9,Law; Architecture,District,https://catalog.archives.gov/id/75336868,FALSE,FALSE,TRUE,FALSE,FALSE,1992-12-18,NA,Cellhouse 18;Cellhouse 19;Cellhouse 20,NA,92001663,Iowa State Penitentiary Cellhouses,"Iowa State Penitentiary Cellhouses Historic District, Lee, Iowa"
04000179,NA,Lock And Dam No. 19 Historic District,Iowa,Lee,Keokuk,525 N. Water St.,Listed,Multiple,FALSE,160.5,Transportation; Engineering; Maritime History; Conservation; Economics; Commerce; Military; Politics/Government; Social History; Industry,District,https://catalog.archives.gov/id/28891315,FALSE,TRUE,FALSE,FALSE,FALSE,2004-03-10,NA,Keokuk Lock and Dam; 78001234,NA,04000179,Lock And Dam No. 19,"Lock And Dam No. 19 Historic District, Lee, Iowa"
14001069,NA,Park-To-Park Residential Historic District,Iowa,Lee,Fort Madison,400-1100 blks. of Ave. F & 400-1100 blks. of Ave. E,Listed,Single,FALSE,65,Community Planning And Development; Architecture,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2014-12-22,NA,NA,NA,14001069,Park-To-Park Residential,"Park-To-Park Residential Historic District, Lee, Iowa"
90002133,NA,Sharon Cemetery Historic District,Iowa,Lee,Farmington,Co. Rd. J40 about 3 mi. E of Van Buren Co. line,Listed,Single,FALSE,9.5,Landscape Architecture; Architecture,District,https://catalog.archives.gov/id/75339337,FALSE,FALSE,FALSE,TRUE,FALSE,1991-01-11,NA,Sharon Presbyterian Church and Cemetery,NA,90002133,Sharon Cemetery,"Sharon Cemetery Historic District, Lee, Iowa"
93000899,NA,Ash Park Historic District,Iowa,Linn,Mount Vernon,"5th--7th Aves. N, between 6th and 8th Sts. NW",Listed,Multiple,FALSE,17.7,Architecture,District,https://catalog.archives.gov/id/75336882,FALSE,FALSE,FALSE,TRUE,FALSE,1993-09-13,NA,NA,NA,93000899,Ash Park,"Ash Park Historic District, Linn, Iowa"
13000692,NA,B Avenue Ne Historic District,Iowa,Linn,Cedar Rapids,"B Ave., NE. from 15th to 21st Sts.",Listed,Single,FALSE,0.5,Architecture,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2013-09-11,NA,NA,NA,13000692,B Avenue Ne,"B Avenue Ne Historic District, Linn, Iowa"
100008668,SG,Bever Woods Historic District,Iowa,Linn,Cedar Rapids,"Grande Ave. SE, 21st St. SE, Bever Ave. SE",Listed,Single,FALSE,58.6,Architecture; Community Planning And Development; Landscape Architecture,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2023-03-02,NA,NA,NA,100008668,Bever Woods,"Bever Woods Historic District, Linn, Iowa"
02001539,NA,Bohemian Commercial Historic District,Iowa,Linn,Cedar Rapids,1000 to 1300 Blks of 3rd St. SE and 100 to 200 Blcks of 14ths Ave SE,Listed,Multiple,FALSE,19.9,Architecture; Commerce; European,District,https://catalog.archives.gov/id/75336931,FALSE,FALSE,FALSE,TRUE,FALSE,2002-12-20,NA,NA,NA,02001539,Bohemian Commercial,"Bohemian Commercial Historic District, Linn, Iowa"
12000096,NA,Bohemian Commercial Historic District,Iowa,Linn,Cedar Rapids,"Roughly bounded by 9th Ave. SE., 4th St. SE., 14th Ave. SE., 15th Ave. SW., C St. SW., 17th Ave SW. & A St. SW.",Listed,Multiple,FALSE,40,Architecture; Commerce; European; Social History,District,https://catalog.archives.gov/id/75336911,FALSE,FALSE,FALSE,TRUE,FALSE,2012-03-12,NA,NA,NA,12000096,Bohemian Commercial,"Bohemian Commercial Historic District, Linn, Iowa"
15000749,NA,Cedar Rapids 2nd Avenue Se. Automobile Row Historic District,Iowa,Linn,Cedar Rapids,"Roughly 2nd to 3rd Aves., SE., from 6th to 8th Sts., SE.",Listed,Single,FALSE,10.6,Transportation; Commerce,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2015-10-23,NA,NA,NA,15000749,Cedar Rapids 2nd Avenue Se. Automobile Row,"Cedar Rapids 2nd Avenue Se. Automobile Row Historic District, Linn, Iowa"
15000757,MP,Cedar Rapids Central Business District Commercial Historic District,Iowa,Linn,Cedar Rapids,"Roughly bounded by 1st & 5th Aves., SE. & 5th & 2nd Sts., SE.",Listed,Multiple,FALSE,34.5,Commerce; Architecture,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2015-11-02,NA,NA,NA,15000757,Cedar Rapids Central Business District Commercial,"Cedar Rapids Central Business District Commercial Historic District, Linn, Iowa"
02001027,NA,Central City Commercial Historic District,Iowa,Linn,Central City,"E. Main St. 300-400 blk., N. 4th St. to Commercial",Listed,Multiple,FALSE,0,Community Planning And Development; Transportation; Architecture,District,https://catalog.archives.gov/id/75336913,FALSE,FALSE,FALSE,TRUE,FALSE,2003-03-18,NA,NA,NA,02001027,Central City Commercial,"Central City Commercial Historic District, Linn, Iowa"
100004229,MP,Coggon Commercial Historic District,Iowa,Linn,Coggon,East Main Street between 1st Street South and 3rd Street North,Listed,Multiple,FALSE,3.04,Commerce,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2019-08-07,NA,Downtown Coggon; Coggon Town Center,NA,100004229,Coggon Commercial,"Coggon Commercial Historic District, Linn, Iowa"
80001456,AD,Cornell College-Mount Vernon Historic District (Additional Documentation),Iowa,Linn,Mount Vernon,"Bounded by RR tracks, College Blvd., North 10th, North 8th, and South 3rd Aves., North. 2nd and South. 4th Sts.",Listed,Add.doc.,FALSE,120,Architecture,District,https://catalog.archives.gov/id/75339376,FALSE,FALSE,FALSE,TRUE,FALSE,1980-07-18,NA,NA,NA,80001456,Cornell College-Mount Vernon (Additional Documentation),"Cornell College-Mount Vernon Historic District (Additional Documentation), Linn, Iowa"
02001026,NA,Dows Street Historic District,Iowa,Linn,Ely,Dows St. bet. State and Main Sts.,Listed,Multiple,FALSE,10,Community Planning And Development; Commerce; Transportation; Architecture,District,https://catalog.archives.gov/id/75336878,FALSE,FALSE,FALSE,TRUE,FALSE,2003-11-14,NA,NA,NA,02001026,Dows Street,"Dows Street Historic District, Linn, Iowa"
100011413,SG,Klinsky Farmstead Historic District,Iowa,Linn,Ely,1534 Ivanhoe Road,Listed,Single,FALSE,16,Agriculture; Architecture; Ethnic Heritage-Other-Ethnic,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2025-01-29,NA,NA,NA,100011413,Klinsky Farmstead,"Klinsky Farmstead Historic District, Linn, Iowa"
100004555,MP,Lisbon Main Street Historic District,Iowa,Linn,Lisbon,"101-145 E. and W. Main St., 102-122 W. Main St.",Listed,Multiple,FALSE,5,Commerce; Ethnic Heritage; European,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2019-11-01,NA,NA,NA,100004555,Lisbon Main Street,"Lisbon Main Street Historic District, Linn, Iowa"
09000930,NA,Marion Commercial Historic District,Iowa,Linn,Marion,"560-748 10th., 958-1298 7th Ave., 760-96 11th St., 766-76 13th St., 1108 8th Ave., and 969 6th Ave.",Listed,Multiple,FALSE,11,Architecture; Commerce; Social History,District,https://catalog.archives.gov/id/75336896,FALSE,FALSE,FALSE,TRUE,FALSE,2009-11-18,NA,NA,NA,09000930,Marion Commercial,"Marion Commercial Historic District, Linn, Iowa"
78001240,NA,May's Island Historic District,Iowa,Linn,Cedar Rapids,Between 1st and 5th Aves. on May Island,Listed,Single,FALSE,11.5,Community Planning And Development; Architecture,District,https://catalog.archives.gov/id/75339430,FALSE,FALSE,TRUE,FALSE,FALSE,1978-10-19,NA,NA,NA,78001240,May's Island,"May's Island Historic District, Linn, Iowa"
100006183,SG,Meyers Farmstead Historic District,Iowa,Linn,Lisbon,300 West Market St.,Listed,Single,FALSE,1.4,Agriculture; Architecture,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2021-02-22,NA,"Meyers, Jacob E. and Amanda, Farm; Meyers, John B. and Ella, Farm",NA,100006183,Meyers Farmstead,"Meyers Farmstead Historic District, Linn, Iowa"
15000751,NA,Monroe Elementary School Historic District,Iowa,Linn,Cedar Rapids,"3200 Pioneer Ave., SE.",Listed,Single,FALSE,7.9,Education; Architecture,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2015-10-23,NA,NA,NA,15000751,Monroe Elementary School,"Monroe Elementary School Historic District, Linn, Iowa"
93000898,NA,Mount Vernon Commercial Historic District,Iowa,Linn,Mount Vernon,"1st St. between 2nd and 1st Aves., N.",Listed,Multiple,FALSE,3.5,Architecture,District,https://catalog.archives.gov/id/75336884,FALSE,FALSE,FALSE,TRUE,FALSE,1993-09-13,NA,NA,NA,93000898,Mount Vernon Commercial,"Mount Vernon Commercial Historic District, Linn, Iowa"
13000243,NA,Oak Hill Cemetery Historic District,Iowa,Linn,Cedar Rapids,"Roughly bounded by Mt. Vernon Rd., SE., 15th St., SE., S.& E. lot lines",Listed,Single,FALSE,36.1,Architecture; European; Landscape Architecture; Social History,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2013-05-08,NA,NA,NA,13000243,Oak Hill Cemetery,"Oak Hill Cemetery Historic District, Linn, Iowa"
14000213,NA,Our Mother Of Sorrows Grotto Historic District,Iowa,Linn,Cedar Rapids,"1330 Elmhurst Dr., NE.",Listed,Single,FALSE,1.2,Art; Architecture,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2015-01-21,NA,Our Mother of Sorrows Grotto; Our Lady of Sorrows Grotto; Mount Mercy Grotto,NA,14000213,Our Mother Of Sorrows Grotto,"Our Mother Of Sorrows Grotto Historic District, Linn, Iowa"
02001013,NA,Pucker Street Historic District,Iowa,Linn,Marion,"Bounded by 13th St., 9th Ave., 20th St., and 8th Ave.",Listed,Single,FALSE,13,Architecture; Social History,District,https://catalog.archives.gov/id/75339438,FALSE,FALSE,FALSE,TRUE,FALSE,2002-09-14,NA,NA,NA,02001013,Pucker Street,"Pucker Street Historic District, Linn, Iowa"
01000994,NA,Redmond Park-Grande Avenue Historic District,Iowa,Linn,Cedar Rapids,"Roughly bounded by  US 151, Nineteenth St., and Washington Ave.",Listed,Multiple,FALSE,40.8,Architecture; Community Planning And Development,District,https://catalog.archives.gov/id/75336898,FALSE,FALSE,FALSE,TRUE,FALSE,2001-09-10,NA,NA,NA,01000994,Redmond Park-Grande Avenue,"Redmond Park-Grande Avenue Historic District, Linn, Iowa"
00000926,NA,Second And Third Avenue Historic District,Iowa,Linn,Cedar Rapids,1400 to 1800 blks of Second Ave. SE and Third Ave. SE,Listed,Multiple,FALSE,54,Architecture; Community Planning And Development,District,https://catalog.archives.gov/id/75336900,FALSE,FALSE,FALSE,TRUE,FALSE,2000-08-10,NA,NA,NA,00000926,Second And Third Avenue,"Second And Third Avenue Historic District, Linn, Iowa"
06000953,NA,Terrace Park Historic District,Iowa,Linn,Marion,"Roughly bounded by 10th Ave., 9th Ave., 11th St. and E side of 12th St.",Listed,Single,FALSE,3,Architecture; Commerce; Community Planning And Development,District,https://catalog.archives.gov/id/75339422,FALSE,FALSE,FALSE,TRUE,FALSE,2006-10-25,NA,NA,NA,06000953,Terrace Park,"Terrace Park Historic District, Linn, Iowa"
14000323,NA,West Side Third Avenue Sw. Commercial Historic District,Iowa,Linn,Cedar Rapids,"3rd Ave., SW. between 1st. & 3rd Sts., SW.",Listed,Multiple,FALSE,5.4,Commerce,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2014-06-13,NA,NA,NA,14000323,West Side Third Avenue Sw. Commercial,"West Side Third Avenue Sw. Commercial Historic District, Linn, Iowa"
10000054,NA,Chariton Cemetery Historic District,Iowa,Lucas,Chariton,929 S. Main St.,Listed,Single,FALSE,45,Landscape Architecture; Architecture,District,https://catalog.archives.gov/id/75339477,FALSE,FALSE,FALSE,TRUE,FALSE,2010-03-02,NA,NA,NA,10000054,Chariton Cemetery,"Chariton Cemetery Historic District, Lucas, Iowa"
14000324,NA,Lucas County Courthouse Square Historic District,Iowa,Lucas,Chariton,"Braden Ct., Grand & Main Sts. around the Public Sq.",Listed,Single,FALSE,21.2,Politics/Government; Commerce; Architecture,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2014-08-11,NA,NA,NA,14000324,Lucas County Courthouse Square,"Lucas County Courthouse Square Historic District, Lucas, Iowa"
94001137,NA,Broad View Ranch Historic District,Iowa,Lyon,Sheldon,2572 Log Ave.,Listed,Multiple,FALSE,39,Agriculture,District,https://catalog.archives.gov/id/75336967,FALSE,FALSE,FALSE,TRUE,FALSE,1994-09-23,NA,NA,NA,94001137,Broad View Ranch,"Broad View Ranch Historic District, Lyon, Iowa"
94001138,NA,Duncan-Duitsman Farm Historic District,Iowa,Lyon,George,4324 180th St.,Listed,Multiple,FALSE,160,Agriculture; Architecture; Exploration/Settlement,District,https://catalog.archives.gov/id/75336972,FALSE,FALSE,FALSE,TRUE,FALSE,1994-09-23,NA,NA,NA,94001138,Duncan-Duitsman Farm,"Duncan-Duitsman Farm Historic District, Lyon, Iowa"
100005493,SG,"Lewis, Judge W.h. And Emma, Historic District",Iowa,Madison,Winterset,1145 Summit St. West,Listed,Single,FALSE,6.6,Agriculture; Commerce; Politics/Government,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2020-08-27,NA,Fairmount Nursery,NA,100005493,"Lewis, Judge W.h. And Emma,","Lewis, Judge W.h. And Emma, Historic District, Madison, Iowa"
100006220,SG,Winterset City Park Historic District,Iowa,Madison,Winterset,South 9th St. at East South St.,Listed,Single,FALSE,73,Architecture; Landscape Architecture; Archeology; Industry; Archeology-Historic Non-Aboriginal; Entertainment/Recreation,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2021-03-10,NA,City Park,NA,100006220,Winterset City Park,"Winterset City Park Historic District, Madison, Iowa"
15000915,NA,Winterset Courthouse Square Commercial Historic District,Iowa,Madison,Winterset,"Roughly bounded by Green & 2nd Sts., 2nd Ave. & alley S. of Court Ave.",Listed,Single,FALSE,16,Architecture; Commerce; Social History,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2015-12-22,NA,NA,NA,15000915,Winterset Courthouse Square Commercial,"Winterset Courthouse Square Commercial Historic District, Madison, Iowa"
07001005,NA,Edmundson Park Historic District,Iowa,Mahaska,Oskaloosa,Jct. of 11th Ave. W and Edmundson Dr.,Listed,Single,FALSE,56.5,Community Planning And Development; Landscape Architecture; Architecture,District,https://catalog.archives.gov/id/75339535,FALSE,FALSE,FALSE,TRUE,FALSE,2007-09-27,NA,NA,NA,07001005,Edmundson Park,"Edmundson Park Historic District, Mahaska, Iowa"
86000716,NA,Oskaloosa City Square Commercial Historic District,Iowa,Mahaska,Oskaloosa,"Roughly bounded by A Ave. E, N. and S. Second St., Second Ave. E, and N. and S. A St.",Listed,Single,FALSE,9.8,Architecture,District,https://catalog.archives.gov/id/75339531,FALSE,FALSE,FALSE,TRUE,FALSE,1986-04-10,NA,See Also:Mahaska County County Courthouse; Oskaloosa City Pa,NA,86000716,Oskaloosa City Square Commercial,"Oskaloosa City Square Commercial Historic District, Mahaska, Iowa"
91001767,NA,Paradise Block Historic District,Iowa,Mahaska,Oskaloosa,"402, 406, 408, 410, 414, 418 and 510--714 High Ave. E.",Listed,Multiple,FALSE,10.5,Architecture,Building,https://catalog.archives.gov/id/75337061,FALSE,FALSE,FALSE,TRUE,FALSE,1991-12-13,NA,See Also:Smith-Johnson House;Seeberger-Loring-Kilburn House,NA,91001767,Paradise Block,"Paradise Block Historic District, Mahaska, Iowa"
96000391,NA,Penn College Historic District,Iowa,Mahaska,Oskaloosa,201 Trueblood Ave.,Listed,Multiple,FALSE,13.8,Education; Architecture,District,https://catalog.archives.gov/id/75337091,FALSE,FALSE,TRUE,FALSE,FALSE,1996-04-04,NA,William Penn College,NA,96000391,Penn College,"Penn College Historic District, Mahaska, Iowa"
03001370,NA,Vander Wilt Farmstead Historic District,Iowa,Mahaska,Leighton,"1345 IA 163, Black Oak Twp, Sec. 22, T26N, R17W, SW of Ne",Listed,Single,FALSE,9,Agriculture,District,https://catalog.archives.gov/id/75339509,FALSE,FALSE,FALSE,TRUE,FALSE,2004-01-08,NA,Heritage House Bed and Breakfast,NA,03001370,Vander Wilt Farmstead,"Vander Wilt Farmstead Historic District, Mahaska, Iowa"
100001766,SG,Collegiate Neighborhood Historic District,Iowa,Marion,Pella,"Main to W. 1st, Independence to Union & w. side of W. 1st to Liberty Sts.",Listed,Single,FALSE,10,Community Planning And Development; Architecture,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2017-10-26,NA,NA,NA,100001766,Collegiate Neighborhood,"Collegiate Neighborhood Historic District, Marion, Iowa"
12000246,MP,Knoxville Veterans Administration Hospital Historic District,Iowa,Marion,Knoxville,1515 W. Pleasant St.,Listed,Multiple,FALSE,86,Politics/Government; Health/Medicine; Architecture,District,https://catalog.archives.gov/id/77835408,FALSE,FALSE,TRUE,TRUE,FALSE,2012-05-01,NA,Veterans Affairs Central Iowa Health Care System; Knoxville Outpatient Clinic; 63-01767,NA,12000246,Knoxville Veterans Administration Hospital,"Knoxville Veterans Administration Hospital Historic District, Marion, Iowa"
07000775,NA,Knoxville Wpa Athletic Field Historic District,Iowa,Marion,Knoxville,"Bounded by Lincoln St., Robinson St., Stadium St. and Marion St.",Listed,Single,FALSE,4,Architecture; Entertainment/Recreation; Community Planning And Development,District,https://catalog.archives.gov/id/75339557,FALSE,FALSE,TRUE,TRUE,FALSE,2007-08-02,NA,NA,NA,07000775,Knoxville Wpa Athletic Field,"Knoxville Wpa Athletic Field Historic District, Marion, Iowa"
94001580,NA,St. Joseph's Roman Catholic Church And Cemetery Historic District,Iowa,Marion,Lacona,1 mile E of jct. of Co. Rd. G76 and SE. 97th St.,Listed,Single,FALSE,2,Exploration/Settlement; Architecture; European,District,https://catalog.archives.gov/id/75339569,FALSE,FALSE,FALSE,TRUE,FALSE,1995-01-24,NA,"St. Joseph's, Bauer",NA,94001580,St. Joseph's Roman Catholic Church And Cemetery,"St. Joseph's Roman Catholic Church And Cemetery Historic District, Marion, Iowa"
01001463,NA,Marshalltown Downtown Historic District,Iowa,Marshall,Marshalltown,"Roughly bounded by 2nd St., State St., 3rd. Ave., and E. Church St.",Listed,Single,FALSE,10.1,Architecture; Commerce; Politics/Government; Transportation,District,https://catalog.archives.gov/id/75339589,FALSE,FALSE,FALSE,TRUE,FALSE,2002-01-17,NA,NA,NA,01001463,Marshalltown Downtown,"Marshalltown Downtown Historic District, Marshall, Iowa"
02001034,NA,State Center Commercial Historic District,Iowa,Marshall,State Center,Main St. Blks 200-100 West and 100 East,Listed,Multiple,FALSE,9,Architecture; Community Planning And Development; Commerce,District,https://catalog.archives.gov/id/75337136,FALSE,FALSE,FALSE,TRUE,FALSE,2002-09-20,NA,NA,NA,02001034,State Center Commercial,"State Center Commercial Historic District, Marshall, Iowa"
02001030,NA,Osage Commercial Historic District,Iowa,Mitchell,Osage,"Main Street Blks. 700, 600 and parts of 500",Listed,Multiple,FALSE,8,Architecture; Community Planning And Development; Commerce,District,https://catalog.archives.gov/id/75337151,FALSE,FALSE,FALSE,TRUE,FALSE,2002-09-12,NA,NA,NA,02001030,Osage Commercial,"Osage Commercial Historic District, Mitchell, Iowa"
91001839,NA,Jones Creek Watershed Historic District,Iowa,Monona,Moorhead,"Between Little Sioux and Soldier Rivers, SW of Moorhead",Listed,Multiple,FALSE,1400,Conservation; Agriculture,District,https://catalog.archives.gov/id/75337183,FALSE,FALSE,TRUE,FALSE,FALSE,1991-12-23,NA,NA,NA,91001839,Jones Creek Watershed,"Jones Creek Watershed Historic District, Monona, Iowa"
85000007,NA,Albia Square And Central Commercial Historic District,Iowa,Monroe,Albia,"Roughly bounded by the alley of S. and N. Clinton, E. and W. A Ave., N. and S. 2nd St., and E. and W. 2nd Ave.",Listed,Single,FALSE,15.3,Commerce; Architecture,District,https://catalog.archives.gov/id/75339630,FALSE,FALSE,FALSE,TRUE,FALSE,1985-01-03,NA,NA,NA,85000007,Albia Square And Central Commercial,"Albia Square And Central Commercial Historic District, Monroe, Iowa"
15000752,NA,"Ellis, William And Amanda J., Farmstead Historic District",Iowa,Montgomery,Elliott,1134 I Ave.,Listed,Single,FALSE,1.1,Architecture,District,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2015-10-23,NA,NA,NA,15000752,"Ellis, William And Amanda J., Farmstead","Ellis, William And Amanda J., Farmstead Historic District, Montgomery, Iowa"
02001031,NA,Grant Commercial Historic District,Iowa,Montgomery,Grant,Parts of Second St. and U Ave.,Listed,Multiple,FALSE,5,Architecture; Community Planning And Development; Commerce,District,https://catalog.archives.gov/id/75337173,FALSE,FALSE,FALSE,TRUE,FALSE,2002-09-12,NA,NA,NA,02001031,Grant Commercial,"Grant Commercial Historic District, Montgomery, Iowa"
