ref_number,prefix,property_name,state,county,city,street_number,status,request_type,restricted_address,acreage_of_property,area_of_significance,category_of_property,external_link,level_of_significance_international,level_of_significance_national,level_of_significance_state,level_of_significance_local,level_of_significance_not_indicated,listed_date,nhl_designated_date,other_names,park_name,property_id,district_name,address
86001967,NA,Commerce Street Residential Historic District,Alabama,Butler,Greenville,"206, 212, 218, 301 E. Commerce St.",Listed,Multiple,FALSE,1.8,Industry; Commerce; Health/Medicine; Politics/Government; Architecture,District,https://catalog.archives.gov/id/77834897,FALSE,FALSE,FALSE,TRUE,FALSE,1986-08-28,NA,NA,NA,86001967,Commerce Street Residential,"Commerce Street Residential Historic District, Butler, Alabama"
86001966,NA,East Commerce Street Historic District,Alabama,Butler,Greenville,"Roughly bounded by Cedar, Chestnut, Commerce, and Hickory Sts.",Listed,Multiple,FALSE,4.5,Politics/Government; Architecture,District,https://catalog.archives.gov/id/77834909,FALSE,FALSE,FALSE,TRUE,FALSE,1986-11-04,NA,NA,NA,86001966,East Commerce Street,"East Commerce Street Historic District, Butler, Alabama"
86001974,NA,Fort Dale-College Street Historic District,Alabama,Butler,Greenville,"Roughly bounded by Ft. Dale, Hamilton, and N. College Sts.",Listed,Multiple,FALSE,32.5,Commerce; Health/Medicine; Education; Politics/Government; Architecture,District,https://catalog.archives.gov/id/77834905,FALSE,FALSE,FALSE,TRUE,FALSE,1986-08-28,NA,NA,NA,86001974,Fort Dale-College Street,"Fort Dale-College Street Historic District, Butler, Alabama"
86001971,NA,King Street Historic District,Alabama,Butler,Greenville,"Roughly bounded by W. Commerce, Oliver, Milner, and King Sts.",Listed,Multiple,FALSE,4,Architecture,District,https://catalog.archives.gov/id/77834859,FALSE,FALSE,FALSE,TRUE,FALSE,1986-08-28,NA,NA,NA,86001971,King Street,"King Street Historic District, Butler, Alabama"
86001968,NA,Post Office Historic District,Alabama,Butler,Greenville,100--115 W. Commerce and 101 E. Commerce Sts.,Listed,Multiple,FALSE,2.5,Commerce; Entertainment/Recreation; Architecture; Communications,District,https://catalog.archives.gov/id/77834895,FALSE,FALSE,FALSE,TRUE,FALSE,1986-11-04,NA,NA,NA,86001968,Post Office,"Post Office Historic District, Butler, Alabama"
86001965,NA,South Greenville Historic District,Alabama,Butler,Greenville,"Roughly bounded by Walnut, S. Conecuh, Parmer, and Church and Harrison and Caldwell Sts.",Listed,Multiple,FALSE,80,Commerce; Transportation; Politics/Government; Architecture,District,https://catalog.archives.gov/id/77834899,FALSE,FALSE,FALSE,TRUE,FALSE,1986-08-28,NA,NA,NA,86001965,South Greenville,"South Greenville Historic District, Butler, Alabama"
86001972,NA,South Street Historic District,Alabama,Butler,Greenville,"Roughly bounded by South, Oliver, and McKenzie Sts.",Listed,Multiple,FALSE,5.5,Architecture,District,https://catalog.archives.gov/id/77834857,FALSE,FALSE,FALSE,TRUE,FALSE,1986-08-28,NA,NA,NA,86001972,South Street,"South Street Historic District, Butler, Alabama"
86001970,NA,West Commerce Street Historic District,Alabama,Butler,Greenville,"Roughly bounded by W. Commerce, Bolling, and Milner Sts., and L & N RR",Listed,Multiple,FALSE,2,Commerce; Transportation; Architecture,District,https://catalog.archives.gov/id/77834903,FALSE,FALSE,FALSE,TRUE,FALSE,1986-08-28,NA,NA,NA,86001970,West Commerce Street,"West Commerce Street Historic District, Butler, Alabama"
91000663,NA,Downtown Anniston Historic District,Alabama,Calhoun,Anniston,"Roughly bounded by Moore Ave., 14th St., Wilmer Ave. and 9th St.",Listed,Multiple,FALSE,36.5,Community Planning And Development; Commerce; Architecture,District,https://catalog.archives.gov/id/77834951,FALSE,FALSE,FALSE,TRUE,FALSE,1991-05-30,NA,See Also:80000681;85002889;85002873;85002866;85002878;850028,NA,91000663,Downtown Anniston,"Downtown Anniston Historic District, Calhoun, Alabama"
91000663,RS,Downtown Anniston Historic District (Additional Documentation),Alabama,Calhoun,Anniston,"Roughly bounded by Moore Ave., 14th St., Wilmer Ave. and 9th St.",Listed,Resubmission,FALSE,85,Community Planning And Development; Commerce; Architecture; Ethnic Heritage-Black; Social History,District,https://catalog.archives.gov/id/77834951,FALSE,FALSE,FALSE,TRUE,FALSE,1991-05-30,NA,NA,NA,91000663,Downtown Anniston (Additional Documentation),"Downtown Anniston Historic District (Additional Documentation), Calhoun, Alabama"
