ref_number,prefix,property_name,state,county,city,street_number,status,request_type,restricted_address,acreage_of_property,area_of_significance,category_of_property,external_link,level_of_significance_international,level_of_significance_national,level_of_significance_state,level_of_significance_local,level_of_significance_not_indicated,listed_date,nhl_designated_date,other_names,park_name,property_id,district_name,address,latitude,longitude
86001534,AD,"Lore, Seth And Irwinton Historic District (Boundary Increase)",Alabama,Barbour,Eufaula,"Roughly bounded by Browder St., Van Buren Ave., Washington St., and Sanford Ave.",Listed,Add.doc.,FALSE,205,Industry; Commerce; Politics/Government; Architecture,District,https://catalog.archives.gov/id/77835779,FALSE,FALSE,TRUE,FALSE,FALSE,1986-08-14,NA,See Also:71000093;71000095;72000154;72000156;73000330;820019,NA,86001534,"Lore, Seth And Irwinton (Boundary Increase)","Lore, Seth And Irwinton Historic District (Boundary Increase), Roughly bounded by Browder St., Van Buren Ave., Washington St., and Sanford Ave., Eufaula, Alabama",31.8913374,-85.1458486
78000482,NA,Centreville Historic District,Alabama,Bibb,Centreville,"Walnut St., East and West Court Sq.",Listed,Single,FALSE,7.5,Commerce; Politics/Government; Architecture,District,https://catalog.archives.gov/id/77835799,FALSE,FALSE,TRUE,FALSE,FALSE,1978-10-19,NA,NA,NA,78000482,Centreville,"Centreville Historic District, Walnut St., East and West Court Sq., Centreville, Alabama",32.94523,-87.13553
76000312,NA,Bullock County Courthouse Historic District,Alabama,Bullock,Union Springs,N. Prairie St.,Listed,Single,FALSE,25.1,Economics; Politics/Government,District,https://catalog.archives.gov/id/77835813,FALSE,FALSE,TRUE,FALSE,FALSE,1976-10-08,NA,NA,NA,76000312,Bullock County Courthouse,"Bullock County Courthouse Historic District, N. Prairie St., Union Springs, Alabama",32.14532,-85.71608
86001967,NA,Commerce Street Residential Historic District,Alabama,Butler,Greenville,"206, 212, 218, 301 E. Commerce St.",Listed,Multiple,FALSE,1.8,Industry; Commerce; Health/Medicine; Politics/Government; Architecture,District,https://catalog.archives.gov/id/77834897,FALSE,FALSE,FALSE,TRUE,FALSE,1986-08-28,NA,NA,NA,86001967,Commerce Street Residential,"Commerce Street Residential Historic District, 206, 212, 218, 301 E. Commerce St., Greenville, Alabama",31.829949995424,-86.621129981531
86001966,NA,East Commerce Street Historic District,Alabama,Butler,Greenville,"Roughly bounded by Cedar, Chestnut, Commerce, and Hickory Sts.",Listed,Multiple,FALSE,4.5,Politics/Government; Architecture,District,https://catalog.archives.gov/id/77834909,FALSE,FALSE,FALSE,TRUE,FALSE,1986-11-04,NA,NA,NA,86001966,East Commerce Street,"East Commerce Street Historic District, Roughly bounded by Cedar, Chestnut, Commerce, and Hickory Sts., Greenville, Alabama",31.829591208058,-86.619753086297
86001974,NA,Fort Dale-College Street Historic District,Alabama,Butler,Greenville,"Roughly bounded by Ft. Dale, Hamilton, and N. College Sts.",Listed,Multiple,FALSE,32.5,Commerce; Health/Medicine; Education; Politics/Government; Architecture,District,https://catalog.archives.gov/id/77834905,FALSE,FALSE,FALSE,TRUE,FALSE,1986-08-28,NA,NA,NA,86001974,Fort Dale-College Street,"Fort Dale-College Street Historic District, Roughly bounded by Ft. Dale, Hamilton, and N. College Sts., Greenville, Alabama",31.834376604219,-86.631630159277
86001971,NA,King Street Historic District,Alabama,Butler,Greenville,"Roughly bounded by W. Commerce, Oliver, Milner, and King Sts.",Listed,Multiple,FALSE,4,Architecture,District,https://catalog.archives.gov/id/77834859,FALSE,FALSE,FALSE,TRUE,FALSE,1986-08-28,NA,NA,NA,86001971,King Street,"King Street Historic District, Roughly bounded by W. Commerce, Oliver, Milner, and King Sts., Greenville, Alabama",31.828190005304,-86.630306992042
86001968,NA,Post Office Historic District,Alabama,Butler,Greenville,100--115 W. Commerce and 101 E. Commerce Sts.,Listed,Multiple,FALSE,2.5,Commerce; Entertainment/Recreation; Architecture; Communications,District,https://catalog.archives.gov/id/77834895,FALSE,FALSE,FALSE,TRUE,FALSE,1986-11-04,NA,NA,NA,86001968,Post Office,"Post Office Historic District, 100--115 W. Commerce and 101 E. Commerce Sts., Greenville, Alabama",31.829776,-86.623978
86001965,NA,South Greenville Historic District,Alabama,Butler,Greenville,"Roughly bounded by Walnut, S. Conecuh, Parmer, and Church and Harrison and Caldwell Sts.",Listed,Multiple,FALSE,80,Commerce; Transportation; Politics/Government; Architecture,District,https://catalog.archives.gov/id/77834899,FALSE,FALSE,FALSE,TRUE,FALSE,1986-08-28,NA,NA,NA,86001965,South Greenville,"South Greenville Historic District, Roughly bounded by Walnut, S. Conecuh, Parmer, and Church and Harrison and Caldwell Sts., Greenville, Alabama",31.82399100709,-86.623864996538
86001972,NA,South Street Historic District,Alabama,Butler,Greenville,"Roughly bounded by South, Oliver, and McKenzie Sts.",Listed,Multiple,FALSE,5.5,Architecture,District,https://catalog.archives.gov/id/77834857,FALSE,FALSE,FALSE,TRUE,FALSE,1986-08-28,NA,NA,NA,86001972,South Street,"South Street Historic District, Roughly bounded by South, Oliver, and McKenzie Sts., Greenville, Alabama",31.830356982931,-86.630402801284
86001970,NA,West Commerce Street Historic District,Alabama,Butler,Greenville,"Roughly bounded by W. Commerce, Bolling, and Milner Sts., and L & N RR",Listed,Multiple,FALSE,2,Commerce; Transportation; Architecture,District,https://catalog.archives.gov/id/77834903,FALSE,FALSE,FALSE,TRUE,FALSE,1986-08-28,NA,NA,NA,86001970,West Commerce Street,"West Commerce Street Historic District, Roughly bounded by W. Commerce, Bolling, and Milner Sts., and L & N RR, Greenville, Alabama",31.8293,-86.6283
91000663,NA,Downtown Anniston Historic District,Alabama,Calhoun,Anniston,"Roughly bounded by Moore Ave., 14th St., Wilmer Ave. and 9th St.",Listed,Multiple,FALSE,36.5,Community Planning And Development; Commerce; Architecture,District,https://catalog.archives.gov/id/77834951,FALSE,FALSE,FALSE,TRUE,FALSE,1991-05-30,NA,See Also:80000681;85002889;85002873;85002866;85002878;850028,NA,91000663,Downtown Anniston,"Downtown Anniston Historic District, Roughly bounded by Moore Ave., 14th St., Wilmer Ave. and 9th St., Anniston, Alabama",33.655738012705,-85.828390031042
91000663,RS,Downtown Anniston Historic District (Additional Documentation),Alabama,Calhoun,Anniston,"Roughly bounded by Moore Ave., 14th St., Wilmer Ave. and 9th St.",Listed,Resubmission,FALSE,85,Community Planning And Development; Commerce; Architecture; Ethnic Heritage-Black; Social History,District,https://catalog.archives.gov/id/77834951,FALSE,FALSE,FALSE,TRUE,FALSE,1991-05-30,NA,NA,NA,91000663,Downtown Anniston (Additional Documentation),"Downtown Anniston Historic District (Additional Documentation), Roughly bounded by Moore Ave., 14th St., Wilmer Ave. and 9th St., Anniston, Alabama",33.655738012705,-85.828390031042
100009122,RS,Downtown Anniston Historic District (Boundary Increase Ii/Decrease),Alabama,Calhoun,Anniston,"20, 101, 227 14th St. West, 130, 216, 230 15th St. West",Listed,Resubmission,FALSE,85,Community Planning And Development; Commerce; Architecture; Ethnic Heritage-Black; Social History,District,https://catalog.archives.gov/id/77834951,FALSE,FALSE,FALSE,TRUE,FALSE,2024-11-14,NA,NA,NA,91000663,Downtown Anniston (Boundary Increase Ii/Decrease),"Downtown Anniston Historic District (Boundary Increase Ii/Decrease), 20, 101, 227 14th St. West, 130, 216, 230 15th St. West, Anniston, Alabama",33.662584937952,-85.833861821254
10000270,NA,Downtown Anniston Historic District (Boundary Increase),Alabama,Calhoun,Anniston,"Bounded by Wilmer & Walnut Aves., W. 9th & 14th Sts.",Listed,Single,FALSE,66,Community Planning And Development; Commerce; Black; Architecture,District,https://catalog.archives.gov/id/77835857,FALSE,TRUE,FALSE,FALSE,FALSE,2010-05-24,NA,NA,NA,10000270,Downtown Anniston (Boundary Increase),"Downtown Anniston Historic District (Boundary Increase), Bounded by Wilmer & Walnut Aves., W. 9th & 14th Sts., Anniston, Alabama",33.663713,-85.829793
86001044,NA,Downtown Jacksonville Historic District,Alabama,Calhoun,Jacksonville,"Roughly bounded by College, Thomas, Coffee, and Spring Sts.",Listed,Single,FALSE,33,Education; Exploration/Settlement; Politics/Government; Architecture,District,https://catalog.archives.gov/id/77835835,FALSE,FALSE,FALSE,TRUE,FALSE,1986-05-13,NA,"See Also:Francis, Dr. J. C., Office",NA,86001044,Downtown Jacksonville,"Downtown Jacksonville Historic District, Roughly bounded by College, Thomas, Coffee, and Spring Sts., Jacksonville, Alabama",33.812373110006,-85.763885167317
93000418,NA,East Anniston Residential Historic District,Alabama,Calhoun,Anniston,"Roughly, along Leighton and Christine Aves. from 11th St. to 22nd Sts. and Woodstock Ave. from 11th St. to Rocky Hollow",Listed,Multiple,FALSE,137,Community Planning And Development; Architecture,District,https://catalog.archives.gov/id/77834953,FALSE,FALSE,FALSE,TRUE,FALSE,1993-05-28,NA,See Also:Crowan Cottage;Kilby House;Saint Paul's Methodist E,NA,93000418,East Anniston Residential,"East Anniston Residential Historic District, Roughly, along Leighton and Christine Aves. from 11th St. to 22nd Sts. and Woodstock Ave. from 11th St. to Rocky Hollow, Anniston, Alabama",33.632824990727,-85.824112997308
06000981,NA,Fort Mcclellan Ammunition Storage Historic District,Alabama,Calhoun,Anniston,Pappy Dunn Blvd.,Listed,Single,FALSE,27,Military; Community Planning And Development; Architecture,District,https://catalog.archives.gov/id/77835869,FALSE,FALSE,FALSE,TRUE,FALSE,2006-11-08,NA,NA,NA,06000981,Fort Mcclellan Ammunition Storage,"Fort Mcclellan Ammunition Storage Historic District, Pappy Dunn Blvd., Anniston, Alabama",33.72204,-85.78127
06000982,NA,Fort Mcclellan Industrial Historic District,Alabama,Calhoun,Anniston,"Jimmy Parks Blvd., Transportation Rd., Idaho Ave.",Listed,Single,FALSE,52,Military; Community Planning And Development; Architecture,District,https://catalog.archives.gov/id/77835873,FALSE,FALSE,FALSE,TRUE,FALSE,2006-11-08,NA,Warehouse Area,NA,06000982,Fort Mcclellan Industrial,"Fort Mcclellan Industrial Historic District, Jimmy Parks Blvd., Transportation Rd., Idaho Ave., Anniston, Alabama",33.71771,-85.79007
06000983,NA,Fort Mcclellan Post Headquarters Historic District,Alabama,Calhoun,Anniston,"Buckner Circle, Headquarters Ave., Drennan Dr.",Listed,Single,FALSE,66,Military; Community Planning And Development; Architecture,District,https://catalog.archives.gov/id/77835867,FALSE,FALSE,FALSE,TRUE,FALSE,2006-11-08,NA,NA,NA,06000983,Fort Mcclellan Post Headquarters,"Fort Mcclellan Post Headquarters Historic District, Buckner Circle, Headquarters Ave., Drennan Dr., Anniston, Alabama",33.71645,-85.79696
85002867,NA,Glenwood Terrace Residential Historic District,Alabama,Calhoun,Anniston,"Roughly bounded by Oak St., Jefferson Ave., lots on S side of Glenwood Terr. & N side of Orchard St., and Highland Ave.",Listed,Multiple,FALSE,8,Architecture,District,https://catalog.archives.gov/id/77834925,FALSE,FALSE,TRUE,FALSE,FALSE,1985-10-03,NA,NA,NA,85002867,Glenwood Terrace Residential,"Glenwood Terrace Residential Historic District, Roughly bounded by Oak St., Jefferson Ave., lots on S side of Glenwood Terr. & N side of Orchard St., and Highland Ave., Anniston, Alabama",NA,NA
