page,url,href,.keepall,museum_url,source_page
1,https://whichmuseum.com/place/united-states-2682,/museum/fort-stevens-state-park-warrenton-13187,TRUE,https://whichmuseum.com/museum/fort-stevens-state-park-warrenton-13187,https://whichmuseum.com/place/united-states-2682
1,https://whichmuseum.com/place/united-states-2682,/museum/fruitlands-museum-the-trustees-of-reservations-harvard-13845,TRUE,https://whichmuseum.com/museum/fruitlands-museum-the-trustees-of-reservations-harvard-13845,https://whichmuseum.com/place/united-states-2682
1,https://whichmuseum.com/place/united-states-2682,/museum/national-september-11-memorial-museum-new-york-9273,TRUE,https://whichmuseum.com/museum/national-september-11-memorial-museum-new-york-9273,https://whichmuseum.com/place/united-states-2682
1,https://whichmuseum.com/place/united-states-2682,/museum/empire-state-building-new-york-21191,TRUE,https://whichmuseum.com/museum/empire-state-building-new-york-21191,https://whichmuseum.com/place/united-states-2682
1,https://whichmuseum.com/place/united-states-2682,/museum/national-museum-of-american-history-washington-d-c-9202,TRUE,https://whichmuseum.com/museum/national-museum-of-american-history-washington-d-c-9202,https://whichmuseum.com/place/united-states-2682
1,https://whichmuseum.com/place/united-states-2682,/museum/san-diego-zoo-safari-park-21187,TRUE,https://whichmuseum.com/museum/san-diego-zoo-safari-park-21187,https://whichmuseum.com/place/united-states-2682
1,https://whichmuseum.com/place/united-states-2682,/museum/ellis-island-national-museum-of-immigration-jersey-city-11544,TRUE,https://whichmuseum.com/museum/ellis-island-national-museum-of-immigration-jersey-city-11544,https://whichmuseum.com/place/united-states-2682
1,https://whichmuseum.com/place/united-states-2682,/museum/the-dali-museum-saint-petersburg-48477,TRUE,https://whichmuseum.com/museum/the-dali-museum-saint-petersburg-48477,https://whichmuseum.com/place/united-states-2682
1,https://whichmuseum.com/place/united-states-2682,/museum/milwaukee-county-zoo-9546,TRUE,https://whichmuseum.com/museum/milwaukee-county-zoo-9546,https://whichmuseum.com/place/united-states-2682
1,https://whichmuseum.com/place/united-states-2682,/museum/national-museum-of-african-american-history-and-culture-washington-d-c-9209,TRUE,https://whichmuseum.com/museum/national-museum-of-african-american-history-and-culture-washington-d-c-9209,https://whichmuseum.com/place/united-states-2682
1,https://whichmuseum.com/place/united-states-2682,/museum/american-museum-of-natural-history-new-york-9274,TRUE,https://whichmuseum.com/museum/american-museum-of-natural-history-new-york-9274,https://whichmuseum.com/place/united-states-2682
1,https://whichmuseum.com/place/united-states-2682,/museum/the-metropolitan-museum-of-art-new-york-9275,TRUE,https://whichmuseum.com/museum/the-metropolitan-museum-of-art-new-york-9275,https://whichmuseum.com/place/united-states-2682
1,https://whichmuseum.com/place/united-states-2682,/museum/newport-art-museum-8144,TRUE,https://whichmuseum.com/museum/newport-art-museum-8144,https://whichmuseum.com/place/united-states-2682
1,https://whichmuseum.com/place/united-states-2682,/museum/lemoyne-center-for-the-visual-arts-tallahassee-8180,TRUE,https://whichmuseum.com/museum/lemoyne-center-for-the-visual-arts-tallahassee-8180,https://whichmuseum.com/place/united-states-2682
