system:index,institution_type,name,no2,.geo
00000000000000000219_0,Power Plant,Fairmont (MN),2.8777878518519317E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.48031000727067,43.67159753747054]}"
0000000000000000021a_0,Power Plant,Glencoe,3.455168889758854E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.16589965782885,44.74059272557277]}"
0000000000000000021b_0,Power Plant,Grand Marais,2.0036511623136387E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.33009339463848,47.75893208021436]}"
0000000000000000021c_0,Power Plant,Granite Falls,2.990220533414465E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.54930519537291,44.803474795461135]}"
0000000000000000021d_0,Power Plant,Hibbing,1.6762500695894813E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.90825826006152,47.44452173077253]}"
0000000000000000021e_0,Power Plant,Hutchinson Plant #1,3.2379508821359764E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.35454586749394,44.8663568653495]}"
0000000000000000021f_0,Power Plant,Janesville,3.161637522877838E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.72572516861027,44.1117720266891]}"
00000000000000000220_0,Power Plant,Kenyon Municipal,3.3246490636186105E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.97114032994988,44.300418236354204]}"
00000000000000000221_0,Power Plant,Lake Crystal,3.238501129060345E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.2287817277172,44.1117720266891]}"
00000000000000000222_0,Power Plant,Lanesboro,2.817230223453857E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.96502721173601,43.73447960735891]}"
00000000000000000223_0,Power Plant,Litchfield,2.833132076270588E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.54319207715903,45.117885144902964]}"
00000000000000000224_0,Power Plant,Luverne,2.8557473880310143E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.17812589425657,43.67159753747054]}"
00000000000000000225_0,Power Plant,Marshall (MN),2.578918511681934E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.80083347492636,44.42618237613094]}"
00000000000000000226_0,Power Plant,Melrose,3.13693106167992E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.7947203567125,45.68382377389827]}"
00000000000000000227_0,Power Plant,Moose Lake,1.8320680583857115E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.78249412028478,46.43840861255866]}"
00000000000000000228_0,Power Plant,Mora,2.0702450111341248E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.2855506793917,45.87246998356336]}"
00000000000000000229_0,Power Plant,Mountain Lake,2.7108306698230847E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.92048449648924,43.923125817024]}"
0000000000000000022a_0,Power Plant,New Prague,3.449730162860161E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.59996102883355,44.551946515907666]}"
0000000000000000022b_0,Power Plant,New Ulm,3.098108673388725E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.48031000727067,44.300418236354204]}"
0000000000000000022c_0,Power Plant,North Branch (MN),2.3315524077554753E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.97114032994988,45.49517756423317]}"
0000000000000000022d_0,Power Plant,Owatonna,3.435158841782431E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.22266860950334,44.1117720266891]}"
0000000000000000022e_0,Power Plant,Preston (MN),2.8802402496834652E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.09079135151275,43.67159753747054]}"
0000000000000000022f_0,Power Plant,Princeton (MN),2.6037022777955166E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.59996102883355,45.558059634121534]}"
00000000000000000230_0,Power Plant,Rochester Hydro,2.7187239462178116E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.46808377084294,44.23753616646584]}"
