system:index,impervious_surface,institution_type,name,.geo
00000000000000000152_0,40,Fortune 500 HQ,"162. Altria Group Inc., West Broad Street, Richmond, VA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.51768928359785,37.60251758271275]}"
00000000000000000153_0,57,Fortune 500 HQ,"161. Hartford Financial Services: Delacruz Cedric, Hartford Plaza, Hartford, CT, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.68711970172173,41.769796747334254]}"
00000000000000000154_0,84,Fortune 500 HQ,"160. Danaher Corporation, Pennsylvania Avenue Northwest, Washington, DC, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.0494421688749,38.90175699339649]}"
00000000000000000155_0,97,Fortune 500 HQ,159. PNC Financial Services,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-79.9957959116374,40.4406917289812]}"
00000000000000000156_0,85,Fortune 500 HQ,158. SYNNEX,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.98878226095658,37.548630376663674]}"
00000000000000000157_0,88,Fortune 500 HQ,157. AECOM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.24377340971093,34.052262130873125]}"
00000000000000000158_0,93,Fortune 500 HQ,156. Kohl’s,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.11741455096038,43.17889923483241]}"
00000000000000000159_0,81,Fortune 500 HQ,155. WellCare Health Plans,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.45710428946033,27.95053862740554]}"
0000000000000000015a_0,94,Fortune 500 HQ,154. Lennar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.19179127843103,25.761606507002636]}"
0000000000000000015b_0,90,Fortune 500 HQ,153. VISA,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.4195035285299,37.77491952206471]}"
0000000000000000015c_0,87,Fortune 500 HQ,152. Western Digital,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.88640354421072,37.33808980277822]}"
0000000000000000015d_0,83,Fortune 500 HQ,151. Marriott International,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.09460831366219,38.98465112556803]}"
0000000000000000015e_0,87,Fortune 500 HQ,150. Broadcom,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.88640354421072,37.33808980277822]}"
0000000000000000015f_0,96,Fortune 500 HQ,149. McDonald’s,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.6298578670572,41.87807905701323]}"
00000000000000000160_0,93,Fortune 500 HQ,148. Whirlpool,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.4541878465553,42.11663390079825]}"
00000000000000000161_0,91,Fortune 500 HQ,147. LEAR,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.22194265964373,42.47348864842917]}"
00000000000000000162_0,63,Fortune 500 HQ,"146. CBRE Global Headquarters, South Hope Street, Los Angeles, CA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.2537070369541,34.05169955677255]}"
00000000000000000163_0,94,Fortune 500 HQ,145. AutoNation,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.13735271815867,26.12232848406223]}"
00000000000000000164_0,95,Fortune 500 HQ,"144. Tesla HQ, Deer Creek Road, Palo Alto, CA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.15034647008169,37.394622569923506]}"
00000000000000000165_0,86,Fortune 500 HQ,143. AFLAC,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.98757884289454,32.46083081993338]}"
00000000000000000166_0,69,Fortune 500 HQ,142. Southwest Airlines,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.79694846907476,32.77662163148151]}"
00000000000000000167_0,97,Fortune 500 HQ,141. ManpowerGroup,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.906495004485,43.03879077375857]}"
00000000000000000168_0,58,Fortune 500 HQ,140. JABIL,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.64038007734946,27.767489337244136]}"
00000000000000000169_0,85,Fortune 500 HQ,"139. Gilead Sciences, Inc., Lakeside Drive, Foster City, CA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.28148705740047,37.56703149098744]}"
0000000000000000016a_0,99,Fortune 500 HQ,138. Bristol-Myers Squibb,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00593548172348,40.71277003537379]}"
0000000000000000016b_0,98,Fortune 500 HQ,"137. Qualcomm, Technology Drive, San Jose, CA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.91499116630992,37.3654669947691]}"
0000000000000000016c_0,94,Fortune 500 HQ,"136. Penske Automotive Group, Inc., South Telegraph Road, Bloomfield Township, MI, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.28781888915405,42.60265258051056]}"
0000000000000000016d_0,0,Fortune 500 HQ,135. DOLLAR TREE,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.28738631606974,36.76812146345148]}"
0000000000000000016e_0,98,Fortune 500 HQ,134. UNION PACIFIC,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.93432911962354,41.25640193588691]}"
0000000000000000016f_0,97,Fortune 500 HQ,"133. International Paper, Poplar Avenue, Memphis, TN, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.84959012701967,35.10075966614807]}"
00000000000000000170_0,95,Fortune 500 HQ,132. CENTURYLINK,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.1194169541841,32.50943922129163]}"
00000000000000000171_0,94,Fortune 500 HQ,131. SOUTHERN,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.38810588196073,33.749027167057044]}"
00000000000000000172_0,91,Fortune 500 HQ,130. PACCAR,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.19992710599527,47.61701557106546]}"
00000000000000000173_0,80,Fortune 500 HQ,129. AMGEN,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.83754496433731,34.17049546261316]}"
00000000000000000174_0,95,Fortune 500 HQ,128. Cummins,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.15188440729474,39.76815526597924]}"
00000000000000000175_0,94,Fortune 500 HQ,"127. Halliburton, North Sam Houston Parkway East, Houston, TX, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.34031175532384,29.93776727232008]}"
00000000000000000176_0,99,Fortune 500 HQ,"126. Duke Energy, South Tryon Street, Charlotte, NC, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.84871491259491,35.223973422606456]}"
00000000000000000177_0,53,Fortune 500 HQ,125. US Foods Holdings,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.87226620829489,41.98674196334532]}"
00000000000000000178_0,61,Fortune 500 HQ,"124. Thermo Fisher Scientific, 3rd Avenue, Waltham, MA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.2616953661414,42.39295422122601]}"
00000000000000000179_0,97,Fortune 500 HQ,"123. Eli Lilly and Company Corporate Center, Delaware Street, Indianapolis, IN, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.153214184154,39.7558786196346]}"
0000000000000000017a_0,53,Fortune 500 HQ,"122. DXC Technology, Tysons Boulevard, Tysons, VA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.22152202619931,38.92337244622721]}"
0000000000000000017b_0,98,Fortune 500 HQ,"121. Starbucks, Pike Place, Seattle, WA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.3424175664756,47.60992032433541]}"
0000000000000000017c_0,85,Fortune 500 HQ,120. NUCOR,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.8430531752072,35.22704032572217]}"
0000000000000000017d_0,77,Fortune 500 HQ,"119. Dollar General Corporate Headquarters, Mission Ridge, Goodlettsville, TN, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.69909138443664,36.30892912795509]}"
0000000000000000017e_0,92,Fortune 500 HQ,118. MACY'S,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.51197551195511,39.103222806115554]}"
0000000000000000017f_0,99,Fortune 500 HQ,117. U.S. BANCORP,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.26505021696477,44.97780033436692]}"
00000000000000000180_0,49,Fortune 500 HQ,116. Mondelez International,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.84449659296124,42.17100638632097]}"
00000000000000000181_0,82,Fortune 500 HQ,"115. Kraft Heinz Innovation Center, Ericsson Drive, Warrendale, PA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.10037171144816,40.65934286514901]}"
00000000000000000182_0,78,Fortune 500 HQ,"114. Raytheon Company, Apple Hill Drive, Tewksbury, MA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.24493736439035,42.63797863822505]}"
00000000000000000183_0,56,Fortune 500 HQ,"113. PBF Energy, Sylvan Way, Parsippany, NJ, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.45488045928965,40.847393926058615]}"
00000000000000000184_0,100,Fortune 500 HQ,"112. INTL FCStone, 5th Avenue, New York, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.98002555483522,40.75526198328544]}"
00000000000000000185_0,98,Fortune 500 HQ,"111. Northwestern Mutual, East Mason Street, Milwaukee, WI, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.90104788743014,43.040879178760946]}"
00000000000000000186_0,98,Fortune 500 HQ,"110. Philip Morris International Inc, Park Avenue, New York, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9781410104868,40.751902054645925]}"
00000000000000000187_0,89,Fortune 500 HQ,"109. Arrow Electronics, East Dry Creek Road, Centennial, CO, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-104.8822275442325,39.58153031194992]}"
00000000000000000188_0,78,Fortune 500 HQ,"108. Northrop Grumman, Fairview Park Drive, Falls Church, VA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.21482926296699,38.86720504170515]}"
00000000000000000189_0,82,Fortune 500 HQ,"107. Rite Aid, Market Street, Camp Hill, PA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.93536071856644,40.24010788474745]}"
0000000000000000018a_0,93,Fortune 500 HQ,"106. TRAVELERS  New York, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.41560684097254,40.77364233120547]}"
0000000000000000018b_0,78,Fortune 500 HQ,105. Micron Technology,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.20213792598022,43.61506664988828]}"
0000000000000000018c_0,99,Fortune 500 HQ,104. Twenty-First Century Fox,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00593548172348,40.71277003537379]}"
0000000000000000018d_0,72,Fortune 500 HQ,103. Abbott Laboratories,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.89429813411485,42.30095379992218]}"
0000000000000000018e_0,49,Fortune 500 HQ,102. Hewlett Packard Enterprise,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.14286918821175,37.44189174810473]}"
0000000000000000018f_0,79,Fortune 500 HQ,101. USAA,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.49351847740324,29.424162841100113]}"
00000000000000000190_0,94,Fortune 500 HQ,100. Coca-Cola,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.38810588196073,33.749027167057044]}"
00000000000000000191_0,46,Fortune 500 HQ,99. Progressive,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.4394745211371,41.551937973942884]}"
00000000000000000192_0,88,Fortune 500 HQ,98. Capital One Financial,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.17712595739924,38.933750988057085]}"
00000000000000000193_0,89,Fortune 500 HQ,97. CHS,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.042904172539,44.847963249189704]}"
00000000000000000194_0,61,Fortune 500 HQ,96. ABBVIE,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.84104105381495,42.325612368089395]}"
00000000000000000195_0,60,Fortune 500 HQ,95. 3M,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.09006161704228,44.953623467356735]}"
00000000000000000196_0,89,Fortune 500 HQ,94. Plains GP holdings,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.36965665356581,29.760533237441532]}"
00000000000000000197_0,96,Fortune 500 HQ,93. Exelon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.6298578670572,41.87807905701323]}"
00000000000000000198_0,89,Fortune 500 HQ,92. General Dynamics,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.17100957501718,38.882305676913994]}"
00000000000000000199_0,61,Fortune 500 HQ,91. Publix Super Markets,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.94994535976001,28.039381545153805]}"
0000000000000000019a_0,97,Fortune 500 HQ,90. NIKE,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.80126320651077,45.488926844736184]}"
0000000000000000019b_0,89,Fortune 500 HQ,89. Enterprise Products Partners,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.36965665356581,29.760533237441532]}"
0000000000000000019c_0,90,Fortune 500 HQ,88. Tech Data,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.80014907884683,27.965734174479856]}"
0000000000000000019d_0,62,Fortune 500 HQ,87. DEERE,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.51528477274921,41.50675237534022]}"
0000000000000000019e_0,89,Fortune 500 HQ,86. ConocoPhillips,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.36965665356581,29.760533237441532]}"
0000000000000000019f_0,94,Fortune 500 HQ,85. TJX,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.41629493111236,42.27921349981182]}"
000000000000000001a0_0,96,Fortune 500 HQ,84. Massachusetts Mutual Life Insurance,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.58980282178253,42.10157043098508]}"
000000000000000001a1_0,94,Fortune 500 HQ,83. World Fuel Services,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.19179127843103,25.761606507002636]}"
000000000000000001a2_0,72,Fortune 500 HQ,82. ALLSTATE,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.82906063413009,42.12749288367702]}"
000000000000000001a3_0,5,Fortune 500 HQ,81. Oracle,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.23645749837013,37.48518554301873]}"
000000000000000001a4_0,95,Fortune 500 HQ,80. Tyson Foods,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.12890087652606,36.186810058249655]}"
000000000000000001a5_0,99,Fortune 500 HQ,78. TIAA,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00593548172348,40.71277003537379]}"
000000000000000001a6_0,96,Fortune 500 HQ,78. United Continental Holdings,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.6298578670572,41.87807905701323]}"
000000000000000001a7_0,2,Fortune 500 HQ,77. Honeywell International,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.48192737659285,40.839678974413125]}"
000000000000000001a8_0,70,Fortune 500 HQ,"76. Merck Kenilworth, NJ, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.29079972401357,40.67655772158888]}"
000000000000000001a9_0,92,Fortune 500 HQ,Liberty Mutual Insurance Group,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.05885435876293,42.36019033125239]}"
000000000000000001aa_0,77,Fortune 500 HQ,74. Best Buy,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.28296863792295,44.88324337618988]}"
000000000000000001ab_0,96,Fortune 500 HQ,73. Nationwide,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.99869974090876,39.96109377176067]}"
000000000000000001ac_0,99,Fortune 500 HQ,72. American Express,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00593548172348,40.71277003537379]}"
000000000000000001ad_0,99,Fortune 500 HQ,71. New York Life Insurance,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00593548172348,40.71277003537379]}"
000000000000000001ae_0,75,Fortune 500 HQ,70. Charter Communications,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.53887696089762,41.0535471502866]}"
000000000000000001af_0,94,Fortune 500 HQ,69. Delta Air Lines,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.38810588196073,33.749027167057044]}"
000000000000000001b0_0,100,Fortune 500 HQ,68. American Airlines Group,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.33071279799822,32.75549705372934]}"
000000000000000001b1_0,80,Fortune 500 HQ,67. HCA Healthcare,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.78170383789376,36.16275317290775]}"
000000000000000001b2_0,99,Fortune 500 HQ,66. AIG,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00593548172348,40.71277003537379]}"
000000000000000001b3_0,45,Fortune 500 HQ,65. Cigna,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.73014841021924,41.82637613239937]}"
000000000000000001b4_0,87,Fortune 500 HQ,64. CISCO Systems,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.88640354421072,37.33808980277822]}"
000000000000000001b5_0,98,Fortune 500 HQ,63. Morgan Stanley,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.98549953435442,40.76008057143154]}"
000000000000000001b6_0,99,Fortune 500 HQ,62. Goldman Sachs Group,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00593548172348,40.71277003537379]}"
000000000000000001b7_0,99,Fortune 500 HQ,61. Pfizer,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00593548172348,40.71277003537379]}"
000000000000000001b8_0,83,Fortune 500 HQ,60. Lockheed Martin,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.09460831366219,38.98465112556803]}"
000000000000000001b9_0,69,Fortune 500 HQ,59. Energy Transfer,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.79694846907476,32.77662163148151]}"
000000000000000001ba_0,49,Fortune 500 HQ,58. Caterpillar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.84449659296124,42.17100638632097]}"
000000000000000001bb_0,82,Fortune 500 HQ,57. Facebook,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.18176205903774,37.45305108964254]}"
000000000000000001bc_0,94,Fortune 500 HQ,56. Humana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.75847770091296,38.25280175026821]}"
000000000000000001bd_0,49,Fortune 500 HQ,55. HP,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.14286918821175,37.44189174810473]}"
000000000000000001be_0,89,Fortune 500 HQ,54. SYSCO,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.36965665356581,29.760533237441532]}"
000000000000000001bf_0,78,Fortune 500 HQ,52. Albertsons,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.20213792598022,43.61506664988828]}"
000000000000000001c0_0,95,Fortune 500 HQ,51. Centene,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.19932274652538,38.627041900406866]}"
000000000000000001c1_0,92,Fortune 500 HQ,50. Prudential Financial,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.17120827934596,40.73353386942115]}"
000000000000000001c2_0,96,Fortune 500 HQ,48. Archer Daniels Midland,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.6298578670572,41.87807905701323]}"
000000000000000001c3_0,99,Fortune 500 HQ,48. Pepsico,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00593548172348,40.71277003537379]}"
000000000000000001c4_0,81,Fortune 500 HQ,47. Fedex,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.04899181639523,35.14944253498343]}"
000000000000000001c5_0,83,Fortune 500 HQ,46. United Technologies,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.7951610338856,41.736094287287216]}"
000000000000000001c6_0,92,Fortune 500 HQ,45. Procter and Gamble,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.51197551195511,39.103222806115554]}"
000000000000000001c7_0,99,Fortune 500 HQ,44. MetLife,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00593548172348,40.71277003537379]}"
000000000000000001c8_0,40,Fortune 500 HQ,43. INTEL,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.9553216172563,37.35412758573032]}"
000000000000000001c9_0,81,Fortune 500 HQ,41. Lowes,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.80797319507556,35.586009398698145]}"
000000000000000001ca_0,94,Fortune 500 HQ,41. United Parcel Service,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.38810588196073,33.749027167057044]}"
000000000000000001cb_0,88,Fortune 500 HQ,40. Freddie Mac,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.17712595739924,38.933750988057085]}"
000000000000000001cc_0,100,Fortune 500 HQ,39. Target,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.27430723245078,44.97502203456361]}"
000000000000000001cd_0,100,Fortune 500 HQ,38. IBM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.71608943877625,41.113569222286]}"
000000000000000001ce_0,11,Fortune 500 HQ,37. Johnson And Johnson,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.4420762932255,40.49936870502875]}"
000000000000000001cf_0,94,Fortune 500 HQ,36. State Farm Insurance,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.95500228847807,40.47729035241763]}"
000000000000000001d0_0,11,Fortune 500 HQ,35. DuPont De Nemours,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.56717710007165,39.78282293864677]}"
000000000000000001d1_0,62,Fortune 500 HQ,34. Dell Technologies,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.67054066691962,30.48831766448846]}"
000000000000000001d2_0,100,Fortune 500 HQ,33. Anthem,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.15306250853506,39.76474898265606]}"
000000000000000001d3_0,77,Fortune 500 HQ,32. Comcast,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.16835452978569,39.95506315827716]}"
000000000000000001d4_0,100,Fortune 500 HQ,31. Marathon Petrolium,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.65001650629,41.044333138588364]}"
000000000000000001d5_0,99,Fortune 500 HQ,30. Citigroup,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00593548172348,40.71277003537379]}"
000000000000000001d6_0,90,Fortune 500 HQ,29. Wells Fargo,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.4195035285299,37.77491952206471]}"
000000000000000001d7_0,96,Fortune 500 HQ,28. Boeing,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.6298578670572,41.87807905701323]}"
000000000000000001d8_0,94,Fortune 500 HQ,27. Home Depot,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.38810588196073,33.749027167057044]}"
000000000000000001d9_0,89,Fortune 500 HQ,26. Microsoft,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.12162415198969,47.67395416471126]}"
000000000000000001da_0,85,Fortune 500 HQ,25. Bank of America,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.8430531752072,35.22704032572217]}"
000000000000000001db_0,79,Fortune 500 HQ,24. Valero Technology,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.49351847740324,29.424162841100113]}"
000000000000000001dc_0,89,Fortune 500 HQ,23. Phillips,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.36965665356581,29.760533237441532]}"
000000000000000001dd_0,61,Fortune 500 HQ,22. Fannie Mae,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.03696390265894,38.90719625935411]}"
000000000000000001de_0,92,Fortune 500 HQ,21. General Electric,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.05885435876293,42.36019033125239]}"
000000000000000001df_0,92,Fortune 500 HQ,20. Kroger,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.51197551195511,39.103222806115554]}"
000000000000000001e0_0,99,Fortune 500 HQ,19. Verizon Communication,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00593548172348,40.71277003537379]}"
000000000000000001e1_0,99,Fortune 500 HQ,18. JP Morgan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00593548172348,40.71277003537379]}"
000000000000000001e2_0,49,Fortune 500 HQ,17. Walgreens Boots Alliance,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.84449659296124,42.17100638632097]}"
000000000000000001e3_0,81,Fortune 500 HQ,Cardinal Health,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.11395139061175,40.09922623894478]}"
000000000000000001e4_0,70,Fortune 500 HQ,15. Alphabet,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.08394454389611,37.385910819808984]}"
000000000000000001e5_0,57,Fortune 500 HQ,14. Costco Wholesale,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.03246800494085,47.53001562939711]}"
000000000000000001e6_0,87,Fortune 500 HQ,13. General Motors,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.04592160934433,42.33138025414474]}"
000000000000000001e7_0,96,Fortune 500 HQ,2. Exxon Mobil,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.94879998460573,32.81391157993372]}"
000000000000000001e8_0,96,Fortune 500 HQ,7. McKesson,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.94879998460573,32.81391157993372]}"
000000000000000001e9_0,100,Fortune 500 HQ,13. Ford Motor,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.17631401303319,42.32220617783669]}"
000000000000000001ea_0,81,Fortune 500 HQ,11. Chevron,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.97789923295971,37.780085473206725]}"
000000000000000001eb_0,83,Fortune 500 HQ,"10. Amerisource Bergen Drug Corporation Chesterbrook, PA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.46849097157299,40.06852332446034]}"
000000000000000001ec_0,75,Fortune 500 HQ,9. AT&T,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.76917186605007,32.86877470274104]}"
000000000000000001ed_0,80,Fortune 500 HQ,8. CVS Health,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.4888733935348,41.991442252214966]}"
000000000000000001ee_0,28,Fortune 500 HQ,6. UnitedHealth Group,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.46873588627494,44.92112240574756]}"
000000000000000001ef_0,81,Fortune 500 HQ,5. Amazon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.33224422346358,47.606255301033265]}"
000000000000000001f0_0,98,Fortune 500 HQ,3. Berkshire Hathaway INC.,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.93432911962354,41.25640193588691]}"
000000000000000001f1_0,88,Fortune 500 HQ,3. Apple,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.03223622378579,37.32304845773909]}"
000000000000000001f2_0,88,Fortune 500 HQ,1. Walmart,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.20866493437555,36.372879901919866]}"
000000000000000001f3_0,68,Power Plant,Tower,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.29501417799227,45.36290599919349]}"
000000000000000001f4_0,62,Power Plant,Caro,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.3277903872241,43.46583155584281]}"
000000000000000001f5_0,44,Power Plant,Ubly,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.9389307071465,43.721761052269564]}"
000000000000000001f6_0,60,Power Plant,George Johnson,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.425929688666,43.83920441338587]}"
