system:index,avg_rad,institution_type,name,.geo
00000000000000000020_0,82.471664,Fortune 500 HQ,"389. Berry Global, Oakley Street, Evansville, IN, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.57451126060185,37.97852442436307]}"
00000000000000000021_0,122.839165,Fortune 500 HQ,361. Fidelity National Information Services,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.65461353825421,30.333861356505942]}"
00000000000000000022_0,33.48,Fortune 500 HQ,"388. Tractor Supply Company  Brentwood, TN, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.81094326910026,36.03367183424431]}"
00000000000000000023_0,12.403334,Fortune 500 HQ,"387. Zimmer Biomet Warsaw, IN, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.88567852645716,41.239408905716935]}"
00000000000000000024_0,258.18832,Fortune 500 HQ,"386. Conagra Brands, Chicago, IL, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.62841017764903,41.8772127574418]}"
00000000000000000025_0,445.77417,Fortune 500 HQ,"385. Foot Locker, Broadway, New York, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.98749258829409,40.75431865229239]}"
00000000000000000026_0,28.92,Fortune 500 HQ,359. Dick’s Sporting Goods,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.1679017430364,40.51626510200072]}"
00000000000000000027_0,31.339167,Fortune 500 HQ,"384. Fifth Third Bank, OH, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.41244146050114,39.16879217582144]}"
00000000000000000028_0,39.943333,Fortune 500 HQ,"358. Eversource, Station Drive, Westwood, MA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.1577994433176,42.20509783614542]}"
00000000000000000029_0,206.5175,Fortune 500 HQ,"383. Cheniere Energy Inc, Milam Street, Houston, TX, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.36739635033871,29.75893957466945]}"
0000000000000000002a_0,16.910833,Fortune 500 HQ,"357. National Oilwell Varco, Cypress Creek Road, Cedar Park, TX, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.82878022882619,30.49106653122686]}"
0000000000000000002b_0,53.696667,Fortune 500 HQ,"382. Auto-Owners Insurance, Anacapri Drive, Lansing, MI, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.63702028153102,42.721629124514145]}"
0000000000000000002c_0,138.4625,Fortune 500 HQ,"381. Erie Insurance Arena, French Street, Erie, PA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.08256179104505,42.12874103699526]}"
0000000000000000002d_0,33.183334,Fortune 500 HQ,356. Jones Financial (Edward Jones),"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.43115386410193,38.60285354682614]}"
0000000000000000002e_0,32.371666,Fortune 500 HQ,"380. Liberty Media Corporation, Liberty Boulevard, Englewood, CO, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-104.84462259779966,39.55506774799283]}"
