name,institution_type,avg_rad,no2
345. Hilton Worldwide Holdings,Fortune 500 HQ,53.748333,4.0154185224026575e-5
"492. Harley-Davidson Museum, West Canal Street, Milwaukee, WI, USA",Fortune 500 HQ,158.85583,4.370542177808618e-5
"491. First American Financial, Santa Ana, CA, USA",Fortune 500 HQ,100.77416,3.7881847657575816e-5
344. Air Products & Chemicals,Fortune 500 HQ,170.23334,2.859381521694772e-5
"489. TreeHouse Foods, Inc., Spring Road, Oak Brook, IL, USA",Fortune 500 HQ,122.638336,9.048128670142542e-5
"488. Fiserv, Inc., Fiserv Drive, Brookfield, WI, USA",Fortune 500 HQ,63.755,4.691392164420213e-5
"487. Zoetis Inc., Sylvan Way, Parsippany, New Jersey, USA",Fortune 500 HQ,21.9925,3.62539338911917e-5
342. Brighthouse Financial,Fortune 500 HQ,287.16168,4.557654940388463e-5
"486. Ingredion, Westchester, IL, USA",Fortune 500 HQ,42.225834,9.418021090129814e-5
"485. ON Semiconductor, Phoenix, AZ, USA",Fortune 500 HQ,45.6925,7.255152710893024e-5
NA,Fortune 500 HQ,158.49083,1.1137873414493032e-4
"484. Tapestry, New York, NY, USA",Fortune 500 HQ,158.49083,1.1137873414493032e-4
340. Peter Kiewit Sons’,Fortune 500 HQ,237.52417,5.6017896557348994e-5
"483. NetApp, Sunnyvale, CA, USA",Fortune 500 HQ,45.939167,3.5305117584616104e-5
"482. Intuit, Mountain View, CA, USA",Fortune 500 HQ,38.165,3.600428346115342e-5
"481. Old Republic International Corporation, Michigan Avenue, Chicago, IL, USA",Fortune 500 HQ,283.28918,6.90932632450495e-5
"480. Graphic Packaging International, Atlanta, GA, USA",Fortune 500 HQ,90.98917,2.6829881793878736e-5
"338. AVIS, Parsippany, NJ, USA",Fortune 500 HQ,31.4375,3.62539338911917e-5
"337. Vistra/TXU Energy Corporate Office, Sierra Drive, Irving, TX, USA",Fortune 500 HQ,94.99084,5.243418964653262e-5
"479. Hd Supply Holdings Inc,  Atlanta, GA, USA",Fortune 500 HQ,57.121666,2.9862383359032913e-5
"478. Realogy Holdings Corp., Park Avenue, Madison, NJ, USA",Fortune 500 HQ,27.9025,5.5045681454576455e-5
"477. Clorox Co, Broadway, Oakland, CA, USA",Fortune 500 HQ,113.083336,4.6307063968140927e-5
"476. Polaris Industries Inc, Highway 55, Medina, MN, USA",Fortune 500 HQ,12.74,3.225112318137297e-5
"475. Booz Allen Hamilton Inc, , McLean, VA, USA",Fortune 500 HQ,160.11166,3.825812524956197e-5
"474. L3Harris Technologies: Communication Systems-West, 2200 West, Salt Lake City, UT, USA",Fortune 500 HQ,74.214165,4.0977493704566606e-5
"473. Ralph Lauren New York, NY, USA",Fortune 500 HQ,52.7075,1.0035571628393234e-4
"472. Analog Devices, Technology Way, Norwood, MA, USA",Fortune 500 HQ,47.439167,3.71686401709126e-5
"471. Post Holdings Inc, South Hanley Road, St. Louis, MO, USA",Fortune 500 HQ,50.735832,4.717377712455083e-5
"470. S and P Global, New York, NY, USA",Fortune 500 HQ,328.6025,1.0035571628393234e-4
"469. Intercontinental Exchange, New Northside Drive, Atlanta, GA, USA",Fortune 500 HQ,38.611668,3.387357874443377e-5
"478. Ameren Corporation,  St. Louis, MO, USA",Fortune 500 HQ,102.278336,5.4413799194717365e-5
"467. Franklin Templeton Investments, San Mateo, CA, USA",Fortune 500 HQ,90.85084,3.9108585779668945e-5
"166. iHeartMedia San Antonio, San Antonio, TX, USA",Fortune 500 HQ,59.7125,3.2523850170244236e-5
"465. NCR Global, Atlanta, GA, USA",Fortune 500 HQ,139.6825,4.057276822228654e-5
"464. Beacon Roofing Supply Inc, Huntmar Park Drive, Herndon, VA, USA",Fortune 500 HQ,34.926666,3.329498024238125e-5
"463. ABM Industries, New York, NY, USA",Fortune 500 HQ,158.49083,1.1137873414493032e-4
"336. Mutual of Omaha® Insurance Co., Dodge Street, Omaha, NE, USA",Fortune 500 HQ,99.89917,5.436600904057143e-5
"462. M&T Bank Buffalo, NY, USA",Fortune 500 HQ,19.305,2.7098321552933206e-5
"461. HESS New York, NY, USA",Fortune 500 HQ,158.49083,1.1137873414493032e-4
"460. Advanced Micro Devices, Augustine Drive, Santa Clara, CA, USA",Fortune 500 HQ,100.415,4.416408532822157e-5
335. AGCO,Fortune 500 HQ,40.078335,3.113620646983103e-5
"459. Cintas Center, Herald Avenue, Cincinnati, OH, USA",Fortune 500 HQ,85.59917,4.7735474734616414e-5
"458. Dillard's, Little Rock AR, USA",Fortune 500 HQ,77.315834,2.999409869985406e-5
334. COTY,Fortune 500 HQ,158.49083,1.1137873414493032e-4
"457. Ascena Retail Group Inc (ASNA),Mahwah, NJ, USA",Fortune 500 HQ,29.381666,3.66171452168494e-5
"333. Pioneer Natural Resources Company, North O'Connor Boulevard, Irving, TX, USA",Fortune 500 HQ,139.83667,5.349335236583694e-5
"456. Marathon Oil, Houston, TX, USA",Fortune 500 HQ,64.23417,4.044040016268735e-5
332. First Data,Fortune 500 HQ,158.49083,1.1137873414493032e-4
"455. Seaboard Corporation Shawnee Mission, KS, USA",Fortune 500 HQ,75.32667,4.2303930137863254e-5
331. Hertz Global Holdings,Fortune 500 HQ,20.048334,2.2673004702954448e-5
"454. Chemours, Wilmington, DE, USA",Fortune 500 HQ,122.8375,4.634085701209006e-5
"453. Northern Trust, Chicago, IL, USA",Fortune 500 HQ,235.68083,6.90932632450495e-5
330. Calpine,Fortune 500 HQ,153.30667,4.62703000555975e-5
"452. Rockwell Automation, Inc., Milwaukee, WI, USA",Fortune 500 HQ,118.38416,4.370542177808618e-5
"329. O'Reilly Auto Parts Distribution Center, West Broadway Avenue, Minneapolis, MN, USA",Fortune 500 HQ,36.921665,4.43088392531404e-5
"45. Burlington Stores, Burlington, NJ, USA",Fortune 500 HQ,34.7375,6.028009771726028e-5
328. Hormel Foods,Fortune 500 HQ,55.845,3.000963036752014e-5
327. Altice USA,Fortune 500 HQ,36.680832,5.646127787946448e-5
"450. Regeneron Pharmaceuticals, Inc., Tarrytown, NY, USA",Fortune 500 HQ,35.775,5.2253165647871866e-5
"449. Ulta Beauty, Bolingbrook, IL, USA",Fortune 500 HQ,62.2825,9.086255500555166e-5
326. Advance Auto Parts,Fortune 500 HQ,145.16916,3.104646648507901e-5
"448. Wynn Resorts,  Las Vegas, NV, USA",Fortune 500 HQ,1564.0684,5.827448871041007e-5
"447. Regions Financial, Birmingham, AL, USA",Fortune 500 HQ,193.50417,3.8236562706976986e-5
325. Mosaic,Fortune 500 HQ,64.89833,3.8892560307322e-5
"446. Wayfair, Boston, MA, USA",Fortune 500 HQ,122.9975,7.673807305835998e-5
"445. RR Donnelley and Sons, Chicago, IL, USA",Fortune 500 HQ,258.18832,7.601491201048877e-5
324. PVH,Fortune 500 HQ,158.49083,1.1137873414493032e-4
"444. Hanesbrands, Winston-Salem, NC, USA",Fortune 500 HQ,61.828335,3.236735716511033e-5
"323. Public Service Enterprise Group, Park Place, Newark, NJ, USA",Fortune 500 HQ,227.23834,1.253653967105048e-4
"443. AK Steel Holding, West Chester, OH, USA",Fortune 500 HQ,0.88666666,2.814129489642285e-5
"322. Interpublic Group of Companies, Third Avenue, New York, NY, USA",Fortune 500 HQ,180.29916,1.0035571628393234e-4
"442, Blackstone Group LP New York, NY, USA",Fortune 500 HQ,248.32083,1.0035571628393234e-4
"441. Markel Corporation, Glen Allen, VA, USA",Fortune 500 HQ,33.4975,2.694764879726041e-5
"321. Autoliv Americas, Pacific Drive, Auburn Hills, MI, USA",Fortune 500 HQ,40.19,3.4181995896178116e-5
"440. CMS Energy, Jackson, MI, USA",Fortune 500 HQ,79.705,3.0119986107489607e-5
"439. Asbury Automotive Group, Premiere Duluth, GA, USA",Fortune 500 HQ,37.815834,3.364285523840695e-5
"320. DCP Midstream Partners LP, 17th Street, Denver, CO, USA",Fortune 500 HQ,224.365,5.6791397915338495e-5
"438. Owens-Illinois, Perrysburg, OH, USA",Fortune 500 HQ,33.76,4.2176940192355547e-5
"437. Alleghany Corporation, Broadway, New York, NY, USA",Fortune 500 HQ,445.77417,1.0035571628393234e-4
"319. Boston Scientific Corporation, Boston Scientific Way, Marlborough, MA, USA",Fortune 500 HQ,9.255834,3.8005839078673045e-5
"436. MasTec Network Solutions,  Gables, FL, USA",Fortune 500 HQ,108.705,3.610716364898067e-5
318. Xerox,Fortune 500 HQ,39.89417,5.037657098739503e-5
"435. Arthur Gallagher Rolling Meadows, IL, USA",Fortune 500 HQ,81.16917,8.041145309899753e-5
"434. Olin Corporation,Clayton, MO, USA",Fortune 500 HQ,106.41917,4.717377712455083e-5
317. Owens & Minor,Fortune 500 HQ,11.256667,2.715267410409276e-5
"433. Travelcenters of America, Westlake, Ohio, USA",Fortune 500 HQ,22.834167,2.638127842920371e-5
"316. Sonic Automotive, Colwick Road, Charlotte, NC, USA",Fortune 500 HQ,47.976665,3.625075992940776e-5
"432. Packaging Corp of America, Lake Forest, IL, USA",Fortune 500 HQ,15.165833,4.77512621625708e-5
315. Mohawk Industries,Fortune 500 HQ,30.340834,2.6367252863825565e-5
"431. Owens Corning, Toledo, OH, USA",Fortune 500 HQ,179.25,4.46154823383406e-5
314. Republic Services,Fortune 500 HQ,164.51666,5.928028163179122e-5
"430. Insight Enterprises, Inc., Tempe, AZ, USA",Fortune 500 HQ,111.01583,3.825031959111018e-5
"429. Sanmina Corporation, San Jose, CA, USA",Fortune 500 HQ,55.115833,4.416408532822157e-5
"428. Toll Brothers, Horsham, PA, USA",Fortune 500 HQ,19.421667,3.9281851357117466e-5
313. Eastman Chemical,Fortune 500 HQ,92.42917,2.1006878309715e-5
"427. American Financial Group, Cincinnati, OH, USA",Fortune 500 HQ,244.75166,4.4671309054528835e-5
312. PulteGroup,Fortune 500 HQ,153.62416,3.820390786572428e-5
"426. Celanese Corporation,  Irving, TX, USA",Fortune 500 HQ,100.48167,5.349335236583694e-5
"425. Avery Dennison, Glendale, CA, USA",Fortune 500 HQ,94.87,1.0546066063994422e-4
311. Leidos Holdings,Fortune 500 HQ,173.55084,2.7033178018008222e-5
"424. NVR Inc, Reston, VA, USA",Fortune 500 HQ,44.104164,3.329498024238125e-5
"423. Graybar Electric Supply, St. Louis, MO, USA",Fortune 500 HQ,37.291668,4.495613702345313e-5
"422. Everett, WA, USA",Fortune 500 HQ,80.308334,4.414802157374611e-5
"421. Western & Southern Financial Group Findlay, OH, USA",Fortune 500 HQ,19.268333,3.211821272954654e-5
"420. Spirit Aerosystems Holdings, Wichita, KS, USA",Fortune 500 HQ,131.65334,2.9035851185015943e-5
"419. Newmont Goldcorp, Greenwood Village, CO, USA",Fortune 500 HQ,9.583333,3.891091069580857e-5
"418. American Axle and Manufacturing, Detroit, MI, USA",Fortune 500 HQ,339.56,4.675792482485668e-5
"417. Magellan Health, Scottsdale, AZ, USA",Fortune 500 HQ,54.4775,5.907683353465566e-5
"416. Motorola Solutions Inc, Chicago, IL, USA",Fortune 500 HQ,204.81084,6.90932632450495e-5
"415. Citizens Financial Group, Providence, RI, USA",Fortune 500 HQ,93.72583,4.231430295277256e-5
"414. J M Smucker Co Store & Cafe,  Orville, OH, USA",Fortune 500 HQ,4.556667,3.094794070815654e-5
"413. Keycorp, Cleveland, OH, USA",Fortune 500 HQ,72.75167,2.8682844572721517e-5
"412. Dover Corporation, IL, USA",Fortune 500 HQ,104.22583,8.688017312891784e-5
"411. Apache Corp, Houston, TX, USA",Fortune 500 HQ,149.23999,4.044040016268735e-5
"410. American Tower Corporation, Boston, MA, USA",Fortune 500 HQ,136.77417,7.673807305835998e-5
"409. Keurig Dr Pepper, Inc., Burlington, MA, USA",Fortune 500 HQ,51.905834,4.182142707077895e-5
"408. Casey's General Stores Inc, IA, USA",Fortune 500 HQ,83.525,3.2588256666099785e-5
"407. Raymond James Financial, St. Petersburg, FL, USA",Fortune 500 HQ,73.6775,2.938513421687648e-5
"406. Weyerhaeuser Company Seattle, WA, USA",Fortune 500 HQ,184.98334,6.702698886189212e-5
"405. Activision Blizzard, Santa Monica, CA, USA",Fortune 500 HQ,41.383335,6.487029927552887e-5
"404. Quest Diagnostics Corporate, Secaucus, NJ, USA",Fortune 500 HQ,114.96916,1.041311030998537e-4
"403. Constellation Brands Inc, High Point Drive, Victor, NY, USA",Fortune 500 HQ,47.825832,2.4585524338437177e-5
"402. Fidelity National Financial, Inc.,, Riverside Avenue, Jacksonville, FL, USA",Fortune 500 HQ,209.01416,4.881456158626854e-5
"401. A-Mark Previous Metals El Segundo, CA, USA",Fortune 500 HQ,58.99917,7.560481997789541e-5
"400. UGI Corporation, North Gulph Road, King of Prussia, PA, USA",Fortune 500 HQ,78.183334,3.61618853496632e-5
310. United Natural Foods,Fortune 500 HQ,181.8225,4.231430295277256e-5
309. Chesapeake Energy,Fortune 500 HQ,232.37,2.9666195539872207e-5
308. Navistar International,Fortune 500 HQ,35.368332,8.643935877611708e-5
307. Delek US Holdings,Fortune 500 HQ,66.61,3.2817936218050236e-5
306. American Family Insurance Group,Fortune 500 HQ,69.386665,3.513738336305747e-5
305. IQVIA Holdings,Fortune 500 HQ,108.99834,2.1905703741293485e-5
304. SunTrust Banks,Fortune 500 HQ,153.62416,3.820390786572428e-5
303. Ally Financial,Fortune 500 HQ,339.56,4.675792482485668e-5
302. Targa Resources,Fortune 500 HQ,153.30667,4.62703000555975e-5
"301. BorgWarner Propulsion Technical Center, Automation Avenue, Auburn Hills, MI, USA",Fortune 500 HQ,25.19,3.07430931107466e-5
"300. Silver Spring, MD, USA",Fortune 500 HQ,79.97083,4.025765574761655e-5
"299. CenterPoint Energy Plaza, Louisiana Street, Houston, TX, USA",Fortune 500 HQ,206.5175,4.62703000555975e-5
"298. Pacific Life Insurance Co, Newport Center Drive, Newport Beach, CA, USA",Fortune 500 HQ,57.253334,3.4686921581428845e-5
297. DEVON ENERGY,Fortune 500 HQ,232.37,2.9666195539872207e-5
296. AES,Fortune 500 HQ,80.00667,4.2878154768605895e-5
295. EBAY,Fortune 500 HQ,121.425835,4.5630690016335e-5
294. Molson Coors Brewing,Fortune 500 HQ,186.79333,4.577360717012564e-5
293. Universal Health Services,Fortune 500 HQ,11.110833,3.8014206732591995e-5
292. Live Nation Entertainment,Fortune 500 HQ,71.43,7.190146252973446e-5
291. NRG Energy,Fortune 500 HQ,10.309167,5.591013023542121e-5
"290. L3 Technologies, Third Avenue, New York, NY, USA",Fortune 500 HQ,151.89749,1.0035571628393234e-4
"289. Charles Schwab, Main Street, San Francisco, CA, USA",Fortune 500 HQ,97.67667,3.726038482694589e-5
288. Entergy,Fortune 500 HQ,407.725,3.852542997745758e-5
287. Lam Research,Fortune 500 HQ,45.97167,3.9869039595674335e-5
286. Baxter International,Fortune 500 HQ,30.488333,5.166900175112131e-5
285. Office Depot,Fortune 500 HQ,98.1225,2.8531522302995913e-5
284. Crown Holdings,Fortune 500 HQ,6.9183335,4.1540519113838414e-5
283. Quanta Service,Fortune 500 HQ,153.30667,4.62703000555975e-5
282. W.W. Grainger,Fortune 500 HQ,15.165833,4.77512621625708e-5
281. AutoZone,Fortune 500 HQ,132.50333,4.498879346366405e-5
280. Expedia Group,Fortune 500 HQ,43.650833,5.832052186646674e-5
279. Corning,Fortune 500 HQ,32.891666,1.9272584529567776e-5
278. Laboratory Corp. of America,Fortune 500 HQ,58.583332,2.2118535676440895e-5
277. Norfolk Southern,Fortune 500 HQ,185.28166,3.69190671388701e-5
"276. Huntsman LLC, Woodloch Forest Drive, The Woodlands, TX, USA",Fortune 500 HQ,84.55666,2.7443928039643473e-5
"275. Reliance Steel & Aluminum Co, South Grand Avenue, Los Angeles, CA, USA",Fortune 500 HQ,160.9825,1.1903557135087366e-4
"274. Xcel Energy, Nicollet Mall, Minneapolis, MN, USA",Fortune 500 HQ,278.10666,4.766322957067659e-5
273. Unum Group,Fortune 500 HQ,171.34334,2.6629142836246793e-5
"272. Group 1 Automotive, Gessner Road, Houston, TX, USA",Fortune 500 HQ,52.89417,3.9201244378385264e-5
271. BALL,Fortune 500 HQ,59.4425,4.160648244832889e-5
270. Farmers Insurance Exchange,Fortune 500 HQ,33.631668,3.325703199931959e-5
269. Sempra Energy,Fortune 500 HQ,125.04667,3.416204372177963e-5
268. Nvidia,Fortune 500 HQ,45.27833,4.416408532822157e-5
267. Tenneco,Fortune 500 HQ,15.165833,4.77512621625708e-5
"266. MGM Resorts International Career Center, Grier Drive, Las Vegas, NV, USA",Fortune 500 HQ,74.824165,4.7899856846536706e-5
265. Lithia Motors,Fortune 500 HQ,61.125835,2.448459111922232e-5
264. Steel Dynamics,Fortune 500 HQ,180.41833,3.985673886299814e-5
"263. FirstEnergy Corp., South Main Street, Akron, OH, USA",Fortune 500 HQ,105.825836,3.496787924516406e-5
262. LKQ,Fortune 500 HQ,258.18832,7.601491201048877e-5
261. J.C. Penney,Fortune 500 HQ,77.528336,3.684942580208026e-5
"260. CSX Corporation, Water Street, Jacksonville, FL, USA",Fortune 500 HQ,184.69583,4.881456158626854e-5
"259. Consolidated Edison Inc, East 16th Street, New York, NY, USA",Fortune 500 HQ,78.6575,1.1137873414493032e-4
"258. Bed Bath & Beyond, Broadway, New York, NY, USA",Fortune 500 HQ,157.10834,1.0035571628393234e-4
257. Murphy USA,Fortune 500 HQ,61.12417,1.649679917595742e-5
"256. ONEOK Field, North Elgin Avenue, Tulsa, OK, USA",Fortune 500 HQ,172.86833,3.92180980442378e-5
"255. Edison International, Walnut Grove Avenue, Rosemead, CA, USA",Fortune 500 HQ,64.0625,1.3405458911391522e-4
"254. Global Partners LP, South Street, Waltham, MA, USA",Fortune 500 HQ,6.79,4.068740087849906e-5
"253. Discover Financial Services, Lake Cook Road, Riverwoods, IL, USA",Fortune 500 HQ,30.807499,5.460133270721705e-5
252.VF,Fortune 500 HQ,113.3125,2.688560675791492e-5
"251. Reinsurance Group of America Inc., Swingley Ridge Road, Chesterfield, MO, USA",Fortune 500 HQ,45.115833,4.0821920028886816e-5
"250. Core-Mark Holding, South San Francisco, CA, USA",Fortune 500 HQ,74.8925,4.161738017532008e-5
"249. Ameriprise Financial -  Minneapolis, MN, USA",Fortune 500 HQ,265.12582,4.766322957067659e-5
"221. Viacom, Broadway, New York, NY, USA",Fortune 500 HQ,536.3417,1.0035571628393234e-4
"247. State Street Corporation, Boston, MA, USA",Fortune 500 HQ,197.2825,7.673807305835998e-5
"246. BB and T Corp Winston-Salem, NC, USA",Fortune 500 HQ,123.348335,2.97836224884941e-5
"245. BJ's Wholesale Club, Westborough, MA, USA",Fortune 500 HQ,16.433332,3.884486530140501e-5
"244. Guardian Life Ins. Co. of America, New York, NY, USA",Fortune 500 HQ,158.49083,1.1137873414493032e-4
"243. Newell Brands Hoboken, NJ, USA",Fortune 500 HQ,89.285835,1.1179366147879765e-4
"242. Henry Schein Inc, Melville, NY, USA",Fortune 500 HQ,38.665,5.9637985140385424e-5
"241. L Brands OH, USA",Fortune 500 HQ,31.444166,2.8635219148188152e-5
"240. Salesforce.com San Francisco, CA, USA",Fortune 500 HQ,110.76833,3.726038482694589e-5
"239. ADP Roseland, Adp Boulevard, Roseland, NJ, USA",Fortune 500 HQ,24.86,5.208580005598958e-5
"238. Dominion Energy Richmond, VA, USA",Fortune 500 HQ,173.55084,2.7033178018008222e-5
"237.  Anadarko,The Woodlands, Texas, USA",Fortune 500 HQ,100.183334,2.7443928039643473e-5
"236. Alcoa Corporation, Pittsburgh, PA, USA",Fortune 500 HQ,111.229164,3.774325011085493e-5
"235. Biogen, Cambridge, MA, USA",Fortune 500 HQ,86.4475,7.673807305835998e-5
"234. Kellogg, Battle Creek, MI, USA",Fortune 500 HQ,7.8225,2.919946610405929e-5
"233. Stryker, Kalamazoo, MI, USA",Fortune 500 HQ,31.3925,3.029671415498615e-5
"232. Dish Network Englewood, CO, USA",Fortune 500 HQ,43.0675,2.70097186385743e-5
"231. Estee Lauder New York, NY, USA",Fortune 500 HQ,179.645,1.0035571628393234e-4
"230. Las Vegas Sands Corp Las Vegas, NV, USA",Fortune 500 HQ,114.65083,4.7899856846536706e-5
"229. Textron, Inc.,  Providence, RI, USA",Fortune 500 HQ,146.29167,4.231430295277256e-5
"228. Stanley black & decker, CT, USA",Fortune 500 HQ,24.3925,3.7908818383091414e-5
"227. Arconic New York, NY, USA",Fortune 500 HQ,158.49083,1.1137873414493032e-4
"226. Loews Regency New York, Park Avenue, New York, NY, USA",Fortune 500 HQ,179.645,1.0035571628393234e-4
"225. Qurate Retail Englewood, CO, USA",Fortune 500 HQ,77.93584,3.891091069580857e-5
"224. Kinder Morgan,Houston, TX, USA",Fortune 500 HQ,206.5175,4.62703000555975e-5
"223. Community Health Systems Franklin, TN, USA",Fortune 500 HQ,46.731667,3.1741013420855024e-5
"222. United States Steel Pittsburgh, PA, USA",Fortune 500 HQ,178.48917,3.774325011085493e-5
"221. BlackRock New York, NY, USA",Fortune 500 HQ,248.32083,1.0035571628393234e-4
"220. DTE Energy, Detroit MI",Fortune 500 HQ,0.725,2.878607837371648e-5
"219. Principal Financial Group, High Street, Des Moines, IA, USA",Fortune 500 HQ,178.49417,3.123387062943597e-5
"218. Parker Hannifin Corp, Parkland Boulevard, Cleveland, OH, USA",Fortune 500 HQ,49.96,3.080143883525255e-5
