institution_type,n,mean_light,median_light,mean_no2,median_no2
Fortune 500 HQ,499,119.25228622276553,93.15833,5.1285763618738854e-5,4.416408532822157e-5
Power Plant,13497,15.72204290930875,3.1266668,2.893713970188388e-5,2.6006190029904096e-5
Sports Venue,1492,73.73024074711796,59.56625,3.4297223983399286e-5,3.101271789901124e-5
