system:index,institution_type,name,no2,.geo
00000000000000003698_0,Sports Venue,Augusta Civic Center,2.1382576853490423E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.76765654114264,44.36330030624257]}"
00000000000000003699_0,Sports Venue,Avenir Centre,2.1412143240226142E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.79997301996168,46.061116193228465]}"
0000000000000000369a_0,Sports Venue,Ball Arena,5.6791397915338495E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-104.98161567862788,39.772909204391816]}"
0000000000000000369b_0,Sports Venue,Bank of Springfield Center,3.262781234239798E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.63839062586645,39.772909204391816]}"
0000000000000000369c_0,Sports Venue,Bank OZK Arena,1.706118515052895E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.03402239983825,34.49081533376903]}"
0000000000000000369d_0,Sports Venue,Baptist Health Arena,2.56869534428436E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.2934146853553,37.76068296796409]}"
0000000000000000369e_0,Sports Venue,Barclays Center,1.0115828394869325E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9807552236632,40.65325818282894]}"
0000000000000000369f_0,Sports Venue,Barnhill Arena,2.2488415882519007E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.16589965782885,36.06286708097819]}"
000000000000000036a0_0,Sports Venue,Bartow Arena,3.360750227694898E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.80869748088996,33.48470221555516]}"
000000000000000036a1_0,Sports Venue,Baxter Arena,5.086320390688774E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.98947968459147,41.21919681182424]}"
000000000000000036a2_0,Sports Venue,Beasley Coliseum,1.562568895917598E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.18073723697098,46.7528189620005]}"
000000000000000036a3_0,Sports Venue,Beeghly Center,2.837625480890583E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.64625463183005,41.09343267204751]}"
000000000000000036a4_0,Sports Venue,Belgrade Special Events Center,1.3744761310656067E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.20694059757616,45.809587913674996]}"
000000000000000036a5_0,Sports Venue,Bell Centre,5.1415083928576554E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.54058073444463,45.49517756423317]}"
000000000000000036a6_0,Sports Venue,Bell Place,5.3965259765480376E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.72922694410973,45.558059634121534]}"
000000000000000036a7_0,Sports Venue,Belk Arena,3.853296572955174E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.83490084149514,35.49692845198289]}"
000000000000000036a8_0,Sports Venue,Benchmark International Arena,3.509078283441612E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.46983465859267,27.95108006537891]}"
000000000000000036a9_0,Sports Venue,Berglund Center,2.323359780582296E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-79.95455186305801,37.257626408857156]}"
000000000000000036aa_0,Sports Venue,Bernard G. Johnson Coliseum,9.981311044132196E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.54930519537291,30.71789114046704]}"
000000000000000036ab_0,Sports Venue,Berry Bowl,3.61781149698645E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.30564092178302,40.77902232260568]}"
000000000000000036ac_0,Sports Venue,Berry Center,2.686739412045027E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.67506933514963,29.900424231918272]}"
000000000000000036ad_0,Sports Venue,Berry Events Center,2.2774584286988566E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.37463610988526,46.564172752335395]}"
000000000000000036ae_0,Sports Venue,Bert Ogden Arena,2.1356674971427285E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.1903521306843,26.253264178393014]}"
000000000000000036af_0,Sports Venue,Bill Greehey Arena,3.494671392399836E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.56764455001449,29.460249742699705]}"
000000000000000036b0_0,Sports Venue,Bill Green Athletic Arena,3.298135900662528E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.67682022289937,40.527494043052215]}"
000000000000000036b1_0,Sports Venue,Bill Harris Arena,2.9454591747688776E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.87157955077832,33.48470221555516]}"
000000000000000036b2_0,Sports Venue,Bismarck Event Center,2.537284685416253E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-100.76851699610732,46.815701031888864]}"
000000000000000036b3_0,Sports Venue,Blue Arena,3.202725256527781E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-104.98161567862788,40.46461197316385]}"
000000000000000036b4_0,Sports Venue,Blue Cross Arena,2.3089246612474537E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.62791527718845,43.1685409783636]}"
000000000000000036b5_0,Sports Venue,BMO Center,3.811243851922413E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.07245199687115,42.288191999926475]}"
000000000000000036b6_0,Sports Venue,Boardwalk Hall,3.0126312857338166E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.42092971288176,39.332734715173245]}"
000000000000000036b7_0,Sports Venue,Boart Longyear Memorial Gardens,1.316817549923405E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-79.45149530395108,46.31264447278193]}"
000000000000000036b8_0,Sports Venue,Bob Carpenter Center,4.131132171562165E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.74145318053745,39.64714506461508]}"
000000000000000036b9_0,Sports Venue,Bob Devaney Sports Center,3.6195138655736654E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.6811824533635,40.841904392494044]}"
000000000000000036ba_0,Sports Venue,Bojangles' Coliseum,3.625075992940776E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.77201877160678,35.18251810254106]}"
000000000000000036bb_0,Sports Venue,BOK Center,4.087592789391936E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.98947968459147,36.125749150866554]}"
000000000000000036bc_0,Sports Venue,Bon Secours Wellness Arena,2.749317756174173E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.4069525887043,34.868107753099224]}"
000000000000000036bd_0,Sports Venue,Boonville High School Gym,3.239971521678278E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.24887197010852,38.075093317405916]}"
000000000000000036be_0,Sports Venue,Bramlage Coliseum,2.2740606716187333E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.61830038347513,39.20697057539652]}"
000000000000000036bf_0,Sports Venue,Brandt Centre,2.354696430854345E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-104.66720532918605,50.46286108541412]}"
000000000000000036c0_0,Sports Venue,Bren Events Center,3.7881847657575816E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.87244000574302,33.67334842522026]}"
000000000000000036c1_0,Sports Venue,Breslin Center,3.283171606860298E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.4820608950204,42.72836648914504]}"
000000000000000036c2_0,Sports Venue,Bridgestone Arena,3.9721055016417835E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.80869748088996,36.18863122075492]}"
000000000000000036c3_0,Sports Venue,Broadview Center,2.264018040525547E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.85499108388646,42.66548441925667]}"
000000000000000036c4_0,Sports Venue,Brooks Gym,1.9602723136820962E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.34407051881594,36.314395360531655]}"
000000000000000036c5_0,Sports Venue,Brookshire Grocery Arena,1.733795475268463E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.66284309872191,32.4785890973413]}"
000000000000000036c6_0,Sports Venue,Brownwood Coliseum,1.3376771670926555E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-99.00781903923306,31.7240042586809]}"
000000000000000036c7_0,Sports Venue,Bryce Jordan Center,1.7606829550924766E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.87944355674192,40.77902232260568]}"
000000000000000036c8_0,Sports Venue,Bud Walton Arena,2.2488415882519007E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.16589965782885,36.06286708097819]}"
000000000000000036c9_0,Sports Venue,Budweiser Gardens,3.451945066398223E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.2750753307137,42.97989476869851]}"
000000000000000036ca_0,Sports Venue,Buford City Arena,2.842844902268872E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.97900433591347,34.11352291443883]}"
000000000000000036cb_0,Sports Venue,Burns Arena,1.8207693425578873E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-113.59645925333409,37.13186226908042]}"
000000000000000036cc_0,Sports Venue,Burton Coliseum,1.452047303786842E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.22266860950334,30.151952511471737]}"
000000000000000036cd_0,Sports Venue,Butte Civic Center,1.0564613591048853E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.52746406523185,45.9982341233401]}"
000000000000000036ce_0,Sports Venue,CAA Arena,2.2550264229087455E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.37638699763498,44.17465409657747]}"
000000000000000036cf_0,Sports Venue,CAA Centre,6.656908289796394E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-79.70302358350455,43.67159753747054]}"
000000000000000036d0_0,Sports Venue,Cable Dahmer Arena,3.2345046818906156E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.35454586749394,39.01832436573142]}"
000000000000000036d1_0,Sports Venue,Cajundome,1.7296280192676795E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.02790928162437,30.214834581360105]}"
000000000000000036d2_0,Sports Venue,Cal Farley Coliseum,2.4688776147786017E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-101.83751218420956,35.18251810254106]}"
000000000000000036d3_0,Sports Venue,Calihan Hall,5.1903460351545655E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.1615374273647,42.41395613970321]}"
000000000000000036d4_0,Sports Venue,Cal U Convocation Center,3.1916738322793986E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-79.89166979316964,40.087319553833645]}"
000000000000000036d5_0,Sports Venue,Cambellton Civic Center,1.5096560891648972E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-66.68643511661267,48.010460359767826]}"
000000000000000036d6_0,Sports Venue,Cameron Hall,1.4539560591490852E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-79.45149530395108,37.76068296796409]}"
000000000000000036d7_0,Sports Venue,Cameron Indoor Stadium,2.2280989029041133E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-78.94843874484414,35.99998501108983]}"
000000000000000036d8_0,Sports Venue,Cam Henderson Center,2.7595863005647457E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.4069525887043,38.45238573673612]}"
000000000000000036d9_0,Sports Venue,Canada Life Centre,2.6621967093522097E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.12135694258207,49.89692245641882]}"
000000000000000036da_0,Sports Venue,Canadian Tire Centre,2.749481228878095E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.93009939020256,45.306531354568065]}"
000000000000000036db_0,Sports Venue,Cannon Activities Center,8.287648911811799E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-157.9283185246325,21.66287307654226]}"
000000000000000036dc_0,Sports Venue,Canton Memorial Civic Center,3.2044950318209806E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.40083947049044,40.77902232260568]}"
000000000000000036dd_0,Sports Venue,Canton Memorial Field House,3.335032794155771E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.40083947049044,40.841904392494044]}"
000000000000000036de_0,Sports Venue,Capital One Arena,5.113184850721289E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.99909457830478,38.89256022595468]}"
000000000000000036df_0,Sports Venue,CareFirst Arena,4.982735927620199E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.99909457830478,38.829678156066315]}"
000000000000000036e0_0,Sports Venue,Carlson Center,-5.573010415728075E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-147.7414232027171,64.86285508985004]}"
000000000000000036e1_0,Sports Venue,Carmichael Arena,2.2988514450362993E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-79.07420288462087,35.93710294120146]}"
000000000000000036e2_0,Sports Venue,Carnesecca Arena,1.0021353091108858E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.79210901399809,40.71614025271731]}"
000000000000000036e3_0,Sports Venue,Carver Arena,3.562034833340661E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.57550855597809,40.71614025271731]}"
000000000000000036e4_0,Sports Venue,Carver-Hawkeye Arena,3.328481572002288E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.52485272251745,41.65937130104281]}"
000000000000000036e5_0,Sports Venue,Case Arena,3.202314868730973E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.49428713144813,40.275965763498746]}"
000000000000000036e6_0,Sports Venue,Casey's Center,3.123387062943597E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.59996102883355,41.59648923115444]}"
000000000000000036e7_0,Sports Venue,Casper Events Center,1.4258680085368895E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.30213914628358,42.85413062892177]}"
000000000000000036e8_0,Sports Venue,Cassell Coliseum,2.1036352435465092E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.39472635227658,37.19474433896879]}"
000000000000000036e9_0,Sports Venue,CEFCU Arena,3.820921331050731E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.00956992698279,40.527494043052215]}"
000000000000000036ea_0,Sports Venue,CEI Arena,3.919551945326334E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.68468422886295,39.269852645284885]}"
000000000000000036eb_0,Sports Venue,Centennial Center,2.7764936474485327E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.22441949725307,33.107409796224964]}"
000000000000000036ec_0,Sports Venue,Centre 200,2.000940390968277E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.20958191811093,46.12399826311683]}"
000000000000000036ed_0,Sports Venue,Centrum Arena,1.1316078469622865E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-113.09340269422715,37.69780089807572]}"
000000000000000036ee_0,Sports Venue,CFG Bank Arena,5.471105564867549E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.62180215897459,39.269852645284885]}"
000000000000000036ef_0,Sports Venue,CFSB Center,2.949367523421892E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.31786715821076,36.62880570997349]}"
000000000000000036f0_0,Sports Venue,Chaifetz Arena,5.4413799194717365E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.20432925486175,38.64103194640121]}"
000000000000000036f1_0,Sports Venue,Charles E. Smith Center,4.987559050937402E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.06197664819315,38.89256022595468]}"
000000000000000036f2_0,Sports Venue,Charles Koch Arena,2.9035851185015943E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.31000315224716,37.69780089807572]}"
000000000000000036f3_0,Sports Venue,Charleston Civic Center,2.9535913860142434E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.65236775004391,38.326621596959384]}"
000000000000000036f4_0,Sports Venue,Chartway Arena,3.69190671388701E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.30739180953275,36.88033398952695]}"
000000000000000036f5_0,Sports Venue,Chase Center,3.726038482694589E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.3999490377054,37.76068296796409]}"
000000000000000036f6_0,Sports Venue,Chase Family Arena,4.059094090069209E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.72311382589587,41.785135440819545]}"
000000000000000036f7_0,Sports Venue,CHI Health Center Omaha,5.6017896557348994E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.9265976147031,41.28207888171261]}"
000000000000000036f8_0,Sports Venue,Chiles Center,4.471029201516655E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.71435938714723,45.558059634121534]}"
000000000000000036f9_0,Sports Venue,Chilliwack Coliseum,3.470742090867115E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.95977454848683,49.14233761775842]}"
000000000000000036fa_0,Sports Venue,Christl Arena,3.5160415072227845E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9807552236632,41.40784302148934]}"
000000000000000036fb_0,Sports Venue,Cintas Center,4.7735474734616414E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.4820608950204,39.14408850550815]}"
000000000000000036fc_0,Sports Venue,Cleveland Public Auditorium,2.900487482669587E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.71524981993227,41.533607161266076]}"
000000000000000036fd_0,Sports Venue,Climate Pledge Arena,5.915514217561968E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.33706696781704,47.63316794043763]}"
000000000000000036fe_0,Sports Venue,Clune Arena,2.1256456468029175E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-104.85585153885114,39.01832436573142]}"
000000000000000036ff_0,Sports Venue,CN Centre,1.3146281024169451E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.7772414570356,53.92137492927428]}"
00000000000000003700_0,Sports Venue,Coca-Cola Coliseum,5.17402283577876E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-79.38861323406272,43.60871546758217]}"
00000000000000003701_0,Sports Venue,Coleman Coliseum,2.897290176728428E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.56328231955035,33.2331739360017]}"
00000000000000003702_0,Sports Venue,College Park Center,4.446439668270385E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.12135694258207,32.73011737689477]}"
00000000000000003703_0,Sports Venue,Colonial Life Arena,3.031307479623266E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.02354705116024,33.9877587746621]}"
00000000000000003704_0,Sports Venue,Columbus Civic Center,2.5649184492994945E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.98511745412733,32.4785890973413]}"
00000000000000003705_0,Sports Venue,Comerica Center,3.798887348364013E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.80694659314024,33.107409796224964]}"
00000000000000003706_0,Sports Venue,Compton Family Ice Arena,3.809583742945858E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.24275885189466,41.72225337093118]}"
00000000000000003707_0,Sports Venue,Conte Forum,7.290178089557718E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.1510620786867,42.35107406981484]}"
00000000000000003708_0,Sports Venue,Convocation Center,2.887512800208814E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.77813188982064,33.54758428544353]}"
00000000000000003709_0,Sports Venue,Convocation Center,2.7709539764564928E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.09254223926247,39.332734715173245]}"
0000000000000000370a_0,Sports Venue,Convocation Center,3.4637186133081625E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.63052661990287,29.58601388247644]}"
0000000000000000370b_0,Sports Venue,Convocation Center,2.9421337704830417E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.30739180953275,37.00609812930369]}"
0000000000000000370c_0,Sports Venue,Co-op Place,2.6381755944188577E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.7667661083576,50.08556866608392]}"
0000000000000000370d_0,Sports Venue,Corbin Arena,1.9717891362963283E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.1047684756902,36.94321605941532]}"
0000000000000000370e_0,Sports Venue,Corbett Sports Center,2.6885606757914922E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-79.7659056533929,36.06286708097819]}"
0000000000000000370f_0,Sports Venue,Corteva Coliseum,4.5674200050314594E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.11699471211793,39.83579127428018]}"
00000000000000003710_0,Sports Venue,Coussoulis Arena,9.78081290455407E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.30650137674772,34.17640498432719]}"
