latitude,longitude,name,type,popup
36.729235014286,-119.793188804664,Azteca Theater,NRHP-Listed Only,"<strong>Azteca Theater</strong><br/>Fresno, CA<br/>Listed: 3/27/17<br/>Type: NRHP-Listed Only"
36.738408713945,-119.794414406547,"Pantages, Alexander, Theater",NRHP-Listed Only,"<strong>Pantages, Alexander, Theater</strong><br/>Fresno, CA<br/>Listed: 2/23/78<br/>Type: NRHP-Listed Only"
36.758006064574,-119.801288237703,Tower Theatre,NRHP-Listed Only,"<strong>Tower Theatre</strong><br/>Fresno, CA<br/>Listed: 9/24/92<br/>Type: NRHP-Listed Only"
40.800700015761,-124.166200023222,Eureka Theatre,NRHP-Listed Only,"<strong>Eureka Theatre</strong><br/>Eureka, CA<br/>Listed: 1/7/10<br/>Type: NRHP-Listed Only"
40.802587075533,-124.165329478758,Sweasey Theater-Loew's State Theater,NRHP-Listed Only,"<strong>Sweasey Theater-Loew's State Theater</strong><br/>Eureka, CA<br/>Listed: 6/5/09<br/>Type: NRHP-Listed Only"
34.148870689864,-118.254122686691,Alexander Theatre,NRHP-Listed Only,"<strong>Alexander Theatre</strong><br/>Glendale, CA<br/>Listed: 2/16/96<br/>Type: NRHP-Listed Only"
34.042758980786,-118.256220677056,Broadway Theater and Commercial District,NRHP-Listed Only,"<strong>Broadway Theater and Commercial District</strong><br/>Los Angeles, CA<br/>Listed: 5/9/79<br/>Type: NRHP-Listed Only"
34.041428688933,-118.257229606741,Broadway Theatre and Commercial District (Boundary Increase),NRHP-Listed Only,"<strong>Broadway Theatre and Commercial District (Boundary Increase)</strong><br/>Los Angeles, CA<br/>Listed: 4/12/02<br/>Type: NRHP-Listed Only"
33.963322469016,-118.352390694596,Fox Theatre Inglewood,NRHP-Listed Only,"<strong>Fox Theatre Inglewood</strong><br/>Inglewood, CA<br/>Listed: 1/14/13<br/>Type: NRHP-Listed Only"
34.064204876341,-118.374935164291,Fox Wilshire Theatre,NRHP-Listed Only,"<strong>Fox Wilshire Theatre</strong><br/>Beverly Hills, CA<br/>Listed: 4/3/12<br/>Type: NRHP-Listed Only"
34.020251098098,-118.157539022228,Golden Gate Theater,NRHP-Listed Only,"<strong>Golden Gate Theater</strong><br/>Los Angeles, CA<br/>Listed: 2/23/82<br/>Type: NRHP-Listed Only"
34.020571580166,-118.253870642862,Lincoln Theater,NRHP-Listed Only,"<strong>Lincoln Theater</strong><br/>Los Angeles, CA<br/>Listed: 3/17/09<br/>Type: NRHP-Listed Only"
34.050866921456,-118.24845945381,Million Dollar Theater,NRHP-Listed Only,"<strong>Million Dollar Theater</strong><br/>Los Angeles, CA<br/>Listed: 7/20/78<br/>Type: NRHP-Listed Only"
34.150314011681,-117.701329969662,Padua Hills Theatre,NRHP-Listed Only,"<strong>Padua Hills Theatre</strong><br/>Claremont, CA<br/>Listed: 1/23/98<br/>Type: NRHP-Listed Only"
34.05684836145,-117.750905106467,Pomona Fox Theater,NRHP-Listed Only,"<strong>Pomona Fox Theater</strong><br/>Pomona, CA<br/>Listed: 2/19/82<br/>Type: NRHP-Listed Only"
34.114534013958,-118.150513981539,Rialto Theatre,NRHP-Listed Only,"<strong>Rialto Theatre</strong><br/>South Pasadena, CA<br/>Listed: 5/24/78<br/>Type: NRHP-Listed Only"
33.738868848299,-118.287423401274,Warner Brothers Theatre,NRHP-Listed Only,"<strong>Warner Brothers Theatre</strong><br/>San Pedro, CA<br/>Listed: 1/21/99<br/>Type: NRHP-Listed Only"
34.058037052889,-118.27553015122,Westlake Theatre,NRHP-Listed Only,"<strong>Westlake Theatre</strong><br/>Los Angeles, CA<br/>Listed: 1/7/10<br/>Type: NRHP-Listed Only"
37.903724260583,-122.603752502521,Mount Tamalpais Mountain Theater,NRHP-Listed Only,"<strong>Mount Tamalpais Mountain Theater</strong><br/>Mill Valley, CA<br/>Listed: 2/2/15<br/>Type: NRHP-Listed Only"
39.718516902155,-121.828413946377,Merced Theatre,NRHP-Listed Only,"<strong>Merced Theatre</strong><br/>Merced, CA<br/>Listed: 5/1/09<br/>Type: NRHP-Listed Only"
37.302724033269,-120.485938685241,Strand Theater,NRHP-Listed Only,"<strong>Strand Theater</strong><br/>Merced, CA<br/>Listed: 12/7/21<br/>Type: NRHP-Listed Only"
39.262888794422,-121.019876981629,Nevada Theatre,NRHP-Listed Only,"<strong>Nevada Theatre</strong><br/>Nevada City, CA<br/>Listed: 3/14/73<br/>Type: NRHP-Listed Only"
33.874383728893,-117.924020457046,Fox Fullerton Theatre Complex,NRHP-Listed Only,"<strong>Fox Fullerton Theatre Complex</strong><br/>Fullerton, CA<br/>Listed: 10/25/06<br/>Type: NRHP-Listed Only"
33.542415980968,-117.784531003695,New Lynn Theater,NRHP-Listed Only,"<strong>New Lynn Theater</strong><br/>Laguna Beach, CA<br/>Listed: 3/10/23<br/>Type: NRHP-Listed Only"
33.747451623784,-117.86779247125,Walkers Orange County Theater,NRHP-Listed Only,"<strong>Walkers Orange County Theater</strong><br/>Santa Ana, CA<br/>Listed: 2/19/82<br/>Type: NRHP-Listed Only"
33.747394626843,-117.865265914176,Yost Theater-Ritz Hotel,NRHP-Listed Only,"<strong>Yost Theater-Ritz Hotel</strong><br/>Santa Ana, CA<br/>Listed: 1/23/86<br/>Type: NRHP-Listed Only"
33.822578663855,-116.546151664362,Plaza Theatre,LHAT Member Theater,"<strong>Plaza Theatre</strong><br/>Palm Springs, CA<br/>Listed: 12/31/25<br/>Type: LHAT Member Theater"
38.242531933681,-121.513251724877,Imperial Theatre,NRHP-Listed Only,"<strong>Imperial Theatre</strong><br/>Walnut Grove, CA<br/>Listed: 10/29/82<br/>Type: NRHP-Listed Only"
34.106804306669,-117.295469416909,"California Theatre, The",NRHP-Listed Only,"<strong>California Theatre, The</strong><br/>San Bernardino, CA<br/>Listed: 12/22/09<br/>Type: NRHP-Listed Only"
32.71430159114,-117.161376065184,Balboa Theatre,LHAT Member Theater,"<strong>Balboa Theatre</strong><br/>San Diego, CA<br/>Listed: 10/24/96<br/>Type: LHAT Member Theater"
