name,latitude,longitude,type,popup
Wabash College,40.037588,-86.906,LAC,"<strong>Wabash College</strong><br/>Crawfordsville, IN<br/>Type: LAC"
Centre College,37.645709,-84.779392,LAC,"<strong>Centre College</strong><br/>Danville, KY<br/>Type: LAC"
Rhodes College,35.154405,-89.990803,LAC,"<strong>Rhodes College</strong><br/>Memphis, TN<br/>Type: LAC"
Thomas Aquinas College,34.429009,-119.087141,LAC,"<strong>Thomas Aquinas College</strong><br/>Santa Paula, CA<br/>Type: LAC"
DePauw University,39.640904,-86.860363,LAC,"<strong>DePauw University</strong><br/>Greencastle, IN<br/>Type: LAC"
Whitman College,46.069815,-118.331546,LAC,"<strong>Whitman College</strong><br/>Walla Walla, WA<br/>Type: LAC"
Oberlin College and Conservatory,41.291992,-82.216795,LAC,"<strong>Oberlin College and Conservatory</strong><br/>Oberlin, OH<br/>Type: LAC"
Gettysburg College,39.836597,-77.236792,LAC,"<strong>Gettysburg College</strong><br/>Gettysburg, PA<br/>Type: LAC"
St. Lawrence University,44.589879,-75.161343,LAC,"<strong>St. Lawrence University</strong><br/>Canton, NY<br/>Type: LAC"
Reed College,45.480959,-122.630348,LAC,"<strong>Reed College</strong><br/>Portland, OR<br/>Type: LAC"
Principia College,38.948835,-90.350285,LAC,"<strong>Principia College</strong><br/>Elsah, IL<br/>Type: LAC"
Virginia Military Institute,37.7896,-79.437067,LAC,"<strong>Virginia Military Institute</strong><br/>Lexington, VA<br/>Type: LAC"
Lawrence University,44.261323,-88.397822,LAC,"<strong>Lawrence University</strong><br/>Appleton, WI<br/>Type: LAC"
Agnes Scott College,33.769268,-84.295459,LAC,"<strong>Agnes Scott College</strong><br/>Decatur, GA<br/>Type: LAC"
Wofford College,34.959411,-81.933568,LAC,"<strong>Wofford College</strong><br/>Spartanburg, SC<br/>Type: LAC"
Kalamazoo College,42.290789,-85.601857,LAC,"<strong>Kalamazoo College</strong><br/>Kalamazoo, MI<br/>Type: LAC"
Gustavus Adolphus College,44.323626,-93.972196,LAC,"<strong>Gustavus Adolphus College</strong><br/>Saint Peter, MN<br/>Type: LAC"
Bard College,42.020386,-73.909927,LAC,"<strong>Bard College</strong><br/>Annandale-On-Hudson, NY<br/>Type: LAC"
Muhlenberg College,40.596416,-75.508501999999993,LAC,"<strong>Muhlenberg College</strong><br/>Allentown, PA<br/>Type: LAC"
College of St. Benedict,45.561792,-94.319888,LAC,"<strong>College of St. Benedict</strong><br/>Saint Joseph, MN<br/>Type: LAC"
Hobart and William Smith Colleges,42.858131,-76.985516,LAC,"<strong>Hobart and William Smith Colleges</strong><br/>Geneva, NY<br/>Type: LAC"
Lake Forest College,42.249574,-87.827454,LAC,"<strong>Lake Forest College</strong><br/>Lake Forest, IL<br/>Type: LAC"
Wheaton College,41.966637,-71.183979,LAC,"<strong>Wheaton College</strong><br/>Norton, MA<br/>Type: LAC"
Earlham College,39.823431,-84.915037,LAC,"<strong>Earlham College</strong><br/>Richmond, IN<br/>Type: LAC"
College of Wooster,40.81046,-81.934674,LAC,"<strong>College of Wooster</strong><br/>Wooster, OH<br/>Type: LAC"
Willamette University,44.935457,-123.030537,LAC,"<strong>Willamette University</strong><br/>Salem, OR<br/>Type: LAC"
Allegheny College,41.64869,-80.147168,LAC,"<strong>Allegheny College</strong><br/>Meadville, PA<br/>Type: LAC"
Knox College,40.943064,-90.373165,LAC,"<strong>Knox College</strong><br/>Galesburg, IL<br/>Type: LAC"
St. John's University,45.580075,-94.393621,LAC,"<strong>St. John's University</strong><br/>Collegeville, MN<br/>Type: LAC"
Stonehill College,42.05905,-71.080632,LAC,"<strong>Stonehill College</strong><br/>Easton, MA<br/>Type: LAC"
Saint Mary's College,41.707274,-86.256947,LAC,"<strong>Saint Mary's College</strong><br/>Notre Dame, IN<br/>Type: LAC"
St. John's College,38.981598,-76.491359,LAC,"<strong>St. John's College</strong><br/>Annapolis, MD<br/>Type: LAC"
Ursinus College,40.193023,-75.456505,LAC,"<strong>Ursinus College</strong><br/>Collegeville, PA<br/>Type: LAC"
Southwestern University,30.634341,-97.665738,LAC,"<strong>Southwestern University</strong><br/>Georgetown, TX<br/>Type: LAC"
Austin College,33.646345,-96.596331,LAC,"<strong>Austin College</strong><br/>Sherman, TX<br/>Type: LAC"
Drew University,40.761829,-74.424584,LAC,"<strong>Drew University</strong><br/>Madison, NJ<br/>Type: LAC"
Washington and Jefferson College,40.170622,-80.24049,LAC,"<strong>Washington and Jefferson College</strong><br/>Washington, PA<br/>Type: LAC"
Hope College,42.787247,-86.100971,LAC,"<strong>Hope College</strong><br/>Holland, MI<br/>Type: LAC"
