name,latitude,longitude,type,popup
Borromeo College of Ohio,41.490259,-81.531224,LAC,"<strong>Borromeo College of Ohio</strong><br/>University Heights, OH<br/>Type: LAC"
Brevard College,35.236763,-82.729494,LAC,"<strong>Brevard College</strong><br/>Brevard, NC<br/>Type: LAC"
Brewton-Parker College,32.185718,-82.586136,LAC,"<strong>Brewton-Parker College</strong><br/>Mount Vernon, GA<br/>Type: LAC"
Brigham Young University-Hawaii,21.642074,-157.926586,LAC,"<strong>Brigham Young University-Hawaii</strong><br/>Laie, HI<br/>Type: LAC"
"California State University, Monterey Bay",36.652397,-121.796178,LAC,"<strong>California State University, Monterey Bay</strong><br/>Seaside, CA<br/>Type: LAC"
Calvin College,42.929916,-85.587548,LAC,"<strong>Calvin College</strong><br/>Grand Rapids, MI<br/>Type: LAC"
Carroll College,46.600771,-112.040285,LAC,"<strong>Carroll College</strong><br/>Helena, MT<br/>Type: LAC"
Carroll University,43.004527,-88.228114,LAC,"<strong>Carroll University</strong><br/>Waukesha, WI<br/>Type: LAC"
Carson-Newman College,36.122934,-83.491709,LAC,"<strong>Carson-Newman College</strong><br/>Jefferson City, TN<br/>Type: LAC"
Carthage College,42.622969,-87.820924,LAC,"<strong>Carthage College</strong><br/>Kenosha, WI<br/>Type: LAC"
Castleton State College,43.608397,-73.180842,LAC,"<strong>Castleton State College</strong><br/>Castleton, VT<br/>Type: LAC"
Cedar Crest College,40.586318,-75.519221,LAC,"<strong>Cedar Crest College</strong><br/>Allentown, PA<br/>Type: LAC"
Chatham College,40.448432,-79.926083,LAC,"<strong>Chatham College</strong><br/>Pittsburgh, PA<br/>Type: LAC"
Chestnut Hill College,40.08678,-75.228742,LAC,"<strong>Chestnut Hill College</strong><br/>Philadelphia, PA<br/>Type: LAC"
Chowan University,36.436258,-77.099141,LAC,"<strong>Chowan University</strong><br/>Murfreesboro, NC<br/>Type: LAC"
Christian Heritage College,32.843454,-116.978089,LAC,"<strong>Christian Heritage College</strong><br/>Santee, CA<br/>Type: LAC"
Christopher Newport University,37.062495,-76.494364,LAC,"<strong>Christopher Newport University</strong><br/>Newport News, VA<br/>Type: LAC"
Clarke University,42.509475,-90.690487,LAC,"<strong>Clarke University</strong><br/>Dubuque, IA<br/>Type: LAC"
Coastal Carolina University,33.794995,-79.011767,LAC,"<strong>Coastal Carolina University</strong><br/>Conway, SC<br/>Type: LAC"
College of Idaho,43.652284,-116.677992,LAC,"<strong>College of Idaho</strong><br/>Caldwell, ID<br/>Type: LAC"
College of Mount St. Vincent,40.913657,-73.908886999999993,LAC,"<strong>College of Mount St. Vincent</strong><br/>Bronx, NY<br/>Type: LAC"
Colorado State University Pueblo,38.30859,-104.579033,LAC,"<strong>Colorado State University Pueblo</strong><br/>Pueblo, CO<br/>Type: LAC"
Doane University,40.622952,-96.950932,LAC,"<strong>Doane University</strong><br/>Crete, NE<br/>Type: LAC"
Eastern Mennonite University,38.471134,-78.880326,LAC,"<strong>Eastern Mennonite University</strong><br/>Harrisonburg, VA<br/>Type: LAC"
Eastern Nazarene College,42.271228,-71.011079,LAC,"<strong>Eastern Nazarene College</strong><br/>Quincy, MA<br/>Type: LAC"
Elizabethtown College,40.149236,-76.593224,LAC,"<strong>Elizabethtown College</strong><br/>Elizabethtown, PA<br/>Type: LAC"
Elmira College,42.0961,-76.813459,LAC,"<strong>Elmira College</strong><br/>Elmira, NY<br/>Type: LAC"
Emory and Henry College,36.772857,-81.829142,LAC,"<strong>Emory and Henry College</strong><br/>Emory, VA<br/>Type: LAC"
Erskine College,34.332087,-82.39095,LAC,"<strong>Erskine College</strong><br/>Due West, SC<br/>Type: LAC"
Evangel University,37.220956,-93.262614,LAC,"<strong>Evangel University</strong><br/>Springfield, MO<br/>Type: LAC"
Evergreen State College,47.07382,-122.977492,LAC,"<strong>Evergreen State College</strong><br/>Olympia, WA<br/>Type: LAC"
Ferrum College,36.926431,-80.020614,LAC,"<strong>Ferrum College</strong><br/>Ferrum, VA<br/>Type: LAC"
Fort Lewis College,37.275939,-107.867422,LAC,"<strong>Fort Lewis College</strong><br/>Durango, CO<br/>Type: LAC"
Franklin Pierce University,42.78014,-72.058011,LAC,"<strong>Franklin Pierce University</strong><br/>Rindge, NH<br/>Type: LAC"
Goddard College,44.279087,-72.438388,LAC,"<strong>Goddard College</strong><br/>Plainfield, VT<br/>Type: LAC"
Goshen College,41.563582,-85.827795,LAC,"<strong>Goshen College</strong><br/>Goshen, IN<br/>Type: LAC"
Greensboro College,36.071082,-79.800232,LAC,"<strong>Greensboro College</strong><br/>Greensboro, NC<br/>Type: LAC"
Grove City College,41.1558,-80.081481,LAC,"<strong>Grove City College</strong><br/>Grove City, PA<br/>Type: LAC"
Hamline University,44.966246,-93.164479,LAC,"<strong>Hamline University</strong><br/>Saint Paul, MN<br/>Type: LAC"
Harrisburg University of Science and Technology,40.26193,-76.880261,LAC,"<strong>Harrisburg University of Science and Technology</strong><br/>Harrisburg, PA<br/>Type: LAC"
Hastings College,40.59025,-98.374403,LAC,"<strong>Hastings College</strong><br/>Hastings, NE<br/>Type: LAC"
Heidelberg University,41.114833,-83.168387,LAC,"<strong>Heidelberg University</strong><br/>Tiffin, OH<br/>Type: LAC"
Hiram College,41.3107,-81.143981,LAC,"<strong>Hiram College</strong><br/>Hiram, OH<br/>Type: LAC"
Huntingdon College,32.351034,-86.284366,LAC,"<strong>Huntingdon College</strong><br/>Montgomery, AL<br/>Type: LAC"
Huston-Tillotson University,30.264667,-97.721691,LAC,"<strong>Huston-Tillotson University</strong><br/>Austin, TX<br/>Type: LAC"
Illinois Wesleyan University,40.489901,-88.992014,LAC,"<strong>Illinois Wesleyan University</strong><br/>Bloomington, IL<br/>Type: LAC"
Jarvis Christian College,32.587942,-95.181513,LAC,"<strong>Jarvis Christian College</strong><br/>Hawkins, TX<br/>Type: LAC"
Kentucky State University,38.201427,-84.855402,LAC,"<strong>Kentucky State University</strong><br/>Frankfort, KY<br/>Type: LAC"
Kentucky Wesleyan College,37.744489,-87.119658,LAC,"<strong>Kentucky Wesleyan College</strong><br/>Owensboro, KY<br/>Type: LAC"
King College,36.585309,-82.159421,LAC,"<strong>King College</strong><br/>Bristol, TN<br/>Type: LAC"
LaGrange College,33.038564,-85.043113,LAC,"<strong>LaGrange College</strong><br/>Lagrange, GA<br/>Type: LAC"
Lebanon Valley College,40.330604,-76.514431,LAC,"<strong>Lebanon Valley College</strong><br/>Annville, PA<br/>Type: LAC"
Lees-McRae College,36.162477,-81.873371,LAC,"<strong>Lees-McRae College</strong><br/>Banner Elk, NC<br/>Type: LAC"
Life University,33.932781,-84.514729,LAC,"<strong>Life University</strong><br/>Marietta, GA<br/>Type: LAC"
Lindsey Wilson College,37.101502,-85.299997,LAC,"<strong>Lindsey Wilson College</strong><br/>Columbia, KY<br/>Type: LAC"
Louisiana State University of Alexandria,31.178616,-92.414409,LAC,"<strong>Louisiana State University of Alexandria</strong><br/>Alexandria, LA<br/>Type: LAC"
Manhattanville College,41.032187,-73.715645,LAC,"<strong>Manhattanville College</strong><br/>Purchase, NY<br/>Type: LAC"
McDaniel College,39.584231,-77.001992,LAC,"<strong>McDaniel College</strong><br/>Westminster, MD<br/>Type: LAC"
McPherson College,38.371422,-97.642996,LAC,"<strong>McPherson College</strong><br/>McPherson, KS<br/>Type: LAC"
Merrimack College,42.668344,-71.124216,LAC,"<strong>Merrimack College</strong><br/>North Andover, MA<br/>Type: LAC"
Colorado Mesa University,39.080643,-108.553275,LAC,"<strong>Colorado Mesa University</strong><br/>Grand Junction, CO<br/>Type: LAC"
Metropolitan State College of Denver,39.744202,-105.00504,LAC,"<strong>Metropolitan State College of Denver</strong><br/>Denver, CO<br/>Type: LAC"
Millikin University,39.842612,-88.976298,LAC,"<strong>Millikin University</strong><br/>Decatur, IL<br/>Type: LAC"
Mills College,37.781425,-122.182294,LAC,"<strong>Mills College</strong><br/>Oakland, CA<br/>Type: LAC"
Moravian University,40.630947,-75.383638,LAC,"<strong>Moravian University</strong><br/>Bethlehem, PA<br/>Type: LAC"
Muskingum College,39.996585,-81.737127,LAC,"<strong>Muskingum College</strong><br/>New Concord, OH<br/>Type: LAC"
Nebraska Wesleyan University,40.839098,-96.64831,LAC,"<strong>Nebraska Wesleyan University</strong><br/>Lincoln, NE<br/>Type: LAC"
Neumann College,39.874876,-75.440022,LAC,"<strong>Neumann College</strong><br/>Aston, PA<br/>Type: LAC"
North Greenville University,35.069758,-82.37026,LAC,"<strong>North Greenville University</strong><br/>Tigerville, SC<br/>Type: LAC"
Northland College,46.579087,-90.87476,LAC,"<strong>Northland College</strong><br/>Ashland, WI<br/>Type: LAC"
Olivet College,42.442891,-84.923891,LAC,"<strong>Olivet College</strong><br/>Olivet, MI<br/>Type: LAC"
Pacific Union College,38.570585,-122.440308,LAC,"<strong>Pacific Union College</strong><br/>Angwin, CA<br/>Type: LAC"
Peace College,35.789139,-78.637697,LAC,"<strong>Peace College</strong><br/>Raleigh, NC<br/>Type: LAC"
Philander Smith College,34.737131,-92.283015,LAC,"<strong>Philander Smith College</strong><br/>Little Rock, AR<br/>Type: LAC"
Providence College,41.842742,-71.437446,LAC,"<strong>Providence College</strong><br/>Providence, RI<br/>Type: LAC"
Regis College,42.351291,-71.310561,LAC,"<strong>Regis College</strong><br/>Weston, MA<br/>Type: LAC"
Richard Stockton College of New Jersey,39.492036,-74.531087,LAC,"<strong>Richard Stockton College of New Jersey</strong><br/>Galloway, NJ<br/>Type: LAC"
Rockford College,42.270639,-89.019536,LAC,"<strong>Rockford College</strong><br/>Rockford, IL<br/>Type: LAC"
Rosemont College,40.033417,-75.32925,LAC,"<strong>Rosemont College</strong><br/>Rosemont, PA<br/>Type: LAC"
Russell Sage College,42.72822,-73.693711,LAC,"<strong>Russell Sage College</strong><br/>Troy, NY<br/>Type: LAC"
San Diego Christian College,32.843454,-116.978089,LAC,"<strong>San Diego Christian College</strong><br/>Santee, CA<br/>Type: LAC"
Savannah State University,32.024781,-81.063377,LAC,"<strong>Savannah State University</strong><br/>Savannah, GA<br/>Type: LAC"
Schreiner University,30.031458,-99.130586,LAC,"<strong>Schreiner University</strong><br/>Kerrville, TX<br/>Type: LAC"
Seton Hill University,40.309407,-79.557433,LAC,"<strong>Seton Hill University</strong><br/>Greensburg, PA<br/>Type: LAC"
Shawnee State University,38.730867,-82.993769,LAC,"<strong>Shawnee State University</strong><br/>Portsmouth, OH<br/>Type: LAC"
Shepherd University,39.433071,-77.804101,LAC,"<strong>Shepherd University</strong><br/>Shepherdstown, WV<br/>Type: LAC"
Shorter University,34.257543,-85.196529,LAC,"<strong>Shorter University</strong><br/>Rome, GA<br/>Type: LAC"
Siena College,42.717602,-73.7526,LAC,"<strong>Siena College</strong><br/>Loudonville, NY<br/>Type: LAC"
Spring Hill College,30.694751,-88.138199,LAC,"<strong>Spring Hill College</strong><br/>Mobile, AL<br/>Type: LAC"
St. Andrews Presbyterian College,34.74563,-79.478567,LAC,"<strong>St. Andrews Presbyterian College</strong><br/>Laurinburg, NC<br/>Type: LAC"
St. Augustine's College,35.785468,-78.621301,LAC,"<strong>St. Augustine's College</strong><br/>Raleigh, NC<br/>Type: LAC"
St. Francis College,40.690233,-73.986559,LAC,"<strong>St. Francis College</strong><br/>Brooklyn, NY<br/>Type: LAC"
St. Vincent College,40.29265,-79.403762,LAC,"<strong>St. Vincent College</strong><br/>Latrobe, PA<br/>Type: LAC"
State University of New York at Old Westbury,40.799021,-73.571907,LAC,"<strong>State University of New York at Old Westbury</strong><br/>Old Westbury, NY<br/>Type: LAC"
Stephens College,38.95204,-92.319204,LAC,"<strong>Stephens College</strong><br/>Columbia, MO<br/>Type: LAC"
Sterling College,44.65225,-72.382372,LAC,"<strong>Sterling College</strong><br/>Craftsbury Common, VT<br/>Type: LAC"
Sterling College,38.219937,-98.208644,LAC,"<strong>Sterling College</strong><br/>Sterling, KS<br/>Type: LAC"
Stillman College,33.200006,-87.585278,LAC,"<strong>Stillman College</strong><br/>Tuscaloosa, AL<br/>Type: LAC"
Talladega College,33.433472,-86.112704,LAC,"<strong>Talladega College</strong><br/>Talladega, AL<br/>Type: LAC"
Texas Lutheran University,29.573261,-97.982669,LAC,"<strong>Texas Lutheran University</strong><br/>Seguin, TX<br/>Type: LAC"
Thiel College,41.41354,-80.384383,LAC,"<strong>Thiel College</strong><br/>Greenville, PA<br/>Type: LAC"
Thomas More College of Liberal Arts,42.80683,-71.48437,LAC,"<strong>Thomas More College of Liberal Arts</strong><br/>Merrimack, NH<br/>Type: LAC"
Thomas More University,39.022963,-84.568923,LAC,"<strong>Thomas More University</strong><br/>Crestview Hills, KY<br/>Type: LAC"
University of Arizona Global Campus,32.8273,-117.141961,LAC,"<strong>University of Arizona Global Campus</strong><br/>San Diego, IA<br/>Type: LAC"
University of Dallas,32.846221,-96.919512,LAC,"<strong>University of Dallas</strong><br/>Irving, TX<br/>Type: LAC"
University of Hawaii at Hilo,19.701189,-155.080847,LAC,"<strong>University of Hawaii at Hilo</strong><br/>Hilo, HI<br/>Type: LAC"
University of Hawaii at West Oahu,21.35531,-158.056403,LAC,"<strong>University of Hawaii at West Oahu</strong><br/>Kapolei, HI<br/>Type: LAC"
University of Judaism,34.128153,-118.471706,LAC,"<strong>University of Judaism</strong><br/>Los Angeles, CA<br/>Type: LAC"
University of Main at Presque Isle,46.672285,-68.016343,LAC,"<strong>University of Main at Presque Isle</strong><br/>Presque Isle, ME<br/>Type: LAC"
University of Mount Union,40.905256,-81.111029,LAC,"<strong>University of Mount Union</strong><br/>Alliance, OH<br/>Type: LAC"
University of Pikeville,37.479232,-82.521063,LAC,"<strong>University of Pikeville</strong><br/>Pikeville, KY<br/>Type: LAC"
University of Pittsburgh at Bradford,41.943415,-78.673701,LAC,"<strong>University of Pittsburgh at Bradford</strong><br/>Bradford, PA<br/>Type: LAC"
University of Puerto Rico in Ponce,17.993314,-66.606215,LAC,"<strong>University of Puerto Rico in Ponce</strong><br/>Ponce, PR<br/>Type: LAC"
University of South Carolina Beaufort,32.303308,-80.973595,LAC,"<strong>University of South Carolina Beaufort</strong><br/>Bluffton, SC<br/>Type: LAC"
University of the West,34.045985,-118.082964,LAC,"<strong>University of the West</strong><br/>Rosemead, CA<br/>Type: LAC"
University of Wisconsin-Green Bay,44.532298,-87.919973,LAC,"<strong>University of Wisconsin-Green Bay</strong><br/>Green Bay, WI<br/>Type: LAC"
University of Wisconsin-Parkside,42.647718,-87.855231,LAC,"<strong>University of Wisconsin-Parkside</strong><br/>Kenosha, WI<br/>Type: LAC"
University of Wisconsin-Superior,46.717629,-92.091007,LAC,"<strong>University of Wisconsin-Superior</strong><br/>Superior, WI<br/>Type: LAC"
Warner Pacific College,45.506265,-122.592498,LAC,"<strong>Warner Pacific College</strong><br/>Portland, OR<br/>Type: LAC"
Wesleyan College,32.876037,-83.715417,LAC,"<strong>Wesleyan College</strong><br/>Macon, GA<br/>Type: LAC"
West Virginia State University,38.380541,-81.765034,LAC,"<strong>West Virginia State University</strong><br/>Institute, WV<br/>Type: LAC"
West Virginia Wesleyan College,38.990661,-80.218969,LAC,"<strong>West Virginia Wesleyan College</strong><br/>Buckhannon, WV<br/>Type: LAC"
Western Colorado University,38.549936,-106.919132,LAC,"<strong>Western Colorado University</strong><br/>Gunnison, CO<br/>Type: LAC"
William Jewell College,39.247844,-94.413126,LAC,"<strong>William Jewell College</strong><br/>Liberty, MO<br/>Type: LAC"
William Peace University,35.789139,-78.637697,LAC,"<strong>William Peace University</strong><br/>Raleigh, NC<br/>Type: LAC"
Williams Baptist University,36.125676,-90.940277,LAC,"<strong>Williams Baptist University</strong><br/>Walnut Ridge, AR<br/>Type: LAC"
Wingate University,34.986064,-80.44305,LAC,"<strong>Wingate University</strong><br/>Wingate, NC<br/>Type: LAC"
Wisconsin Lutheran College,43.036943,-88.022718,LAC,"<strong>Wisconsin Lutheran College</strong><br/>Milwaukee, WI<br/>Type: LAC"
Xavier University of Louisiana,29.964162,-90.107307,LAC,"<strong>Xavier University of Louisiana</strong><br/>New Orleans, LA<br/>Type: LAC"
Alabama A & M University,34.783368,-86.568502,HBCU,"<strong>Alabama A & M University</strong><br/>NA, Alabama<br/>Type: HBCU"
Alabama State University,32.364317,-86.295677,HBCU,"<strong>Alabama State University</strong><br/>NA, Alabama<br/>Type: HBCU"
Bishop State Community College,30.693972,-88.056982,HBCU,"<strong>Bishop State Community College</strong><br/>NA, Alabama<br/>Type: HBCU"
Gadsden State Community College,33.994001,-85.991438,HBCU,"<strong>Gadsden State Community College</strong><br/>NA, Alabama<br/>Type: HBCU"
H Councill Trenholm State Community College,32.350109,-86.343057,HBCU,"<strong>H Councill Trenholm State Community College</strong><br/>NA, Alabama<br/>Type: HBCU"
J. F. Drake State Community and Technical College,34.771858,-86.572885,HBCU,"<strong>J. F. Drake State Community and Technical College</strong><br/>NA, Alabama<br/>Type: HBCU"
Lawson State Community College,33.450814,-86.888844,HBCU,"<strong>Lawson State Community College</strong><br/>NA, Alabama<br/>Type: HBCU"
Miles College,33.482442,-86.908751,HBCU,"<strong>Miles College</strong><br/>NA, Alabama<br/>Type: HBCU"
Oakwood University,34.756344,-86.652705,HBCU,"<strong>Oakwood University</strong><br/>NA, Alabama<br/>Type: HBCU"
Shelton State Community College,33.120531,-87.56148,HBCU,"<strong>Shelton State Community College</strong><br/>NA, Alabama<br/>Type: HBCU"
Stillman College,33.200006,-87.585278,HBCU,"<strong>Stillman College</strong><br/>NA, Alabama<br/>Type: HBCU"
Talladega College,33.433472,-86.112704,HBCU,"<strong>Talladega College</strong><br/>NA, Alabama<br/>Type: HBCU"
Tuskegee University,32.4309,-85.708492,HBCU,"<strong>Tuskegee University</strong><br/>NA, Alabama<br/>Type: HBCU"
Arkansas Baptist College,34.734751,-92.290555,HBCU,"<strong>Arkansas Baptist College</strong><br/>NA, Arkansas<br/>Type: HBCU"
Shorter College,34.75933,-92.261331,HBCU,"<strong>Shorter College</strong><br/>NA, Arkansas<br/>Type: HBCU"
University of Arkansas at Pine Bluff,34.244031,-92.018683,HBCU,"<strong>University of Arkansas at Pine Bluff</strong><br/>NA, Arkansas<br/>Type: HBCU"
Delaware State University,39.187173,-75.54053,HBCU,"<strong>Delaware State University</strong><br/>NA, Delaware<br/>Type: HBCU"
Howard University,38.922392,-77.018966,HBCU,"<strong>Howard University</strong><br/>NA, Washington<br/>Type: HBCU"
University of the District of Columbia,38.943819,-77.066247,HBCU,"<strong>University of the District of Columbia</strong><br/>NA, Connecticut<br/>Type: HBCU"
Bethune-Cookman University,29.207195,-81.032946,HBCU,"<strong>Bethune-Cookman University</strong><br/>NA, Florida<br/>Type: HBCU"
Florida Agricultural and Mechanical University,30.428504,-84.290226,HBCU,"<strong>Florida Agricultural and Mechanical University</strong><br/>NA, Florida<br/>Type: HBCU"
Florida Memorial University,25.918278,-80.270753,HBCU,"<strong>Florida Memorial University</strong><br/>NA, Florida<br/>Type: HBCU"
Albany State University,31.56928,-84.141825,HBCU,"<strong>Albany State University</strong><br/>NA, Georgia<br/>Type: HBCU"
Clark Atlanta University,33.747628,-84.412584,HBCU,"<strong>Clark Atlanta University</strong><br/>NA, Georgia<br/>Type: HBCU"
Fort Valley State University,32.537595,-83.89537,HBCU,"<strong>Fort Valley State University</strong><br/>NA, Georgia<br/>Type: HBCU"
Interdenominational Theological Center,33.752338,-84.409207,HBCU,"<strong>Interdenominational Theological Center</strong><br/>NA, Georgia<br/>Type: HBCU"
Morehouse College,33.745982,-84.414917,HBCU,"<strong>Morehouse College</strong><br/>NA, Georgia<br/>Type: HBCU"
Morehouse School of Medicine,33.742888,-84.41186,HBCU,"<strong>Morehouse School of Medicine</strong><br/>NA, Georgia<br/>Type: HBCU"
Paine College,33.469545,-81.993225,HBCU,"<strong>Paine College</strong><br/>NA, Georgia<br/>Type: HBCU"
Savannah State University,32.024781,-81.063377,HBCU,"<strong>Savannah State University</strong><br/>NA, Georgia<br/>Type: HBCU"
Spelman College,33.745279,-84.411527,HBCU,"<strong>Spelman College</strong><br/>NA, Georgia<br/>Type: HBCU"
Kentucky State University,38.201427,-84.855402,HBCU,"<strong>Kentucky State University</strong><br/>NA, Kentucky<br/>Type: HBCU"
Simmons College of Kentucky,38.239519,-85.764811,HBCU,"<strong>Simmons College of Kentucky</strong><br/>NA, Kentucky<br/>Type: HBCU"
Dillard University,29.996587,-90.06464,HBCU,"<strong>Dillard University</strong><br/>NA, Louisiana<br/>Type: HBCU"
Grambling State University,32.523797,-92.713245,HBCU,"<strong>Grambling State University</strong><br/>NA, Louisiana<br/>Type: HBCU"
Southern University and A & M College,30.524558,-91.190105,HBCU,"<strong>Southern University and A & M College</strong><br/>NA, Louisiana<br/>Type: HBCU"
Southern University at New Orleans,30.026162,-90.044912,HBCU,"<strong>Southern University at New Orleans</strong><br/>NA, Louisiana<br/>Type: HBCU"
Southern University at Shreveport,32.545632,-93.834559,HBCU,"<strong>Southern University at Shreveport</strong><br/>NA, Louisiana<br/>Type: HBCU"
Southern University Law Center,30.523898,-91.194417,HBCU,"<strong>Southern University Law Center</strong><br/>NA, Louisiana<br/>Type: HBCU"
Xavier University of Louisiana,29.964162,-90.107307,HBCU,"<strong>Xavier University of Louisiana</strong><br/>NA, Louisiana<br/>Type: HBCU"
Bowie State University,39.018185,-76.759721,HBCU,"<strong>Bowie State University</strong><br/>NA, Maryland<br/>Type: HBCU"
Coppin State University,39.311258,-76.658687,HBCU,"<strong>Coppin State University</strong><br/>NA, Maryland<br/>Type: HBCU"
Morgan State University,39.344161,-76.585565,HBCU,"<strong>Morgan State University</strong><br/>NA, Maryland<br/>Type: HBCU"
University of Maryland Eastern Shore,38.207386,-75.686852,HBCU,"<strong>University of Maryland Eastern Shore</strong><br/>NA, Maryland<br/>Type: HBCU"
Alcorn State University,31.877216,-91.142854,HBCU,"<strong>Alcorn State University</strong><br/>NA, Mississippi<br/>Type: HBCU"
Coahoma Community College,34.254417,-90.568469,HBCU,"<strong>Coahoma Community College</strong><br/>NA, Mississippi<br/>Type: HBCU"
Jackson State University,32.296105,-90.207405,HBCU,"<strong>Jackson State University</strong><br/>NA, Mississippi<br/>Type: HBCU"
Mississippi Valley State University,33.514142,-90.341274,HBCU,"<strong>Mississippi Valley State University</strong><br/>NA, Mississippi<br/>Type: HBCU"
Rust College,34.776862,-89.446999,HBCU,"<strong>Rust College</strong><br/>NA, Mississippi<br/>Type: HBCU"
Tougaloo College,32.403014,-90.16076,HBCU,"<strong>Tougaloo College</strong><br/>NA, Mississippi<br/>Type: HBCU"
Harris-Stowe State University,38.631744,-90.224288,HBCU,"<strong>Harris-Stowe State University</strong><br/>NA, Missouri<br/>Type: HBCU"
Lincoln University,37.804788,-122.269745,HBCU,"<strong>Lincoln University</strong><br/>NA, Missouri<br/>Type: HBCU"
Bennett College,36.067531,-79.77998,HBCU,"<strong>Bennett College</strong><br/>NA, Washington<br/>Type: HBCU"
Elizabeth City State University,36.277978,-76.214041,HBCU,"<strong>Elizabeth City State University</strong><br/>NA, North Carolina<br/>Type: HBCU"
Fayetteville State University,35.073641,-78.891696,HBCU,"<strong>Fayetteville State University</strong><br/>NA, North Carolina<br/>Type: HBCU"
Johnson C Smith University,35.243033,-80.857251,HBCU,"<strong>Johnson C Smith University</strong><br/>NA, North Carolina<br/>Type: HBCU"
Livingstone College,35.670877,-80.483956,HBCU,"<strong>Livingstone College</strong><br/>NA, North Carolina<br/>Type: HBCU"
North Carolina A & T State University,36.07282,-79.773375,HBCU,"<strong>North Carolina A & T State University</strong><br/>NA, North Carolina<br/>Type: HBCU"
North Carolina Central University,35.974237,-78.898602,HBCU,"<strong>North Carolina Central University</strong><br/>NA, North Carolina<br/>Type: HBCU"
Shaw University,35.771181,-78.637693,HBCU,"<strong>Shaw University</strong><br/>NA, North Carolina<br/>Type: HBCU"
Winston-Salem State University,36.089554,-80.225033,HBCU,"<strong>Winston-Salem State University</strong><br/>NA, North Carolina<br/>Type: HBCU"
Central State University,39.715787,-83.880186,HBCU,"<strong>Central State University</strong><br/>NA, Ohio<br/>Type: HBCU"
Wilberforce University,39.707291,-83.880595,HBCU,"<strong>Wilberforce University</strong><br/>NA, Ohio<br/>Type: HBCU"
Langston University,35.943982,-97.260317,HBCU,"<strong>Langston University</strong><br/>NA, Oklahoma<br/>Type: HBCU"
Cheyney University of Pennsylvania,39.932274,-75.529262,HBCU,"<strong>Cheyney University of Pennsylvania</strong><br/>NA, Pennsylvania<br/>Type: HBCU"
Lincoln University,37.804788,-122.269745,HBCU,"<strong>Lincoln University</strong><br/>NA, Pennsylvania<br/>Type: HBCU"
Allen University,34.010348,-81.020045,HBCU,"<strong>Allen University</strong><br/>NA, South Carolina<br/>Type: HBCU"
Benedict College,34.012941,-81.020403,HBCU,"<strong>Benedict College</strong><br/>NA, South Carolina<br/>Type: HBCU"
Claflin University,33.498444,-80.854319,HBCU,"<strong>Claflin University</strong><br/>NA, South Carolina<br/>Type: HBCU"
Clinton College,34.913721,-81.043469,HBCU,"<strong>Clinton College</strong><br/>NA, South Carolina<br/>Type: HBCU"
Denmark Technical College,33.313355,-81.123629,HBCU,"<strong>Denmark Technical College</strong><br/>NA, South Carolina<br/>Type: HBCU"
Morris College,33.938574,-80.346155,HBCU,"<strong>Morris College</strong><br/>NA, South Carolina<br/>Type: HBCU"
South Carolina State University,33.497968,-80.848722,HBCU,"<strong>South Carolina State University</strong><br/>NA, South Carolina<br/>Type: HBCU"
American Baptist College,36.202623,-86.789912,HBCU,"<strong>American Baptist College</strong><br/>NA, Tennessee<br/>Type: HBCU"
Fisk University,36.167087,-86.804805,HBCU,"<strong>Fisk University</strong><br/>NA, Tennessee<br/>Type: HBCU"
Lane College,35.627378,-88.806535,HBCU,"<strong>Lane College</strong><br/>NA, Tennessee<br/>Type: HBCU"
Le Moyne-Owen College,35.118641,-90.034101,HBCU,"<strong>Le Moyne-Owen College</strong><br/>NA, Tennessee<br/>Type: HBCU"
Meharry Medical College,36.165458,-86.807371,HBCU,"<strong>Meharry Medical College</strong><br/>NA, Tennessee<br/>Type: HBCU"
Tennessee State University,36.166321,-86.828275,HBCU,"<strong>Tennessee State University</strong><br/>NA, Tennessee<br/>Type: HBCU"
Huston-Tillotson University,30.264667,-97.721691,HBCU,"<strong>Huston-Tillotson University</strong><br/>NA, Texas<br/>Type: HBCU"
Paul Quinn College,32.678837,-96.755778,HBCU,"<strong>Paul Quinn College</strong><br/>NA, Texas<br/>Type: HBCU"
Prairie View A & M University,30.092425,-95.989475,HBCU,"<strong>Prairie View A & M University</strong><br/>NA, Texas<br/>Type: HBCU"
Southwestern Christian College,32.735508,-96.285649,HBCU,"<strong>Southwestern Christian College</strong><br/>NA, Texas<br/>Type: HBCU"
Texas College,32.37456,-95.312454,HBCU,"<strong>Texas College</strong><br/>NA, Texas<br/>Type: HBCU"
Texas Southern University,29.721046,-95.361113,HBCU,"<strong>Texas Southern University</strong><br/>NA, Texas<br/>Type: HBCU"
Wiley College,32.537641,-94.376814,HBCU,"<strong>Wiley College</strong><br/>NA, Texas<br/>Type: HBCU"
University of the Virgin Islands,18.344193,-64.972866,HBCU,"<strong>University of the Virgin Islands</strong><br/>NA, NA<br/>Type: HBCU"
University of the Virgin Islands-Albert A. Sheen,17.716115,-64.79856,HBCU,"<strong>University of the Virgin Islands-Albert A. Sheen</strong><br/>NA, NA<br/>Type: HBCU"
Hampton University,37.019944,-76.339161,HBCU,"<strong>Hampton University</strong><br/>NA, Virginia<br/>Type: HBCU"
Norfolk State University,36.848429,-76.261375,HBCU,"<strong>Norfolk State University</strong><br/>NA, Virginia<br/>Type: HBCU"
