Ref#,Property Name,State,County,City,Street & Number,Area of Significance,Category of Property,Other Names,Property ID,Address
85000214,Opera House Block/Central Block Building,COLORADO,Larimer,Fort Collins,117-131 N. College Ave.,ARCHITECTURE; SOCIAL HISTORY,BUILDING,NA,85000214,"117-131 N. College Ave., Fort Collins, COLORADO"
84000862,Park Theatre,COLORADO,Larimer,Estes Park,130 Moraine Ave.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,NA,84000862,"130 Moraine Ave., Estes Park, COLORADO"
87002213,Rialto Theater,COLORADO,Larimer,Loveland,228--230 E. Fourth Ave.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,NA,87002213,"228--230 E. Fourth Ave., Loveland, COLORADO"
72000275,Jaffa Opera House,COLORADO,Las Animas,Trinidad,100-116 W. Main St.,COMMERCE; ARCHITECTURE; PERFORMING ARTS,BUILDING,Hausman Drug;See Also:73000482,72000275,"100-116 W. Main St., Trinidad, COLORADO"
87002183,Mancos Opera House,COLORADO,Montezuma,Mancos,136 W. Grand Ave.,ARCHITECTURE; SOCIAL HISTORY,BUILDING,Checkerboard Hall,87002183,"136 W. Grand Ave., Mancos, COLORADO"
72000276,Wheeler Opera House,COLORADO,Pitkin,Aspen,330 E. Hyman Ave.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,Wheeler Block,72000276,"330 E. Hyman Ave., Aspen, COLORADO"
96000274,Central School Auditorium and Gymnasium,COLORADO,Rio Grande,Monte Vista,612 First Ave.,COMMUNITY PLANNING AND DEVELOPMENT; ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,Central Auditorium;5RN521,96000274,"612 First Ave., Monte Vista, COLORADO"
15000740,Hayden Co-Operative Elevator Company,COLORADO,Routt,Hayden,198 E. Lincoln Ave.,COMMERCE; INDUSTRY,STRUCTURE,"Hayden Grain Company; Yampa Valley Feeds, LLC; Hayden Granary, LLC; 5RT.2376",15000740,"198 E. Lincoln Ave., Hayden, COLORADO"
95000794,Perry-Mansfield School of Theatre and Dance,COLORADO,Routt,Steamboat Springs,40755 Routt Co. Rd. 36,PERFORMING ARTS; EDUCATION; ENTERTAINMENT/RECREATION; SOCIAL HISTORY,district,Perry--Mansfield;Perry--Mansfield Camp;Perry--Mansfield Perf,95000794,"40755 Routt Co. Rd. 36, Steamboat Springs, COLORADO"
13000577,Cliff Theater,COLORADO,Yuma,Wray,420 Main St.,ENTERTAINMENT/RECREATION,BUILDING,Cliff Cultural Community Center; 5YM.290,13000577,"420 Main St., Wray, COLORADO"
79002626,Palace and Majestic Theaters,CONNECTICUT,Fairfield,Bridgeport,1315-1357 Main St.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,NA,79002626,"1315-1357 Main St., Bridgeport, CONNECTICUT"
77001421,New Britain Opera House,CONNECTICUT,Hartford,New Britain,466-468 Main St.,ARCHITECTURE; PERFORMING ARTS,BUILDING,Palace Theater,77001421,"466-468 Main St., New Britain, CONNECTICUT"
72001319,Thomaston Opera House,CONNECTICUT,Litchfield,Thomaston,Main St.,ENTERTAINMENT/RECREATION; ARCHITECTURE; SOCIAL HISTORY,BUILDING,NA,72001319,"Main St., Thomaston, CONNECTICUT"
84001098,Warner Theatre,CONNECTICUT,Litchfield,Torrington,68-82 Main St.,ENTERTAINMENT/RECREATION; ARCHITECTURE; PERFORMING ARTS,BUILDING,NA,84001098,"68-82 Main St., Torrington, CONNECTICUT"
71000901,Goodspeed Opera House,CONNECTICUT,Middlesex,East Haddam,Norwich Rd.,ARCHITECTURE; PERFORMING ARTS,BUILDING,Goodspeed's Hall,71000901,"Norwich Rd., East Haddam, CONNECTICUT"
07000558,Old Saybrook Town Hall and Theater,CONNECTICUT,Middlesex,Old Saybrook,300 Main St.,ARCHITECTURE,BUILDING,The Katharine Hepburn Cultural Arts Center and Theatre,07000558,"300 Main St., Old Saybrook, CONNECTICUT"
84001134,Lincoln Theatre,CONNECTICUT,New Haven,New Haven,1 Lincoln St.,ARCHITECTURE; PERFORMING ARTS,BUILDING,Little Theatre on Lincoln Street,84001134,"1 Lincoln St., New Haven, CONNECTICUT"
83001284,Palace Theater,CONNECTICUT,New Haven,Waterbury,86-110 E. Main St.,ARCHITECTURE; PERFORMING ARTS,BUILDING,NA,83001284,"86-110 E. Main St., Waterbury, CONNECTICUT"
68000040,Sterling Opera House,CONNECTICUT,New Haven,Derby,NW corner of 4th and Elizabeth Sts.,PERFORMING ARTS,BUILDING,NA,68000040,"NW corner of 4th and Elizabeth Sts., Derby, CONNECTICUT"
72000294,Masonic Hall and Grand Theater,DELAWARE,New Castle,Wilmington,818 N. Market St.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,Masonic Temple and Grand Opera House,72000294,"818 N. Market St., Wilmington, DELAWARE"
82002345,Newark Opera House,DELAWARE,New Castle,Newark,95 E. Main St.,ARCHITECTURE,BUILDING,NA,82002345,"95 E. Main St., Newark, DELAWARE"
83001405,State Theater,DELAWARE,New Castle,Newark,39 E. Main St.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,NA,83001405,"39 E. Main St., Newark, DELAWARE"
100002912,Ball Theatre,DELAWARE,Sussex,Millsboro,214 Main St.,SOCIAL HISTORY; ENTERTAINMENT/RECREATION,building,Millstone Theatre; S12983,100002912,"214 Main St., Millsboro, DELAWARE"
10000909,Atlas Theater and Shops,DISTRICT OF COLUMBIA,District of Columbia,"Washington, DC","1313-33 H Street, NE",ARCHITECTURE; ENTERTAINMENT/RECREATION; COMMERCE,BUILDING,NA,10000909,"1313-33 H Street, NE, Washington, DC, DISTRICT OF COLUMBIA"
78003053,Chase's Theater and Riggs Building,DISTRICT OF COLUMBIA,District of Columbia,Washington,1426 G St. NW. and 615--627 15th St. NW.,ARCHITECTURE; PERFORMING ARTS,BUILDING,Keith's Theater and Albee Building,78003053,"1426 G St. NW. and 615--627 15th St. NW., Washington, DISTRICT OF COLUMBIA"
96000734,Chevy Chase Theater,DISTRICT OF COLUMBIA,District of Columbia,Washington,5612 Connecticut Ave.,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,Avalon Theater,96000734,"5612 Connecticut Ave., Washington, DISTRICT OF COLUMBIA"
94001515,Equitable Co-operative Building Association,DISTRICT OF COLUMBIA,District of Columbia,Washington,"915 F St., NW.",ARCHITECTURE; COMMERCE,BUILDING,NA,94001515,"915 F St., NW., Washington, DISTRICT OF COLUMBIA"
66000034,Ford's Theatre National Historic Site,DISTRICT OF COLUMBIA,District of Columbia,Washington,"10th St., NW., between E and F Sts.",POLITICS/GOVERNMENT; PERFORMING ARTS,BUILDING,Ford's Theatre and the Petersen House where Lincoln Died,66000034,"10th St., NW., between E and F Sts., Washington, DISTRICT OF COLUMBIA"
74002162,Howard Theatre,DISTRICT OF COLUMBIA,District of Columbia,Washington,"620 T St., NW.",PERFORMING ARTS,BUILDING,NA,74002162,"620 T St., NW., Washington, DISTRICT OF COLUMBIA"
