Ref#,Property Name,State,County,City,Street & Number,Area of Significance,Category of Property,Other Names,Property ID,Address
100008843,Heart Theater,ILLINOIS,Effingham,Effingham,133 East Jefferson Ave.,ARCHITECTURE,building,NA,100008843,"133 East Jefferson Ave., Effingham, ILLINOIS"
82002535,Sesser Opera House,ILLINOIS,Franklin,Sesser,106 W. Franklin St.,ENTERTAINMENT/RECREATION,BUILDING,NA,82002535,"106 W. Franklin St., Sesser, ILLINOIS"
96000876,Odd Fellows Opera Block,ILLINOIS,Fulton,Ellisville,"Jct. of Main and Mechanic Sts., SW corner",ENTERTAINMENT/RECREATION,BUILDING,Odd Fellows Hall;Ellisville Opera House,96000876,"Jct. of Main and Mechanic Sts., SW corner, Ellisville, ILLINOIS"
82002538,Galva Opera House,ILLINOIS,Henry,Galva,334--348 Front St.,PERFORMING ARTS,BUILDING,NA,82002538,"334--348 Front St., Galva, ILLINOIS"
12000322,Liberty Theater,ILLINOIS,Jackson,Murphysboro,1333 Walnut,ENTERTAINMENT/RECREATION,BUILDING,Tilford Theatre,12000322,"1333 Walnut, Murphysboro, ILLINOIS"
100008001,Bishop’s Busy Big Store-Lyric Opera House,ILLINOIS,Jo Daviess,Elizabeth,137 North Main St.,COMMERCE; ENTERTAINMENT/RECREATION,building,NA,100008001,"137 North Main St., Elizabeth, ILLINOIS"
94000977,Arcada Theater Building,ILLINOIS,Kane,St. Charles,105 E. Main St. and 1st Ave.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,The Arcada,94000977,"105 E. Main St. and 1st Ave., St. Charles, ILLINOIS"
80001371,Paramount Theatre,ILLINOIS,Kane,Aurora,23 E. Galena Blvd.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,Paramount Arts Centre,80001371,"23 E. Galena Blvd., Aurora, ILLINOIS"
89001112,Catlow Theatre,ILLINOIS,Lake,Barrington,112--116 W. Main St.,ENGINEERING; ARCHITECTURE,BUILDING,NA,89001112,"112--116 W. Main St., Barrington, ILLINOIS"
74000768,Haskell Playhouse,ILLINOIS,Madison,Alton,Henry St. in Haskell Park,ARCHITECTURE,BUILDING,NA,74000768,"Henry St. in Haskell Park, Alton, ILLINOIS"
74002184,Woodstock Opera House,ILLINOIS,McHenry,Woodstock,119 Van Buren St.,ARCHITECTURE,BUILDING,Woodstock City Hall,74002184,"119 Van Buren St., Woodstock, ILLINOIS"
97000818,Normal Theater,ILLINOIS,McLean,Normal,209 North St.,ARCHITECTURE,BUILDING,NA,97000818,"209 North St., Normal, ILLINOIS"
80001402,Madison Theatre,ILLINOIS,Peoria,Peoria,502 Main St.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,NA,80001402,"502 Main St., Peoria, ILLINOIS"
12001116,Zoe Theatre,ILLINOIS,Pike,Pittsfield,209 N. Madison St.,ARCHITECTURE,BUILDING,NA,12001116,"209 N. Madison St., Pittsfield, ILLINOIS"
80001407,Fort Armstrong Theatre,ILLINOIS,Rock Island,Rock Island,1826 3rd Ave.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,Fort Theatre,80001407,"1826 3rd Ave., Rock Island, ILLINOIS"
85001010,Phoenix Opera House Block,ILLINOIS,Schuyler,Rushville,112-122 W. Lafayette St.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,NA,85001010,"112-122 W. Lafayette St., Rushville, ILLINOIS"
78001190,Chautauqua Auditorium,ILLINOIS,Shelby,Shelbyville,Forest Park and NE 9th St.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,Shelbyville Auditorium,78001190,"Forest Park and NE 9th St., Shelbyville, ILLINOIS"
85000977,Majestic Theatre,ILLINOIS,St. Clair,East St. Louis,240-246 Collinsville Ave.,ARCHITECTURE; PERFORMING ARTS,BUILDING,NA,85000977,"240-246 Collinsville Ave., East St. Louis, ILLINOIS"
01000978,Fischer Theater,ILLINOIS,Vermilion,Danville,158-164 N. Vermillion St.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,Grand Opera House; Heinly's Grand Opera House,01000978,"158-164 N. Vermillion St., Danville, ILLINOIS"
87001267,Alexis Opera House,ILLINOIS,Warren,Alexis,101--105 N. Main St.,ENTERTAINMENT/RECREATION,BUILDING,McKnight Hardware Store,87001267,"101--105 N. Main St., Alexis, ILLINOIS"
78001199,Rubens Rialto Square Theater,ILLINOIS,Will,Joliet,102 N. Chicago St.,ENTERTAINMENT/RECREATION; ARCHITECTURE; SOCIAL HISTORY,BUILDING,Rialto Theater,78001199,"102 N. Chicago St., Joliet, ILLINOIS"
75000041,Embassy Theater and Indiana Hotel,INDIANA,Allen,Fort Wayne,121 W. Jefferson St.,ARCHITECTURE; PERFORMING ARTS,BUILDING,NA,75000041,"121 W. Jefferson St., Fort Wayne, INDIANA"
100011042,Fort Wayne Performing Arts Theatre,INDIANA,Allen,Fort Wayne,303 East Main Street,ARCHITECTURE,building,"The Arts United Center of Greater Fort Wayne, Inc.",100011042,"303 East Main Street, Fort Wayne, INDIANA"
04001315,Fowler Theatre,INDIANA,Benton,Fowler,111 E. 5th St.,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,NA,04001315,"111 E. 5th St., Fowler, INDIANA"
94001120,"Leive, Parks and Stapp Opera House",INDIANA,Dearborn,Aurora,321--325 Second St.,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,Grand Opera House;029-029-51058,94001120,"321--325 Second St., Aurora, INDIANA"
78000028,Knights of Pythias Building and Theatre,INDIANA,Decatur,Greensburg,215 N. Broadway,SOCIAL HISTORY,BUILDING,K. of P. Building,78000028,"215 N. Broadway, Greensburg, INDIANA"
80000036,Lerner Theatre,INDIANA,Elkhart,Elkhart,401 S. Main St.,ENTERTAINMENT/RECREATION; ARCHITECTURE; PERFORMING ARTS,BUILDING,Elco Theatre,80000036,"401 S. Main St., Elkhart, INDIANA"
79000018,Guyer Opera House,INDIANA,Henry,Lewisville,U.S. 40,SOCIAL HISTORY; PERFORMING ARTS,BUILDING,Lewisville Public Hall,79000018,"U.S. 40, Lewisville, INDIANA"
94001353,Gary Public Schools Memorial Auditorium,INDIANA,Lake,Gary,700--734 Massachusetts St.,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,NA,94001353,"700--734 Massachusetts St., Gary, INDIANA"
87000069,Hoosier Theater Building,INDIANA,Lake,Whiting,1329--1335 One Hundred-nineteenth St.,ARCHITECTURE; PERFORMING ARTS,BUILDING,NA,87000069,"1329--1335 One Hundred-nineteenth St., Whiting, INDIANA"
81000020,Mitchell Opera House,INDIANA,Lawrence,Mitchell,7th and Brooks Sts.,ENTERTAINMENT/RECREATION; POLITICS/GOVERNMENT,BUILDING,Mitchell City Hall,81000020,"7th and Brooks Sts., Mitchell, INDIANA"
91001165,Paramount Theater Building,INDIANA,Madison,Anderson,1124 Meridian St.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,Paramount Centre;095-015-46071,91001165,"1124 Meridian St., Anderson, INDIANA"
80000058,Circle Theater,INDIANA,Marion,Indianapolis,45 Monument Circle,ENTERTAINMENT/RECREATION; ARCHITECTURE; PERFORMING ARTS,BUILDING,NA,80000058,"45 Monument Circle, Indianapolis, INDIANA"
79000035,Indiana Theatre,INDIANA,Marion,Indianapolis,134 W. Washington St.,ART; ARCHITECTURE; PERFORMING ARTS,BUILDING,NA,79000035,"134 W. Washington St., Indianapolis, INDIANA"
04000630,Rivoli Theater,INDIANA,Marion,Indianapolis,3155 E. 10th St.,ARCHITECTURE; ENTERTAINMENT/RECREATION; PERFORMING ARTS,BUILDING,098-295-1041,04000630,"3155 E. 10th St., Indianapolis, INDIANA"
83000112,Princess Theatre,INDIANA,Monroe,Bloomington,206 N. Walnut St.,ARCHITECTURE,BUILDING,See Also:Princess Theatre Building (Boundary Decrease),83000112,"206 N. Walnut St., Bloomington, INDIANA"
02000201,Vurpillat's Opera House,INDIANA,Pulaski,Winamac,Jct. of Market and Main Sts.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,NA,02000201,"Jct. of Market and Main Sts., Winamac, INDIANA"
06000309,Versailles School and Tyson Auditorium,INDIANA,Ripley,Versailles,100 South High St.,ARCHITECTURE; EDUCATION,building,137-647-37011,06000309,"100 South High St., Versailles, INDIANA"
85001204,Blackstone-State Theater,INDIANA,St. Joseph,South Bend,212 S. Michigan,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,NA,85001204,"212 S. Michigan, South Bend, INDIANA"
85001226,Palace Theater,INDIANA,St. Joseph,South Bend,211 N. Michigan,ENTERTAINMENT/RECREATION; ARCHITECTURE; PERFORMING ARTS,BUILDING,NA,85001226,"211 N. Michigan, South Bend, INDIANA"
82000077,Old Hoosier Theatre,INDIANA,Switzerland,Vevay,Cheapside and Ferry Sts.,COMMERCE; POLITICS/GOVERNMENT; ARCHITECTURE; PERFORMING ARTS,BUILDING,Old Theatre Building,82000077,"Cheapside and Ferry Sts., Vevay, INDIANA"
81000030,Mars Theatre,INDIANA,Tippecanoe,Lafayette,11 N. 6th St.,ENTERTAINMENT/RECREATION; ARCHITECTURE; PERFORMING ARTS,BUILDING,Denis H. Long Center for the Performing Arts,81000030,"11 N. 6th St., Lafayette, INDIANA"
82000124,Victory Theater and Hotel Sonntag (Additional Documentation),INDIANA,Vanderburgh,Evansville,600-614 Main St.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,NA,82000124,"600-614 Main St., Evansville, INDIANA"
83000110,Hippodrome Theatre,INDIANA,Vigo,Terre Haute,727 Ohio St.,ARCHITECTURE; PERFORMING ARTS,BUILDING,Wabash Theatre,83000110,"727 Ohio St., Terre Haute, INDIANA"
83004578,Indiana Theatre,INDIANA,Vigo,Terre Haute,683 Ohio St.,ARCHITECTURE,BUILDING,NA,83004578,"683 Ohio St., Terre Haute, INDIANA"
100006572,13-24 Drive-In Movie Theater,INDIANA,Wabash,Wabash,890 North IN 13,ARCHITECTURE; ENTERTAINMENT/RECREATION,building,NA,100006572,"890 North IN 13, Wabash, INDIANA"
82000053,Murray Theater,INDIANA,Wayne,Richmond,1003 Main St.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,Richmond Civic Theater-Norbert Silbiger Theater,82000053,"1003 Main St., Richmond, INDIANA"
79000880,Warren Opera House Block and Hetherington Block,IOWA,Adair,Greenfield,156 Public Sq.,ARCHITECTURE,BUILDING,NA,79000880,"156 Public Sq., Greenfield, IOWA"
93000954,Corning Opera House,IOWA,Adams,Corning,800 Davis Ave.,ENTERTAINMENT/RECREATION; PERFORMING ARTS,BUILDING,NA,93000954,"800 Davis Ave., Corning, IOWA"
93000764,Cotton Theater,IOWA,Black Hawk,Cedar Falls,103 Main St.,ARCHITECTURE,BUILDING,Regent Theater,93000764,"103 Main St., Cedar Falls, IOWA"
09000329,Malek Theatre,IOWA,Buchanan,Independence,116 2nd Ave. NE.,ARCHITECTURE,BUILDING,The Malek,09000329,"116 2nd Ave. NE., Independence, IOWA"
12000030,Sioux Theatre,IOWA,Buena Vista,Sioux Rapids,218 Main St.,ARCHITECTURE; ENTERTAINMENT/RECREATION; COMMERCE,BUILDING,Sioux Rapids Area Historical Museum,12000030,"218 Main St., Sioux Rapids, IOWA"
15000951,Hardacre Theater,IOWA,Cedar,Tipton,112 E. 5th St.,ARCHITECTURE; ENTERTAINMENT/RECREATION; SOCIAL HISTORY,BUILDING,Hardacre Opera House and Memorial Hall; Odd Fellows Hall; The Hardacre,15000951,"112 E. 5th St., Tipton, IOWA"
98001325,Parker's Opera House,IOWA,Cerro Gordo,Mason City,23 N. Federal Ave.,ARCHITECTURE,BUILDING,Parker's Grand Opera House;Opera House Store;Woolworth's;Par,98001325,"23 N. Federal Ave., Mason City, IOWA"
10000002,Spencer High School and Auditorium,IOWA,Clay,Spencer,104 E. 4th St.,EDUCATION; SOCIAL HISTORY,building,Spencer Middle School and Auditorium,10000002,"104 E. 4th St., Spencer, IOWA"
76000748,Elkader Opera House,IOWA,Clayton,Elkader,207 N. Main,PERFORMING ARTS,BUILDING,NA,76000748,"207 N. Main, Elkader, IOWA"
94001446,St. Olaf Auditorium,IOWA,Clayton,St. Olaf,118 S. Main St.,ARCHITECTURE; ENTERTAINMENT/RECREATION; SOCIAL HISTORY,BUILDING,St. Olaf Opera House and Auditorium,94001446,"118 S. Main St., St. Olaf, IOWA"
100008627,Denison Opera House,IOWA,Crawford,Denison,1303 Broadway (1301–1305 Broadway),ARCHITECTURE; ENTERTAINMENT/RECREATION,building,Germania Opera House; Ritz Theater; Donna Reed Performing Arts Center,100008627,"1303 Broadway (1301–1305 Broadway), Denison, IOWA"
96001373,The Capitol Theater,IOWA,Des Moines,Burlington,211 N. Third St.,ARCHITECTURE,BUILDING,NA,96001373,"211 N. Third St., Burlington, IOWA"
02001029,Grand Opera House,IOWA,Dubuque,Dubuque,135 8th St.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,NA,02001029,"135 8th St., Dubuque, IOWA"
72000474,Orpheum Theatre and Site,IOWA,Dubuque,Dubuque,405 Main St.,ARCHITECTURE; PERFORMING ARTS,BUILDING,Majestic Theatre,72000474,"405 Main St., Dubuque, IOWA"
08001043,"Avery Theater, The",IOWA,Hancock,Garner,495 State St.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,Erickson's Drug Store; Iowa State Inventory Form#41-00095,08001043,"495 State St., Garner, IOWA"
90001688,"Pilot Knob State Park, Amphitheater (Area 4)",IOWA,Hancock,Forest City,S of jct. of IA 9 and IA 332,LANDSCAPE ARCHITECTURE; CONSERVATION; ENTERTAINMENT/RECREATION; POLITICS/GOVERNMENT; SOCIAL HISTORY,STRUCTURE,Forest City State Park;Pilot Mound State Park,90001688,"S of jct. of IA 9 and IA 332, Forest City, IOWA"
75000690,Metropolitan Opera House,IOWA,Hardin,Iowa Falls,515 Washington St.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,Met Theatre,75000690,"515 Washington St., Iowa Falls, IOWA"
91001119,Masonic Temple Theater,IOWA,Henry,Mount Pleasant,115 N. Main,ARCHITECTURE,BUILDING,NA,91001119,"115 N. Main, Mount Pleasant, IOWA"
81000245,Cresco Opera House,IOWA,Howard,Cresco,115 W. 2nd Ave.,SOCIAL HISTORY,BUILDING,Cresco Theater,81000245,"115 W. 2nd Ave., Cresco, IOWA"
01000911,Englert Theatre,IOWA,Johnson,Iowa City,221 E. Washington St.,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,NA,01000911,"221 E. Washington St., Iowa City, IOWA"
73000733,Masonic Opera House,IOWA,Keokuk,What Cheer,201 Barnes St.,ENTERTAINMENT/RECREATION,BUILDING,What Cheer Opera House,73000733,"201 Barnes St., What Cheer, IOWA"
83000386,Lattner Auditorium Building,IOWA,Linn,Cedar Rapids,"217 4th Ave., SE",COMMERCE; ARCHITECTURE,BUILDING,Lattner Building,83000386,"217 4th Ave., SE, Cedar Rapids, IOWA"
76000778,Paramount Theater Building,IOWA,Linn,Cedar Rapids,"121--127 3rd Ave., SE",ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,NA,76000778,"121--127 3rd Ave., SE, Cedar Rapids, IOWA"
91001080,Pella Opera House,IOWA,Marion,Pella,611 Franklin St.,ARCHITECTURE,BUILDING,NA,91001080,"611 Franklin St., Pella, IOWA"
90001194,Onawa IOOF Opera House,IOWA,Monona,Onawa,1023 Tenth Ave.,ENTERTAINMENT/RECREATION; SOCIAL HISTORY; PERFORMING ARTS,BUILDING,Onawa Opera House,90001194,"1023 Tenth Ave., Onawa, IOWA"
12000403,Akron Opera House,IOWA,Plymouth,Akron,151 Reed St.,PERFORMING ARTS; COMMERCE,BUILDING,NA,12000403,"151 Reed St., Akron, IOWA"
95000965,Sylvan Theater Historic District,IOWA,Polk,Des Moines,"In Greenwood Park on W side of 45th St., 1 block S of jct. with Grand Ave.",SOCIAL HISTORY; ENTERTAINMENT/RECREATION; LANDSCAPE ARCHITECTURE,DISTRICT,Greenwood Park Outdoor Theater,95000965,"In Greenwood Park on W side of 45th St., 1 block S of jct. with Grand Ave., Des Moines, IOWA"
100006522,Brooklyn Opera House–Broadway Theatre,IOWA,Poweshiek,Brooklyn,115 Jackson St.,ENTERTAINMENT/RECREATION,building,Broadway Theatre,100006522,"115 Jackson St., Brooklyn, IOWA"
98001273,Hotel Mississippi-RKO Orpheum Theater,IOWA,Scott,Davenport,106 E. Third St.,ARCHITECTURE; COMMERCE; ENTERTAINMENT/RECREATION,BUILDING,Mississippi Hotel;Adler Theatre,98001273,"106 E. Third St., Davenport, IOWA"
09000107,"Hawarden City Hall, Fire Station and Auditorium",IOWA,Sioux,Hawarden,715 Central Ave.,POLITICS/GOVERNMENT,BUILDING,City Auditorium; Community Center,09000107,"715 Central Ave., Hawarden, IOWA"
80001460,Grand Auditorium and Hotel Block,IOWA,Story,Story City,Broad St.,COMMUNITY PLANNING AND DEVELOPMENT; ARCHITECTURE,BUILDING,NA,80001460,"Broad St., Story City, IOWA"
79000944,Wieting Theater,IOWA,Tama,Toledo,101 S. Church St.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,NA,79000944,"101 S. Church St., Toledo, IOWA"
95001317,McHaffey Opera House,IOWA,Wapello,Eldon,414 Elm St.,ENTERTAINMENT/RECREATION,BUILDING,NA,95001317,"414 Elm St., Eldon, IOWA"
79000950,Ossian Opera House,IOWA,Winneshiek,Ossian,Main St.,ARCHITECTURE,BUILDING,K.C. Hall,79000950,"Main St., Ossian, IOWA"
80001462,Steyer Opera House,IOWA,Winneshiek,Decorah,102--104 W. Water St.,ARCHITECTURE,BUILDING,NA,80001462,"102--104 W. Water St., Decorah, IOWA"
06000316,Municipal Auditorium,IOWA,Woodbury,Sioux City,500 Gordon Dr.,ARCHITECTURE,BUILDING,NA,06000316,"500 Gordon Dr., Sioux City, IOWA"
00000919,New Orpheum Theatre,IOWA,Woodbury,Sioux City,520-28 Pierce St.,ENTERTAINMENT/RECREATION,BUILDING,Orpheum Electric Building,00000919,"520-28 Pierce St., Sioux City, IOWA"
100009703,Iola Theatre,KANSAS,Allen,Iola,202 South Washington Avenue,ARCHITECTURE; ENTERTAINMENT/RECREATION,building,NA,100009703,"202 South Washington Avenue, Iola, KANSAS"
05000003,Crest Theater,KANSAS,Barton,Great Bend,1905 Lakin Ave.,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,NA,05000003,"1905 Lakin Ave., Great Bend, KANSAS"
85001978,Hiawatha Memorial Auditorium,KANSAS,Brown,Hiawatha,611 Utah St.,ARCHITECTURE,BUILDING,NA,85001978,"611 Utah St., Hiawatha, KANSAS"
90001577,Augusta Theater,KANSAS,Butler,Augusta,525 State St.,ARCHITECTURE,BUILDING,NA,90001577,"525 State St., Augusta, KANSAS"
73000747,Brown Grand Opera House,KANSAS,Cloud,Concordia,310 W. 6th St.,ENTERTAINMENT/RECREATION; SOCIAL HISTORY,BUILDING,Brown Grand Theater,73000747,"310 W. 6th St., Concordia, KANSAS"
05000005,Plaza Theater,KANSAS,Coffey,Burlington,404 Neosho St.,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,Flint Hills Opry; The Music Box Theatre,05000005,"404 Neosho St., Burlington, KANSAS"
05000010,Chief Theater,KANSAS,Comanche,Coldwater,122 E. Main St.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,Gossett Theater; Stark's Comanche Theatre,05000010,"122 E. Main St., Coldwater, KANSAS"
100007282,Winfield Fox Theatre,KANSAS,Cowley,Winfield,1007 Main St.,ARCHITECTURE; ENTERTAINMENT/RECREATION,building,"Marquee Performing Arts Center; Zimm Theatre; Winfield Cinemas 1 &amp; 2,; KHRI # 035- 5970-00076",100007282,"1007 Main St., Winfield, KANSAS"
08000301,Colonial Fox Theatre,KANSAS,Crawford,Pittsburg,409 N. Broadway,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,037-4460-0078,08000301,"409 N. Broadway, Pittsburg, KANSAS"
15000382,Baldwin City School and Auditorium-Gymnasium,KANSAS,Douglas,Baldwin City,704 Chapel St.,EDUCATION,BUILDING,KHRI # 045-0340-00074; 045-0340-00075,15000382,"704 Chapel St., Baldwin City, KANSAS"
05000006,Palace Theater,KANSAS,Edwards,Kinsley,222 E. 6th St.,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,NA,05000006,"222 E. 6th St., Kinsley, KANSAS"
80001467,Grainfield Opera House,KANSAS,Gove,Grainfield,Main and 3rd Sts.,COMMERCE; EXPLORATION/SETTLEMENT,BUILDING,NA,80001467,"Main and 3rd Sts., Grainfield, KANSAS"
05000008,Northup Theater,KANSAS,Hamilton,Syracuse,116 N. Main St.,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,NA,05000008,"116 N. Main St., Syracuse, KANSAS"
91000464,Anthony Theater,KANSAS,Harper,Anthony,220 W. Main St.,ARCHITECTURE,BUILDING,NA,91000464,"220 W. Main St., Anthony, KANSAS"
05000009,Overland Theater,KANSAS,Johnson,Overland Park,7204 W. 80th St.,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,Rio Theater; Kimo South; Park Cinema; Theatre for Young America,05000009,"7204 W. 80th St., Overland Park, KANSAS"
90001575,Hollywood Theater,KANSAS,Leavenworth,Leavenworth,401 Delaware St.,ARCHITECTURE,BUILDING,NA,90001575,"401 Delaware St., Leavenworth, KANSAS"
85000693,Granada Theater,KANSAS,Lyon,Emporia,809 Commercial,ARCHITECTURE,BUILDING,Fox Theater,85000693,"809 Commercial, Emporia, KANSAS"
10001142,Florence Opera House,KANSAS,Marion,Florence,SW Corner of 5th and Main,ENTERTAINMENT/RECREATION; PERFORMING ARTS; SOCIAL HISTORY,BUILDING,115-1790-00006,10001142,"SW Corner of 5th and Main, Florence, KANSAS"
08000984,Waterville Opera House,KANSAS,Marshall,Waterville,200 E. Front St.,ENTERTAINMENT/RECREATION; POLITICS/GOVERNMENT; ARCHITECTURE,BUILDING,Waterville City Hall; 117-5680-0006,08000984,"200 E. Front St., Waterville, KANSAS"
72001452,McPherson Opera House,KANSAS,McPherson,McPherson,221 S. Main St.,ARCHITECTURE,BUILDING,NA,72001452,"221 S. Main St., McPherson, KANSAS"
100011629,Ursuline Academy - Auditorium,KANSAS,Miami,Paola,905 E Wea Street,ARCHITECTURE,building,Ursuline Sisters Academy; Paola Community Center; KHRI # 121-4320-00034,100011629,"905 E Wea Street, Paola, KANSAS"
88001903,Booth Theater,KANSAS,Montgomery,Independence,119 W. Myrtle St.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,NA,88001903,"119 W. Myrtle St., Independence, KANSAS"
05000007,Midland Theater,KANSAS,Montgomery,Coffeyville,212-214 W. 8th St.,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,New Tackett Theater; Fox Midland Theater,05000007,"212-214 W. 8th St., Coffeyville, KANSAS"
06001241,Shirley Opera House,KANSAS,Rawlins,Atwood,503 Main St.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,153-0300-0011,06001241,"503 Main St., Atwood, KANSAS"
89001391,Fox Theater,KANSAS,Reno,Hutchinson,18 E. First,ARCHITECTURE,BUILDING,NA,89001391,"18 E. First, Hutchinson, KANSAS"
06000112,Dream Theater,KANSAS,Russell,Russell,629 N. Main St.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,167-4820-0015,06000112,"629 N. Main St., Russell, KANSAS"
88001171,Fox-Watson Theater Building,KANSAS,Saline,Salina,155 S. Santa Fe Ave.,ARCHITECTURE,BUILDING,Watson Theater Building,88001171,"155 S. Santa Fe Ave., Salina, KANSAS"
08000615,Dunbar Theatre,KANSAS,Sedgwick,Wichita,1007 N. Cleveland,ARCHITECTURE; ENTERTAINMENT/RECREATION; PERFORMING ARTS; SOCIAL HISTORY; COMMERCE; BLACK,BUILDING,Dunbar Theatre,08000615,"1007 N. Cleveland, Wichita, KANSAS"
80001473,Orpheum Theater and Office Building,KANSAS,Sedgwick,Wichita,200 N. Broadway St.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,NA,80001473,"200 N. Broadway St., Wichita, KANSAS"
82002675,"Jayhawk Hotel, Theater and Walk",KANSAS,Shawnee,Topeka,700 Jackson Ave.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,Jayhawk Theater and Jayhawk Walk;The Jayhawk Complex,82002675,"700 Jackson Ave., Topeka, KANSAS"
100010620,Pearl Opera House,KANSAS,Wabaunsee,Alta Vista,601 Main Street,ENTERTAINMENT/RECREATION; SOCIAL HISTORY,building,Pearl Theater; KHRI # 197-363,100010620,"601 Main Street, Alta Vista, KANSAS"
100003427,Municipal Auditorium and City Hall,KANSAS,Wichita,Leoti,201 N. 4th St.,SOCIAL HISTORY,building,"Museum of the Great Plains; DBA/Wichita County Historical Society, Inc.; KHRI #203-3130-00005",100003427,"201 N. 4th St., Leoti, KANSAS"
05000004,Granada Theater,KANSAS,Wyandotte,Kansas City,1013-1019 Minnesota Ave.,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,NA,05000004,"1013-1019 Minnesota Ave., Kansas City, KANSAS"
75000736,Paramount Theatre,KENTUCKY,Boyd,Ashland,1304 Winchester Ave.,ENTERTAINMENT/RECREATION; ARCHITECTURE; INVENTION,BUILDING,The Paramount Arts Center,75000736,"1304 Winchester Ave., Ashland, KENTUCKY"
15000081,Marianne Theater,KENTUCKY,Campbell,Bellevue,609 Fairfield Ave.,ARCHITECTURE,BUILDING,CP-B-6,15000081,"609 Fairfield Ave., Bellevue, KENTUCKY"
75000752,Opera House and Yates Bookshop Building,KENTUCKY,Fayette,Lexington,141 and 145 N. Broadway,COMMERCE; ARCHITECTURE; PERFORMING ARTS,BUILDING,NA,75000752,"141 and 145 N. Broadway, Lexington, KENTUCKY"
98001492,State Theatre,KENTUCKY,Hardin,Elizabethtown,205 W. Dixie Ave.,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,HD-E-278,98001492,"205 W. Dixie Ave., Elizabethtown, KENTUCKY"
78001346,Brown Hotel Building and Theater,KENTUCKY,Jefferson,Louisville,675 River City Mall,COMMERCE; ARCHITECTURE,BUILDING,The J. Graham Brown Education Center &amp; Macauley's Theatre,78001346,"675 River City Mall, Louisville, KENTUCKY"
83002686,Ideal Theatre,KENTUCKY,Jefferson,Louisville,2315-19 W. Market St.,ARCHITECTURE,BUILDING,NA,83002686,"2315-19 W. Market St., Louisville, KENTUCKY"
78001361,Loew's and United Artists State Theatre,KENTUCKY,Jefferson,Louisville,625 S. 4th St.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,Penthouse &amp; United Artists' Theatre,78001361,"625 S. 4th St., Louisville, KENTUCKY"
77000625,Louisville War Memorial Auditorium,KENTUCKY,Jefferson,Louisville,970 S. 4th St.,ARCHITECTURE; SOCIAL HISTORY,BUILDING,Memorial Auditorium,77000625,"970 S. 4th St., Louisville, KENTUCKY"
82002726,Theater Building,KENTUCKY,Jefferson,Louisville,625--33 S. 4th Ave.,ARCHITECTURE,BUILDING,NA,82002726,"625--33 S. 4th Ave., Louisville, KENTUCKY"
78001370,Walnut Street Theater,KENTUCKY,Jefferson,Louisville,416 W. Walnut St.,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,NA,78001370,"416 W. Walnut St., Louisville, KENTUCKY"
13000111,"Ludlow Theater, The",KENTUCKY,Kenton,Ludlow,322-326 Elm St.,ENTERTAINMENT/RECREATION,BUILDING,KE-L-115,13000111,"322-326 Elm St., Ludlow, KENTUCKY"
